path,depth,owner_domain,primary_role,secondary_roles,responsibility,disposition,physical_move_executed,physical_move_allowed_by_this_plan,classification_scope,nested_mixed_contents,reference_guard,navigation_group,evidence_basis,confidence
.agents,1,ROOT_CLIENT_OR_GIT_CONFIG,SOURCE_DEPENDENCY,,客户端项目技能/代理配置；受保护的运行入口，原位保留,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,SOURCE_DEPENDENCY,PROJECT_MAP.md; root metadata,ROLE_FROM_README_AND_CURRENT_ENTRY
.agents/skills,2,ROOT_CLIENT_OR_GIT_CONFIG,SOURCE_DEPENDENCY,,客户端项目技能/代理配置；受保护的运行入口，原位保留,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,SOURCE_DEPENDENCY,PROJECT_MAP.md; root metadata,ROLE_FROM_README_AND_CURRENT_ENTRY
.claude,1,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,客户端本机配置与代理入口；私人信息先审，不读配置值,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; root metadata,ROLE_FROM_README_AND_CURRENT_ENTRY
.claude/agents,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,客户端本机配置与代理入口；私人信息先审，不读配置值,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; root metadata,ROLE_FROM_README_AND_CURRENT_ENTRY
.codex,1,ROOT_CLIENT_OR_GIT_CONFIG,SOURCE_DEPENDENCY,,客户端项目技能/代理配置；受保护的运行入口，原位保留,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,SOURCE_DEPENDENCY,PROJECT_MAP.md; root metadata,ROLE_FROM_README_AND_CURRENT_ENTRY
.codex/agents,2,ROOT_CLIENT_OR_GIT_CONFIG,SOURCE_DEPENDENCY,,客户端项目技能/代理配置；受保护的运行入口，原位保留,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,SOURCE_DEPENDENCY,PROJECT_MAP.md; root metadata,ROLE_FROM_README_AND_CURRENT_ENTRY
.codex/skills,2,ROOT_CLIENT_OR_GIT_CONFIG,SOURCE_DEPENDENCY,,客户端项目技能/代理配置；受保护的运行入口，原位保留,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,SOURCE_DEPENDENCY,PROJECT_MAP.md; root metadata,ROLE_FROM_README_AND_CURRENT_ENTRY
.git,1,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/gk,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/hooks,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/info,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/lfs,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/logs,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/objects,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/refs,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.git/worktrees,2,ROOT_CLIENT_OR_GIT_CONFIG,LOCAL_PRIVATE,,Git对象、LFS、索引/refs和worktree关系；不可人工搬移/清扫子目录,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,PROJECT_MAP.md; Git metadata boundary,ROLE_FROM_README_AND_CURRENT_ENTRY
.playwright-cli,1,ROOT_CLIENT_OR_GIT_CONFIG,REGENERABLE_TOOL,,浏览器会话工作目录；当前直读为空，不能据此声称已清理,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,REGENERABLE_TOOL,root metadata 2026-09-21,ROLE_FROM_README_AND_CURRENT_ENTRY
01_project,1,01_project,IMMUTABLE_EVIDENCE,,项目治理、操作账本、人工输入与历史工作说明,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,01_project/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
01_project/competition,2,01_project,IMMUTABLE_EVIDENCE,,历史名称下含现行工程工作/审计/运行证据；不能整树当比赛旧资料搬走,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,01_project/competition/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
01_project/current,2,01_project,SOURCE_DEPENDENCY,,来源关系与日期指针导航；CURRENT命名不代表今日授权,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,SOURCE_DEPENDENCY,01_project/current/README_CURRENT.md,ROLE_FROM_README_AND_CURRENT_ENTRY
01_project/governance,2,01_project,IMMUTABLE_EVIDENCE,,目录迁移、备份、审计和清理回执的拥有者,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,01_project/governance/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
01_project/inbox,2,01_project,LOCAL_PRIVATE,,协作者原始输入/私人往来；本地留档，派生公开内容另审,KEEP_PRIVATE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,LOCAL_PRIVATE,01_project/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
01_project/PL1_MAINLINE_20260808,2,01_project,HISTORICAL_RETAIN,,具日期的旧主线文件；保留原位，待文件级用途核对后才谈迁移,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,HISTORICAL_RETAIN,directory identity; 01_project/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research,1,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究问题、合同、论文与知识导航；分类不构成研究执行授权,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/00_project_architecture,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/comp_prot_03_a4_b5_0_b601_space_manipulator_engineering_cad,2,10_research,HISTORICAL_RETAIN,,早期阶段规划/合同，按原日期阅读并保留来源,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,HISTORICAL_RETAIN,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/comp_prot_03_a4_b5_1_b601_interface_closure_articulation_stowage,2,10_research,HISTORICAL_RETAIN,,早期阶段规划/合同，按原日期阅读并保留来源,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,HISTORICAL_RETAIN,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/comp_prot_03_a4_b5_1r1_b601_canonical_interface_native_articulation_rework,2,10_research,HISTORICAL_RETAIN,,早期阶段规划/合同，按原日期阅读并保留来源,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,HISTORICAL_RETAIN,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/competition_convergence,2,10_research,IMMUTABLE_EVIDENCE,,冻结合同/研究治理/原始审阅或图示记录；不按历史字样删,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/contribution_map,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/control,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/framework_convergence,2,10_research,IMMUTABLE_EVIDENCE,,冻结合同/研究治理/原始审阅或图示记录；不按历史字样删,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/integration,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/knowledge_base,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/mechanical_design_progress_gallery_20260729,2,10_research,IMMUTABLE_EVIDENCE,,冻结合同/研究治理/原始审阅或图示记录；不按历史字样删,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/on_orbit_assembly,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/panel,2,10_research,ACTIVE_RESEARCH,SOURCE_DEPENDENCY;IMMUTABLE_EVIDENCE,研究主题/论文/知识入口；仅文件用途分组，不新增研究任务或科学裁决,KEEP_IN_PLACE_WITH_ROLE_INDEX,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,ACTIVE_RESEARCH,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/partner_requirement_closure,2,10_research,IMMUTABLE_EVIDENCE,,冻结合同/研究治理/原始审阅或图示记录；不按历史字样删,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,IMMUTABLE_EVIDENCE,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
10_research/research_os_01,2,10_research,HISTORICAL_RETAIN,,早期阶段规划/合同，按原日期阅读并保留来源,LOGICAL_ARCHIVE_IN_PLACE,False,False,DIRECTORY_PURPOSE_NOT_FILE_DISPOSAL,True,No relocation/deletion from directory name; preserve hash pins/imports/native refs/Git metadata; explicit file-level allowlist required,HISTORICAL_RETAIN,10_research/README.md,ROLE_FROM_README_AND_CURRENT_ENTRY
