pair_id,sub_stack,layer,z_interval_S_mm,od_or_thickness,bearing_face_or_note
E2P-H01,out(+z 星外),head,"[114.15, 118.15]",7,头下面 → 垫圈
E2P-H01,out(+z 星外),washer,"[113.15, 114.15]",9,纵梁外顶面 z=113.15（承压环 OD9）
E2P-H01,out(+z 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H01,out(+z 星外),plug_engagement,"[109.25, 111.05]",,端塞内承压；尖 z=109.25 让 M4 螺钉包络 0.1
E2P-H01,bay(-z 舱内),head,"[96.15, 100.15]",7,头上面 → 垫圈
E2P-H01,bay(-z 舱内),washer,"[100.15, 101.15]",7,纵梁内顶面 z=101.15（承压环 OD7，剪力板隙 0.5）
E2P-H01,bay(-z 舱内),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø4.5 既有孔）
E2P-H01,bay(-z 舱内),plug_engagement,"[103.25, 105.05]",,端塞内承压；尖 z=105.05 让 M4 螺钉包络 0.1
E2P-H02,out(+z 星外),head,"[114.15, 118.15]",7,头下面 → 垫圈
E2P-H02,out(+z 星外),washer,"[113.15, 114.15]",9,纵梁外顶面 z=113.15（承压环 OD9）
E2P-H02,out(+z 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H02,out(+z 星外),plug_engagement,"[109.25, 111.05]",,端塞内承压；尖 z=109.25 让 M4 螺钉包络 0.1
E2P-H02,bay(-z 舱内),head,"[96.15, 100.15]",7,头上面 → 垫圈
E2P-H02,bay(-z 舱内),washer,"[100.15, 101.15]",7,纵梁内顶面 z=101.15（承压环 OD7，剪力板隙 0.5）
E2P-H02,bay(-z 舱内),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø4.5 既有孔）
E2P-H02,bay(-z 舱内),plug_engagement,"[103.25, 105.05]",,端塞内承压；尖 z=105.05 让 M4 螺钉包络 0.1
E2P-H03,out(+z 星外),head,"[114.15, 118.15]",7,头下面 → 垫圈
E2P-H03,out(+z 星外),washer,"[113.15, 114.15]",9,纵梁外顶面 z=113.15（承压环 OD9）
E2P-H03,out(+z 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H03,out(+z 星外),plug_engagement,"[109.25, 111.05]",,端塞内承压；尖 z=109.25 让 M4 螺钉包络 0.1
E2P-H03,bay(-z 舱内),head,"[96.15, 100.15]",7,头上面 → 垫圈
E2P-H03,bay(-z 舱内),washer,"[100.15, 101.15]",7,纵梁内顶面 z=101.15（承压环 OD7，剪力板隙 0.5）
E2P-H03,bay(-z 舱内),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø4.5 既有孔）
E2P-H03,bay(-z 舱内),plug_engagement,"[103.25, 105.05]",,端塞内承压；尖 z=105.05 让 M4 螺钉包络 0.1
E2P-H04,out(+z 星外),head,"[114.15, 118.15]",7,头下面 → 垫圈
E2P-H04,out(+z 星外),washer,"[113.15, 114.15]",9,纵梁外顶面 z=113.15（承压环 OD9）
E2P-H04,out(+z 星外),outer_wall,"[111.15, 113.15]",2,纵梁管外壁（Ø4.5 既有孔）
E2P-H04,out(+z 星外),plug_engagement,"[109.25, 111.05]",,端塞内承压；尖 z=109.25 让 M4 螺钉包络 0.1
E2P-H04,bay(-z 舱内),head,"[96.15, 100.15]",7,头上面 → 垫圈
E2P-H04,bay(-z 舱内),washer,"[100.15, 101.15]",7,纵梁内顶面 z=101.15（承压环 OD7，剪力板隙 0.5）
E2P-H04,bay(-z 舱内),inner_wall,"[101.15, 103.15]",2,纵梁管内壁（Ø4.5 既有孔）
