path,bytes,sha256,role
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/build_checkpoint_b.py,21082,AC071A6C18E9DBF244CCF6E75F0D6E6AEE5DB2E80258B3ACEA2B043C88784639,CHECKPOINT_OUTPUT_OR_EXECUTABLE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/ROUTE_C_CHECKPOINT_B_GATE_V1.json,14887,C9E7526D790E1FB7F5522A113EDF41F5913207C15A68E12468FD9EBA157349D1,CHECKPOINT_OUTPUT_OR_EXECUTABLE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/CHECKPOINT_B_PHYSICAL_INPUT_MATRIX_V1.csv,4722,A046340FCAE8E38ABA2AFCA67289BF4A8CC2BCEFFBB5F4609A20D7B664C95B4C,CHECKPOINT_OUTPUT_OR_EXECUTABLE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/ROUTE_C_CHECKPOINT_B_RECEIPT_V1.md,2494,94B415DCC18DF0003A72CFA4CC7BCDF8513E49378B57099611A64399E0FD6A93,CHECKPOINT_OUTPUT_OR_EXECUTABLE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/checkpoint_b/validate_checkpoint_b.py,3790,9F054A60CF300B4CDF485BB55B8EA34DC4DCAA98EE8E84BE46785ABD0798DA55,CHECKPOINT_OUTPUT_OR_EXECUTABLE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR_GPT_01_TO_06_TERMINAL_CLOSURE_V1.yaml,10251,B7EE60281935DD7417027D5428B9291BEE7D3F6528022509ACA168FB39B68689,CURRENT_DIRECT_OWNER_DIRECTIVES
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/08_gate/MPI_BRIDGE_GATE_V1.json,23153,60911E3C88387E2ED53601F2B541649BF90D689C57C4E74225226AE6FD10C721,CONFIRMED_MPI_BRIDGE_GATE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_solar_array_r2/HARNESS_B601_FULL_FK_SWEEP_V2.json,20197,DB86348B8276FB2DCEB48DA30D1969948B37AAC4DF6D67D7588D928CF8281FAE,FROZEN_ROUTE_B_NEGATIVE_RESULT
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_C2_01_REGISTRY_SKELETON_V1.yaml,19773,6264A0A45F6A497787F3D96205CEF7799A19A225CD23CEA66D5AD31E335A3E8E,C2_PHYSICAL_REGISTRY
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_C2_ADMISSION_GATE_V1.yaml,16376,0AE3888EDBE9A2DCD85792AA0E8800432911E4ED1C11D48C2206B60BED2521B8,C2_ADMISSION_SOURCE_GATE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/mpi_phys_dyn_bridge/round1_bridge/route_c_prep/ROUTE_C_RFI_EFG_ISSUANCE_V1.yaml,19395,77187CF362A9AA41B287A269D4AA827BA8B8A8385576DB0FD003E4BBE63EC1A2,RFI_EFG_ISSUANCE_RECORD
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/08_route_c/01_minimum_product_inputs/ROUTE_C_PRODUCT_INPUT_GATE_V1.json,4334,5D0908E4881AF5A87300778CD6C4E7C541512428B6237E1CF5E916BA61C8F38E,MINIMUM_PRODUCT_INPUT_GATE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/08_route_c/01_minimum_product_inputs/ROUTE_C_VENDOR_RFI_DECISION_GATE_V1.json,4876,74079091B35C47588096F1FDB0FF276E63036E656A4568A4C8A18868B1A79AC6,VENDOR_RFI_DECISION_GATE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/08_route_c/01_minimum_product_inputs/02_mpi_evidence_audit/ROUTE_C_MPI_EVIDENCE_GATE_V1.json,2981,348C9D603F7249E938E5F398CDA53B28A2B1155AFF2330F147BD93372F236D50,ROUTE_C_MPI_EVIDENCE_GATE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/08_route_c/02_pre_cad_parametric_guided_route_search/03_gate/ROUTE_C_PRECAD_PARAMETRIC_SEARCH_GATE_V1.json,17306,B43745081B4D0F2250993EBDB89074054B4A755C8A21555F9A42F0C392BCADCF,PRECAD_DIAGNOSTIC_GATE
20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json,7324,F3B444222E87509B66F712E623A4903748C7309C6396708EC02A0C1A54CDAA5C,MISSION_DEFER_CONDITION_GATE
