id,quantity,unit,value,value_uncertainty,status,candidate_source_present,candidate_source_is_authority,assigned_rfi,acceptable_source_classes,next_required_evidence
P01,D_max_geometry_mm,mm,,,HOLD,true,false,NONE_DIRECT,measurement|engineering_derivation,"supplier-controlled or measured installed finished-bundle OD and tolerance for each routed sub-bundle (MPI-05 controlled_exit), plus named finite guide/clamp/connector volumes and a physical CAD branch so the geometric capacity frontier can be evaluated (frontier currently UNKNOWN; V5 gate fact LC5-09)"
P02,R_path_min_mm,mm,,,HOLD,true,false,NONE_DIRECT,engineering_derivation|measurement,a physical Route-C route with controlled datums (P05) evaluated against the applicable bend limit of the selected construction (P06); catalog radii bound the route but do not define it
P03,deltaL_mm,mm,,,HOLD,false,false,NONE_DIRECT,engineering_derivation,"controlled route geometry and interface datums, then a take-up/cassette sizing derivation with stated margin; no RFI item can supply a route-dependent margin"
P04,carrier_travel_mm,mm,,,HOLD,false,false,RFI-E,vendor_catalog|measurement|engineering_derivation,"carrier product family with controlled travel and hard-stop positions, plus carrier kinematic closure per C4 predicate 'guide/carrier kinematic closure and hard-stop margin'"
P05,manufacturing_coordinates_mm,mm,,,HOLD,false,false,RFI-G,measurement|engineering_derivation,"controlled HN-00..HN-03 locations/orientations, connector face, passage/guide/clamp datums and fastener interfaces (MPI-07 controlled_exit); owner template INSTALLATION_ICD_OWNER_INPUT_TEMPLATE_V1.yaml is unfilled (clamp_and_guide_station_schedule open)"
P06,minimum_dynamic_bend_radius_mm,mm,,,HOLD,false,false,NONE_DIRECT,measurement|vendor_catalog,"selected-construction static/dynamic bend and torsion limits with temperature and installation conditions (MPI-06 controlled_exit); supplier RFI response stating the dynamic class for the exact construction, or a bend-torsion test record"
P07,max_axial_extension_mm,mm,,,HOLD,false,false,NONE_DIRECT,engineering_derivation,"physical route plus controlled interface datums (P03/P05), then a motion-derived length/take-up spectrum feeding the MPI-08 mission life allocation; no reviewed Route-C artifact carries this quantity"
P08,torsional_compliance,deg/m or N*m/rad per construction definition (unit itself not yet controlled),,,HOLD,false,false,NONE_DIRECT,measurement,"selected-construction torsion limit per length and torsional restoring-moment curve versus angle/rate/temperature, plus a combined bend-torsion test spectrum; owner template fields torsion_limit_per_length and torsional_restoring_moment_curve are unfilled; explicit_non_findings: no reviewed public source establishes B601 six-joint combined bending/torsion flex life"
P09,linear_density_g_per_m,g/m,,,HOLD,true,false,NONE_DIRECT,measurement|engineering_derivation,installed sub-bundle linear mass with tolerance and provenance (supplier-controlled or measured on the exact installed construction); owner template linear_mass field unfilled; MPI-05 state HOLD_UNKNOWN
P10,guide_friction_candidate,dimensionless coefficient or material-pair record (not yet controlled),,,HOLD,false,false,RFI-F,vendor_catalog|measurement,candidate guide/liner material pair with friction regime data versus temperature/vacuum and wear/abrasion evidence; parameter space unknown_physical_inputs.guide_material_and_wear_pair = null; preliminary contract lists guide/clamp/liner/fastener material-process selections as open; no guide-material front closed in V5 gate
P11,guide_curvature,mm,,,HOLD,false,false,NONE_DIRECT,engineering_derivation|measurement,"named finite guide volumes in a controlled physical CAD branch (guide_volumes_present currently false; physical_guide_volumes_evaluated = 0), each with curvature respecting the P06 bend limit"
P12,carrier_size_mm,mm,,,HOLD,false,false,RFI-E,vendor_catalog|measurement|engineering_derivation,"carrier product family, size series, bend-radius series and mass per unit length from a controlled source; no field in any reviewed Route-C artifact carries carrier size; unknown_physical_inputs lists carrier_hard_stop_positions_mm = null and no carrier-geometry field exists"
P13,clamp_spacing_mm,mm,,,HOLD,false,false,RFI-G,engineering_derivation|measurement,"controlled clamp station schedule: all clamp/guide datums, host links and fastener interfaces (INSTALLATION_ICD_OWNER_INPUT_TEMPLATE_V1.yaml requirement open); HN-02 clamp y/z undefined; HARNESS_B601_FULL_FK_SWEEP_V2.json scope_notes state Route-B clamp/waypoint positions were derived candidates, not released hardware stations, and are not inheritable"
