ref,pn,quantity,role,source,ordered,qualified
PS1,MEAN WELL RSP-500-24,1,EXTERNAL_GSE,RSP,False,False
Q1,E-T-A ESX10-105-DC24V-16A-E,1,EXTERNAL_GSE_CANDIDATE,ETA,False,False
K1,UNSELECTED,1,OPEN_COMPONENT_SELECTION,"DESIGN_REQUIREMENT; two-pole NO, monitored feedback, actual DC break rating >= fault case required",False,False
U1,ODrive Regen Clamp / screw terminals TB005-762-06BE,1,EXTERNAL_GSE_CANDIDATE,REGEN,False,False
RB1,ODrive supplied 2ohm 50W resistor; detailed pulse curve pending,1,EXTERNAL_GSE_CANDIDATE,REGEN,False,False
DM,"reBot B601 DM, public V4 BOM",1,GROUND_ROBOT,DM_PUBLIC,False,False
SEP,Seeed 100045091 XT30 2+2 splitter,1,GROUND_ROBOT,DM_PUBLIC,False,False
CAN,Seeed 100011896 USB-CAN board,1,EXTERNAL_GSE,DM_PUBLIC,False,False
PDU,P60 PDU200; 8S option; candidate Dock X1; Reg0=12V CH1; Reg1=3.3V CH2; Reg2=5V unused,1,LOW_POWER_CANDIDATE,PDU;PDU_OPTION,False,False
OBC,NanoMind A3200 200284 / DS2.0,1,LOW_POWER_GROUND_CHECKOUT_CANDIDATE,A3200,False,False
PC,Existing user computer; USB model unspecified,1,EXTERNAL_GSE,HOST_REQUIREMENT,False,False
RS_A,FTDI USB-RS422-WE-1800-BT,1,EXTERNAL_OWN_PROTOCOL_LOOP_ENDPOINT,FTDI,False,False
RS_B,FTDI USB-RS422-WE-1800-BT,1,EXTERNAL_OWN_PROTOCOL_LOOP_ENDPOINT,FTDI,False,False
