inspection_id,route_id,item,method_or_review,acceptance_basis,required_input,reference_clause,execution_status,input_state,measured_value,unit,test_voltage_v,test_time_s,pass_limit,result,inspector,date,record_path,design_status,design_coverage,design_evidence,inspection_level,required_equipment,procedure_dependency,remaining_dependency,next_responsible_role,physical_execution_boundary
PROP_DATA-01,PROP_DATA,版本与端点,核对实际设备修订、原厂ICD、两端连接器/配对件、端口视向及针号；截面坐标不得代替插头。,端点资料齐全且每条导体两端唯一；无来源针号不得制作,actual_device_icd_and_connector_drawings,PROJECT_ENDPOINT_RULE,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,PARTIAL_DESIGN_SOURCE_BOUND,已绑定同版本MiPS与C-POD资料；FTDI地面两端线色映射有参考，真实MiPS针位仍未知,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,DOCUMENT_AND_PART_IDENTITY,设备铭牌与双面插头照片；原厂配对面图,实际器件ICD及订单修订核对程序,真实MiPS端口与控制器型号/连接器/视向/针号,供应商接口工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-02,PROP_DATA,线材与触点配套,绑定导体截面、绞合、绝缘、温度等级、线端触点、密封及工具组合。,供应商允许该线材与触点组合，批次及工具可追溯,wire_contact_tool_and_process_pn,NASA_8739_4A_CH4_7_2_26,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,PARTIAL_DESIGN_CANDIDATE_ONLY,两根FTDI原厂线端缆为独立地面候选；真实推进绞合对/触点工具未选,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,MATERIAL_AND_PROCESS_REVIEW,线材批次资料；端子图；厂家工具和模具清单,实际线材-触点-绝缘-密封-工具组合认可程序,推进线材/端子/工具实际料号及允许压接窗口,线束工艺工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-03,PROP_DATA,预制板和长度,以本轮中心线构造检验用布局；补端接/插拔/松弛/绞合增量后另出裁线长度。,不得直接把ICD中心线数值作为裁线值；尺寸公差已批准,termination_allowances_and_cut_length,PROJECT_V6_GEOMETRY_ONLY,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,GEOMETRY_PARENT_ONLY_CUT_UNKNOWN,原204.973445725386mm仅ICD中心线；S01-S05没有裁线放行,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,PREBUILD_DIMENSION_AND_FABRICATION,全尺寸预制工装；量具；配对插头样件,端接与绞合增量/松弛/工具/拆装余量确定和尺寸验收程序,真实端点定位、公差、服务余量及裁线值,线束布局与工艺工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-04,PROP_DATA,弯曲半径,核对实际线束外径、线种最低弯曲半径和制造公差。,R21及OD6仅名义值；所选电缆和项目要求满足才可签署,actual_cable_od_and_minimum_radius_and_tolerance,NASA_8739_4A_CH4_TABLE_7_1;ECSS_20_30C_6_14_3_2,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,R21_NOT_VALIDATED_FOR_SELECTED_CABLE,FTDI名义OD5mm，最低弯曲半径和到货公差未绑定；Belden8723最小41mm不适配不变R21,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,DESIGN_REVIEW_AND_AS_BUILT_DIMENSION,线材数据表；卡尺；半径样板,按真实线种/固定或弯曲应用/外径公差裁剪的弯曲验收程序,推进电缆最低半径、线束成束外径与公差,线束布局工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-05,PROP_DATA,压接及端接,记录剥线长度、无伤线芯/绝缘、工具校准和工艺样件结果；按对应程序检查端子保持。,有选定触点工艺依据和记录；不得给未知触点统一拉力值,crimp_process_and_qualification_record,NASA_8739_4A_CH4_CH12_CH13;ECSS_20_30C_SCOPE,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,PROCESS_REQUIREMENTS_DEFINED_NOT_QUALIFIED,独立地面FTDI端线接头需要绝缘工艺；真实推进端接方式尚未定型,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,FABRICATION_AND_PROCESS_COUPON,厂家压接/剥线工具；校准量具；对应量程拉力仪,触点供应商工艺；适用压接/焊接专项规程；样件认可,触点料号、工具校准、剥线长度、拉力依据与样件,线束制造与质量,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-06,PROP_DATA,防磨与固定,检查穿舱保护、夹具接触、接头出口应力释放、拆装工具和余量。,无切边/受拉/夹扁；实际线束截面与夹具闭合尺寸相容,actual_grommet_clamp_cable_and_plug_envelope,NASA_8739_4A_CH4_7_2_20;PROJECT_MECHANICAL_INTERFACE,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,SCOPED_GSE_GEOMETRY_COMPLETED,新增RS422地面M16填料函范围检查通过；实际MiPS夹持与整线装入未证明,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,GEOMETRY_AND_ASSEMBLY_INSPECTION,实物填料函/电缆/成品插头；尺寸量具；经定义的加载工装,填料函厂家装配程序及已批准盖板/护套拉力与抗扭验收,螺母4mm假设、扭矩/拉力、盖板强度、工具路径和完整线束余量,机械接口与装配工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-07,PROP_DATA,标识与外观,核对线号、端口标签、方向、护套、清洁和异物。,与已批准from-to一致；线束身份与图纸版本可追溯,released_drawing_and_serial_record,NASA_8739_4A_CH4_CH21,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,IDENTIFICATION_SCHEMA_ONLY,23条功能导体已命名；真实推进线号与序列化工单尚未放行,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,FABRICATION_VISUAL,标识打印设备；放大检查；照相记录,图纸版本和线号一致性、清洁/外观验收程序,放行From-To、线束序列号和标识材料,制造与质量,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-08,PROP_DATA,导通与错线,在脱离设备的线束上使用配对测试适配器做逐点导通/短路检查。,阈值和测试适配器待选；所有有意导通路径含屏蔽按端接方案检查,continuity_short_matrix_and_contact_adapters,NASA_8739_4A_CH4_18_3;ECSS_20_30C_6_19_5_1,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,OFFLINE_RULE_COVERAGE_ONLY,15个声明负控通过不等于实物导通；PDU9-10额外短接仍属校验器覆盖缺项,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,DEENERGIZED_ELECTRICAL_TEST,校准低能量导通/电阻仪；唯一配对测试适配器,脱离电子设备的逐点导通/意外短接矩阵及阈值程序,实际连接器适配器、允许电流/电压和全网络测试矩阵,电气测试工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-09,PROP_DATA,耐压和绝缘,工程确定被测范围、接头/线材额定与试验参数，隔离有源电子后按批准程序执行。,本单不提供现场高压设置；试验电压/时间/限值目前为空,approved_DWV_IR_procedure_and_equipment_rating,NASA_8739_4A_CH4_18_2_18_3;ECSS_20_30C_6_19_5_3_6_19_5_4,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,PROCEDURE_INPUTS_OPEN,保持试验电压/时间/测量值为空；无耐压或绝缘试验信用,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,DEENERGIZED_DWV_IR_AFTER_ISOLATION,匹配被测额定的绝缘/耐压仪；隔离与放电设施,经工程审定且隔离敏感电子的DWV/IR对象级规程,真实线材/接头额定、被测范围、试验参数和限值,质量与电气测试工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
PROP_DATA-10,PROP_DATA,安装后复查,穿舱和夹紧安装后、插接设备前按已批准方案复核导通/绝缘和针位。,安装未损坏线束，记录可追溯，实际测值齐全,post_installation_record,NASA_8739_4A_CH4_18_2_4,NOT_EXECUTED,MISSING_OR_UNBOUND,,,,,,,,,,AS_BUILT_INSTALLATION_NOT_EXECUTED,地面端口局部几何有记录；无实际穿线安装后的电气复测,../docs/FUNCTIONAL_DESIGN_REPORT_ZH.md; ../results/ELECTRICAL_CALCULATIONS.json; ../results/ELECTRICAL_INDEPENDENT_REVIEW_V2.json; ../results/PORTS_CHECK.json; ../docs/PROPULSION_CAPABILITY_ZH.md,POST_INSTALLATION_DEENERGIZED_TEST,安装量具；导通适配器；按规程配置的仪器,安装后、插接电子前的损伤/针位/导通及规定绝缘复查,真实安装记录和首次线束验收结果,装配与电气测试工程,DESIGN_ONLY_THIS_RUN; real fabrication/tests need object-specific procedure and authorization; no device connection/energization/pressure execution performed
