module,item,qty,class,material,process,mass_estimate_kg,confidence,freeze_status,note
S01_BASE_ADAPTER,B601_BASE_ADAPTER machined part,1,MAKE,AL6061-T6,CNC 3-axis,1.0395,HIGH,F2_PASS,pilot complete; drawing human review pending
S01_BASE_ADAPTER,M8 SHCS arm-flange,4,BUY,A2-70,commercial,-,MEDIUM,F3-P1,BCD130; torque TBD
S01_BASE_ADAPTER,M6 SHCS spacecraft-side,4,BUY,A2-70,commercial,-,MEDIUM,F3-P1,140x140 pattern
S01_BASE_ADAPTER,dowel pin Ø6x12,2,BUY,commercial,commercial,-,MEDIUM,F3-P1,locating H7 TBD
S02_STOWAGE,G07 main saddle body,3,MAKE,AL7075-T6,CNC 3-axis,TBD,LOW,F3-P2_CANDIDATE,one per O13 station AFT/MID/FWD; CANDIDATE_HOLD
S02_STOWAGE,G07 contact pad,3,MAKE/BUY,PTFE/composite,machined,TBD,LOW,F3-P2_CANDIDATE,contact qualification HOLD
S02_STOWAGE,G07 guide cone,3,MAKE,AL6061-T6,CNC,TBD,LOW,F3-P2_CANDIDATE,envelope only
S02_STOWAGE,G08 wrist grip saddle,1,MAKE,AL7075-T6,CNC,TBD,LOW,F3-P2_CANDIDATE,six-DOF load path
S02_STOWAGE,G08 damping element,1,BUY,elastomer,commercial,TBD,LOW,F3-P2_CANDIDATE,damping TBD
S02_STOWAGE,ARM_STOW_SUPPORT_FRAME,1,MAKE,AL6061-T6,CNC+weld,TBD,LOW,F3-P2_CANDIDATE,ties saddles to load spreading frame
S03_HDRM,HDRM latch body,1,MAKE,AL7075-T6,CNC,TBD,LOW,F3-P2_CANDIDATE,engineering candidate NOT flight
S03_HDRM,release actuator envelope,1,ENVELOPE,-,-,TBD,LOW,F3-P2_CANDIDATE,envelope only; actuator model TBD
S03_HDRM,preload spring,1,BUY,spring steel,commercial,TBD,LOW,F3-P2_CANDIDATE,preload TBD
S03_HDRM,status sensor,1,ENVELOPE,-,-,TBD,LOW,F3-P2_CANDIDATE,envelope only
S03_HDRM,mechanical stop,1,MAKE,AL7075-T6,CNC,TBD,LOW,F3-P2_CANDIDATE,
S04_EE_V1,wrist flange adapter,1,MAKE,AL7075-T6,CNC,TBD,LOW,F3-P3,mounts to J6 output
S04_EE_V1,camera mount,1,MAKE,AL6061-T6,CNC,TBD,LOW,F3-P3,
S04_EE_V1,F/T sensor mount,1,MAKE,AL6061-T6,CNC,TBD,LOW,F3-P3,sensor BUY
S04_EE_V1,capture center datum,1,MAKE,AL6061-T6,CNC,TBD,LOW,F3-P3,kinematic datum only
S04_EE_V2,compliant joint,1,MAKE,AL7075-T6+elastomer,CNC,TBD,LOW,F3-P3,deferred to V2
S04_EE_V2,passive damper,1,BUY,elastomer,commercial,TBD,LOW,F3-P3,deferred to V2
S04_EE_V2,guide cone,1,MAKE,AL6061-T6,CNC,TBD,LOW,F3-P3,deferred to V2
S05_HARNESS,per-joint connector,6,BUY,commercial,commercial,TBD,LOW,F3-P1,routed per JOINT_ICD
S05_HARNESS,cable routing provisions,6,MAKE,AL6061-T6 (clips),CNC/formed,TBD,LOW,F3-P1,no tension/kink/through-axis
S05_HARNESS,strain relief,6,BUY,commercial,commercial,TBD,LOW,F3-P1,
S07_LOAD_SPREADING,load spreading frame,1,MAKE,AL6061-T6,CNC,TBD,LOW,F3-P2,adapter->longerons path
S00_VENDOR_CORE,B601 arm core (6 joints+gripper),1,BUY,-,-,4.6956 (URDF),HIGH,FROZEN_BUY,accepted URDF mass; vendor STEP envelope
S06_LINK_COVERS,link cover (optional),6,MAKE,AL/composite,TBD,TBD,LOW,DEFERRED,only if thermal/MMOD rationale accepted (D8)
