name,value,unit,role,source,drive_status
BUS_ENVELOPE_Y,226.3,mm,spacecraft bus half-width envelope,NATIVE01 N10 / Codex reconciliation,DRIVE
C5_STOWED_PACK_WIDTH,238.3,mm,negative result preserved (238.3>226.3),NATIVE01 N10,NO_DRIVE_NEGATIVE
SOLAR_ROOT_MECH_MIN_WIDTH,302.3,mm,negative result preserved mechanism width,NATIVE01 N10,NO_DRIVE_NEGATIVE
MOUNT_FACE_X,198.0,mm,B601 mount face (display track; human approved 2026-07-27),human_rulings_2026_07_27,DRIVE
T_SM_DYNAMICS_X,185.25,mm,mount face (dynamics track; O3 unresolved dual-track),NATIVE01 open item O3,DRIVE_PENDING_O3
X_INTERFACE_REF,183.0,mm,interface reference plane,MIGRATION_DIRECTIVE_20260803,DRIVE
LONGERON_AXIS_Y,101.65,mm,longeron axis |Y| (symmetric ±),MIGRATION_DIRECTIVE_20260803,DRIVE
LOAD_LAYER_Y,110.15,mm,primary load-bearing layer,NATIVE01 N10 (spine Y[110.15,113.15]),DRIVE
PANEL_LAYER_Y,113.15,mm,removable panel layer / wing root edge,NATIVE01 N10,DRIVE
HISTORICAL_Y,105.65,mm,historical value,MIGRATION_DIRECTIVE_20260803,NO_DRIVE
B601_INTERFACE_DIA,100.0,mm,B601 base interface diameter,Codex reconciliation aligned,DRIVE
BASE_PLATE_LX,160.0,mm,base adapter plate X,Codex reconciliation aligned,DRIVE
BASE_PLATE_LY,160.0,mm,base adapter plate Y,Codex reconciliation aligned,DRIVE
BASE_PLATE_T,12.0,mm,base adapter plate thickness,Codex reconciliation aligned,DRIVE
CLOCK_A0_DEG,25.0,deg,arm clocking angle (ratified for B5.1 candidate only),O11 ruling + authorization truth_lock,DRIVE
CLOCK_MIN_DEG,7.894,deg,minimum required clocking (q1 margin basis),O11 ruling,NO_DRIVE_LIMIT
GRIPPER_P_TRAVEL,71.5,mm,gripper prismatic travel each finger (URDF 0.0715 m),accepted URDF J8/J9,DRIVE
STOW_Q1_DEG,145.572,deg,stow vector v3 joint1,O13 v3 (CANDIDATE_HOLD),DRIVE_CANDIDATE
STOW_Q2_DEG,-168.0,deg,stow vector v3 joint2,O13 v3 (CANDIDATE_HOLD),DRIVE_CANDIDATE
STOW_Q3_DEG,-57.0,deg,stow vector v3 joint3,O13 v3 (CANDIDATE_HOLD),DRIVE_CANDIDATE
STOW_Q4_DEG,-41.143,deg,stow vector v3 joint4,O13 v3 (CANDIDATE_HOLD),DRIVE_CANDIDATE
STOW_Q5_DEG,-20.954,deg,stow vector v3 joint5,O13 v3 (CANDIDATE_HOLD),DRIVE_CANDIDATE
STOW_Q6_DEG,-3.0,deg,stow vector v3 joint6,O13 v3 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_AFT_X_MIN,-20.0,mm,saddle AFT X window lower,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_AFT_X_MAX,0.0,mm,saddle AFT X window upper,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_AFT_CONTACT_Z,261.08,mm,saddle AFT contact Z,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_AFT_TOWER_H,147.93,mm,saddle AFT tower height (<=150 PASS),O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_MID_X_MIN,80.0,mm,saddle MID X window lower,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_MID_X_MAX,100.0,mm,saddle MID X window upper,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_MID_CONTACT_Z,214.92,mm,saddle MID contact Z,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_MID_TOWER_H,101.77,mm,saddle MID tower height,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_FWD_X_MIN,160.0,mm,saddle FWD X window lower,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_FWD_X_MAX,180.0,mm,saddle FWD X window upper,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_FWD_CONTACT_Z,209.42,mm,saddle FWD contact Z,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
SADDLE_FWD_TOWER_H,96.27,mm,saddle FWD tower height,O13 (CANDIDATE_HOLD),DRIVE_CANDIDATE
STOW_Z_LIMIT,UNKNOWN,na,stowed Z envelope limit (human ruling: keep UNKNOWN, no default compliance),human_rulings_2026_07_27,NO_DRIVE_UNKNOWN
MIN_MOVABLE_CLEARANCE,8.0,mm,minimum movable-section clearance requirement,O13 gate criterion,DRIVE_LIMIT
BCD_FLANGE,130.0,mm,arm-flange bolt circle diameter (4x M8 clearance),MIGRATION_DIRECTIVE_20260803,DRIVE
CORNER_PATTERN,140.0,mm,spacecraft-side corner hole square pattern (4x M6 clearance),MIGRATION_DIRECTIVE_20260803,DRIVE
ARM_TOTAL_MASS_KG,4.6955559493429862,kg,accepted URDF mass authority,accepted URDF,NO_DRIVE_AUTHORITY
