lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,tip_L_mm,tip_R_mm,energy_J,joint_work_J,damping_energy_J,momentum_dP_norm,momentum_dL_norm,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6
M3R_B__M07_ARM_ONLY,0,0.000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
M3R_B__M07_ARM_ONLY,1,1.000000000000e-01,2.1295582845574687e-07,-1.4551766591551315e-07,-1.2643882800054030e-07,9.9999999950990137e-01,8.1437217350058524e-06,-3.0168560698498888e-05,1.9326056410702067e-06,4.8057860941396266e-04,-1.7893183224924659e-03,1.1500060216491155e-04,3.5876442291868428e-03,-1.3769972938380748e-03,9.6848685913309262e-03,1.6327071568073916e-06,1.6327237219112611e-06,1.6497724322079062e-11,7.1140683129147678e-19,1.1061667373132581e-19,-2.9784698097524371e-07,1.1874705556114683e-07,1.0208738130083306e-08,3.5096016526051660e-06,6.9641494204185095e-07,4.5052902634308274e-08
M3R_B__M07_ARM_ONLY,2,2.000000000000e-01,1.6620501899721103e-06,-1.1259462768319897e-06,-8.8830235179450185e-07,9.9999997076830582e-01,6.2220195356595657e-05,-2.3315415249939696e-04,1.5204480257804036e-05,1.8127761807149494e-03,-6.8329699307935780e-03,4.5406170372491066e-04,2.7707326356937696e-02,-7.4038071387183182e-03,8.2785724855484077e-02,2.3850881336026170e-05,2.3851230349751629e-05,3.4906611951881797e-10,7.7738468919664200e-18,1.8223338565530287e-18,-2.0364545542764428e-06,1.6641144505422884e-07,1.7822944507782523e-08,2.5274391452544847e-05,9.1899737638284303e-07,7.6681171717630343e-08
M3R_B__M07_ARM_ONLY,3,3.000000000000e-01,5.5481210039126275e-06,-3.6637890042201675e-06,-2.7286810291300123e-06,9.9999968979057208e-01,2.0098080320121749e-04,-7.5984096032846553e-04,5.1644858434261963e-05,3.8401565419040554e-03,-1.4659810339510937e-02,1.0542944870153758e-03,9.0259959338311713e-02,-2.0012899741530803e-02,2.4458454612883579e-01,1.1012378317092228e-04,1.1012564985773668e-04,1.8666849612109124e-09,1.5893331501108209e-17,1.2381548775916474e-17,-5.6366417679962674e-06,2.9416443432297618e-07,2.4514105862949544e-08,7.3643043498192041e-05,1.5616953255499176e-06,1.0148341963746299e-07
M3R_B__M07_ARM_ONLY,4,4.000000000000e-01,1.3246236990623831e-05,-8.3430934923625160e-06,-5.8013812913045228e-06,9.9999837783982193e-01,4.5573360396245789e-04,-1.7379646195062983e-03,1.2689991439597873e-04,6.4375387484881114e-03,-2.4816378020205924e-02,2.0338126263395109e-03,2.0640230954217090e-01,-3.6225998640966504e-02,4.8138169187693208e-01,3.1710940329828522e-04,3.1711438749988050e-04,4.9842194369168389e-09,1.8038511648273431e-17,2.4377912186597914e-17,-1.0382430410177564e-05,3.3975197198439232e-07,3.1011576196041081e-08,1.4375861483128223e-04,1.8191071128961147e-06,1.2790474215358367e-07
M3R_B__M07_ARM_ONLY,5,5.000000000000e-01,2.6586233253231691e-05,-1.5579645401929180e-05,-1.0052547284975225e-05,9.9999424504241696e-01,8.5293494784072536e-04,-3.2729653343942819e-03,2.6472993996501880e-04,9.5364889224189790e-03,-3.6862299606856601e-02,3.5988949053257445e-03,3.8876655636521673e-01,-5.2595743185149479e-02,7.3985173977352958e-01,7.0483514246517790e-04,7.0484381110524452e-04,8.6686507556463763e-09,6.0737249802466984e-18,7.7786075231145380e-18,-1.5203180819460050e-05,3.5400027482492704e-07,3.4901649840414603e-08,2.2015725050340894e-04,1.9606678189428337e-06,1.5160971194427239e-07
M3R_B__M07_ARM_ONLY,6,6.000000000000e-01,4.8131521725472832e-05,-2.5585820319903886e-05,-1.5333455909152035e-05,9.9998402579859447e-01,1.4178611952418941e-03,-5.4485398768866341e-03,5.0122896670869263e-04,1.3161752839192766e-02,-5.0365927056053091e-02,6.0332267193388212e-03,6.4770579386708660e-01,-6.8343062102757729e-02,9.5329815081475511e-01,1.3297103356848963e-03,1.3297215769047218e-03,1.1241302643793384e-08,2.3650662655642454e-17,1.2427933424882735e-17,-1.9830473564120987e-05,3.7293349368692197e-07,3.3711873282694044e-08,2.8364228977075954e-04,2.4681715380038767e-06,1.6728688302862668e-07
M3R_B__M07_ARM_ONLY,7,7.000000000000e-01,8.1413772467716069e-05,-3.8335550375390145e-05,-2.1542620073925885e-05,9.9996256460327038e-01,2.1786088598252898e-03,-8.3267105607945906e-03,8.8822672948901953e-04,1.7415117860256527e-02,-6.4889875702112854e-02,9.6749999692618480e-03,9.9153991292693211e-01,-8.7861315450795952e-02,1.0750444246333450e+00,2.2402479635517483e-03,2.2402600926974673e-03,1.2129133161342871e-08,2.4414192136617432e-17,2.2047991605564638e-17,-2.5718566246006661e-05,2.3892919372863073e-07,2.7490306376444657e-08,3.1960121925375722e-04,2.5109561830552229e-06,1.8142022138914089e-07
M3R_B__M07_ARM_ONLY,8,8.000000000000e-01,1.3109561735314502e-04,-5.3533306729115818e-05,-2.8804313634201764e-05,9.9992248654034299e-01,3.1697627503232198e-03,-1.1947283574173649e-02,1.4953027394904895e-03,2.2457457297600535e-02,-7.9977245186505896e-02,1.4883659670333137e-02,1.4267865012225325e+00,-1.2298996155247068e-01,1.0904720392908227e+00,3.4750219757462035e-03,3.4750342357901193e-03,1.2260229163323290e-08,1.5801479521176555e-17,3.3790687477461519e-17,-3.6224066261122759e-05,9.0224042081939447e-08,1.6969712857436887e-08,3.2442652533114225e-04,2.8022077690698406e-06,2.0042898898977376e-07
M3R_B__M07_ARM_ONLY,9,9.000000000000e-01,2.0304189436258453e-04,-7.0593620786251092e-05,-3.7513458698837368e-05,9.9985397655175290e-01,4.4342308801372070e-03,-1.6326508111989917e-02,2.4100421194645206e-03,2.8486656393071096e-02,-9.5139256745022049e-02,2.1999672952470063e-02,1.9583224863615600e+00,-1.8832529848279175e-01,1.0307543551076011e+00,5.0622895529942105e-03,5.0623022574996972e-03,1.2704490096772197e-08,1.1116810814431884e-16,4.4482235028389109e-17,-5.5726458460179347e-05,-1.4613356969484876e-07,9.6176184049977521e-10,3.0719129549534359e-04,3.2114754568625641e-06,2.2078954765693552e-07
M3R_B__M07_ARM_ONLY,10,1.000000000000e+00,3.0428724518683599e-04,-8.8631534639412195e-05,-4.8337704342496018e-05,9.9974468377588599e-01,6.0235432655752243e-03,-2.1455174043852363e-02,3.7362675398599507e-03,3.5689042590824255e-02,-1.0984335646275784e-01,3.1302440607921686e-02,2.5895009402094695e+00,-2.9666991834446471e-01,9.5925084600180466e-01,7.0211724455571259e-03,7.0211861003909026e-03,1.3654805418675587e-08,8.0950414346138243e-17,1.8225564289079282e-17,-8.8046556755277559e-05,-5.1375299514497881e-07,-2.1684425207146692e-08,2.8608660332456989e-04,3.2246029250763595e-06,2.3618943964215124e-07
M3R_B__M07_ARM_ONLY,11,1.100000000000e+00,4.4289326091644614e-04,-1.0646542714424360e-04,-6.2165941020915581e-05,9.9957976373921742e-01,7.9968107389465724e-03,-2.7296467234616227e-02,5.5901536262807265e-03,4.4227917765313263e-02,-1.2351583210231497e-01,4.2966807085744109e-02,3.3222292507924167e+00,-4.5402734096052982e-01,9.4096100195988530e-01,9.3626806655537735e-03,9.3626957549967273e-03,1.5089362748104350e-08,1.5242031732068180e-16,4.4473967829142634e-17,-1.3481410731826072e-04,-8.6918965899879335e-07,-4.9562407279720823e-08,2.8107892161671348e-04,3.6261015557812106e-06,2.4759320882238926e-07
M3R_B__M07_ARM_ONLY,12,1.200000000000e+00,6.2769174183480614e-04,-1.2263627850982918e-04,-7.9979448618828881e-05,9.9934207100891381e-01,1.0418500464313519e-02,-3.3784048648540642e-02,8.0943200210587124e-03,5.4231713570867521e-02,-1.3555422672006845e-01,5.7023589436691551e-02,4.1570088763197477e+00,-6.5458297700698642e-01,1.0237192063920029e+00,1.2090049085115717e-02,1.2090066854475369e-02,1.7769302290265461e-08,8.6755958232083644e-17,4.9796521747167316e-17,-1.9445069105400540e-04,-1.3482567769443109e-06,-8.0878161572698662e-08,3.0567725625449226e-04,3.8130601262503507e-06,2.6017044499047533e-07
