lane_id,sample_index,t_s,base_x_m,base_y_m,base_z_m,quat_w,quat_x,quat_y,quat_z,base_wx_rad_s,base_wy_rad_s,base_wz_rad_s,base_dev_deg,tip_L_mm,tip_R_mm,energy_J,joint_work_J,damping_energy_J,momentum_dP_norm,momentum_dL_norm,eta_1,eta_2,eta_3,eta_4,eta_5,eta_6
M3R_B__M01,0,0.000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
M3R_B__M01,1,1.000000000000e-01,-1.2063199467827881e-07,-4.1723087289986914e-07,-8.1360999890974349e-08,9.9999999997693545e-01,6.6333989362447640e-06,-1.2750899626094348e-06,-7.0796627789301773e-07,3.9506703024535199e-04,-7.6268555418663816e-05,-4.2472239597729212e-05,7.7828761822741307e-04,-4.2359583299182990e-03,4.7642077935418151e-03,4.6021586973059817e-08,4.6027613073960144e-08,6.0188585167050425e-12,2.5456828023253648e-20,2.7426983728164333e-20,-1.4487009084448004e-06,-2.1129825519611538e-07,-1.2731386697342188e-08,1.6532337866474170e-06,2.6350135538121045e-07,1.6300837289967892e-08
M3R_B__M01,2,2.000000000000e-01,-9.5274382659483307e-07,-3.3095198207418282e-06,-6.2717331434428456e-07,9.9999999858152722e-01,5.1990535159973433e-05,-1.0101525264567722e-05,-5.6470554576338028e-06,1.5396743616840594e-03,-3.0100678458140233e-04,-1.6885863696903603e-04,6.1034884862166666e-03,-3.5233321434219339e-02,4.0115673756795513e-02,7.1517808969430526e-07,7.1532137490153167e-07,1.4329377570035603e-10,5.8123250245787648e-19,5.0698300713171371e-20,-1.0672852276942040e-05,-2.9723604646731817e-07,-2.2591455890092128e-08,1.2181276448579244e-05,3.7113044351476604e-07,2.8962265792095373e-08
M3R_B__M01,3,3.000000000000e-01,-3.1741042807788947e-06,-1.1069888349004213e-05,-2.0473999551272511e-06,9.9999998446008564e-01,1.7198693644002630e-04,-3.3764880630617138e-05,-1.8980391826298286e-05,3.3675384413494511e-03,-6.6911199834337207e-04,-3.7841761500826158e-04,2.0201886972541626e-02,-1.0621749233292171e-01,1.2109180342389214e-01,3.5263506066259641e-06,3.5271612051855939e-06,8.1059601505848881e-10,1.3356804505993251e-18,3.4192444534960160e-19,-3.1833228936035526e-05,-5.1710462884332088e-07,-3.1233825495685104e-08,3.6343200747730960e-05,6.4616765725270163e-07,4.0094999159963131e-08
M3R_B__M01,4,4.000000000000e-01,-7.4277469727303590e-06,-2.6025090238667700e-05,-4.6714108941585940e-06,9.9999991624462692e-01,3.9900459647189120e-04,-7.9330510763120777e-05,-4.4863587647430561e-05,5.8102769060187839e-03,-1.1763704687537096e-03,-6.7054808341987114e-04,4.6900121487057203e-02,-2.1403906983158325e-01,2.4424861217010602e-01,1.0861290571290350e-05,1.0863586490769193e-05,2.2959219037531710e-09,4.9832036042209656e-19,5.0113722027035833e-19,-6.3752850272363472e-05,-6.2545245928956785e-07,-4.0722889380566088e-08,7.2814074020599381e-05,7.8271550670253660e-07,5.2330819589568726e-08
M3R_B__M01,5,5.000000000000e-01,-1.4324506588195692e-05,-5.0427980253194558e-05,-8.7539234476009311e-06,9.9999969388679244e-01,7.6222147596215781e-04,-1.5365263656445252e-04,-8.7381979327353217e-05,8.8075477491154353e-03,-1.8185866997973239e-03,-1.0430824855236992e-03,8.9662051409480095e-02,-3.3820800816307711e-01,3.8621808425259441e-01,2.5834298157908319e-05,2.5838549919064423e-05,4.2517622518878215e-09,3.0846516427190722e-18,1.4241281595773454e-18,-1.0047155972536265e-04,-7.0786671913589670e-07,-4.9692928370189976e-08,1.1480469417967728e-04,8.8625715304113816e-07,6.3886774037957461e-08
M3R_B__M01,6,6.000000000000e-01,-2.4446190797703936e-05,-8.6431262841604696e-05,-1.4493468269821568e-05,9.9999912399948709e-01,1.2884208770821959e-03,-2.6334276371116973e-04,-1.5040774823107931e-04,1.2324467868171818e-02,-2.5902202051999936e-03,-1.4895314035615536e-03,1.5167703758288212e-01,-4.5027495334626771e-01,5.1444310557013562e-01,5.2080681206313928e-05,5.2086546258144142e-05,5.8650527283932154e-09,4.3457145673550200e-18,2.7557177816745804e-18,-1.3372805222844334e-04,-8.9766238820761703e-07,-5.6669632829198032e-08,1.5287464076040716e-04,1.1228139958957726e-06,7.2810731669394646e-08
M3R_B__M01,7,7.000000000000e-01,-3.8349130181368562e-05,-1.3605060337084027e-04,-2.2058723720248428e-05,9.9999787966650466e-01,2.0030748074085993e-03,-4.1471706799808513e-04,-2.3741011858667116e-04,1.6346184941370676e-02,-3.4848270663336654e-03,-1.9998171104705425e-03,2.3597706197764509e-01,-5.2682006950529159e-01,6.0211307152869187e-01,9.3536445362314119e-05,9.3543075835033601e-05,6.6304725943284202e-09,2.1692512125467327e-18,1.1604635779121994e-18,-1.5636387657539554e-04,-9.4991728282228657e-07,-6.3420445484432404e-08,1.7880317612353804e-04,1.1863115955480151e-06,8.1306225496051765e-08
M3R_B__M01,8,8.000000000000e-01,-5.6567769706032271e-05,-2.0112760835695582e-04,-3.1616919634653236e-05,9.9999545330883899e-01,2.9314312309255725e-03,-6.1374904485455520e-04,-3.5126158049736416e-04,2.0872918203435502e-02,-4.4955818033152730e-03,-2.5609838239800727e-03,3.4555367658881281e-01,-5.5662655574635755e-01,6.3605947632047433e-01,1.5423389647819443e-04,1.5424066479765449e-04,6.7683219739810726e-09,1.0667414430467748e-17,1.9911263864678603e-18,-1.6528405079155426e-04,-1.0817272640348431e-06,-7.1673211692269897e-08,1.8897127782043868e-04,1.3462525690933961e-06,9.1552875098276385e-08
M3R_B__M01,9,9.000000000000e-01,-7.9618600335371552e-05,-2.8332015459990774e-04,-4.3337281672562067e-05,9.9999110228026888e-01,4.0989118202983460e-03,-8.6608402577974817e-04,-4.9414637789385878e-04,2.5911382505389251e-02,-5.6161401679131560e-03,-3.1584844674861726e-03,4.8340073769364345e-01,-5.4736279887272710e-01,6.2470699045341427e-01,2.3814938777688333e-04,2.3815617666784870e-04,6.7888658396189187e-09,1.1856284913204610e-17,1.4103096028141387e-18,-1.6270285415186412e-04,-1.2432097410781598e-06,-8.0392996551821407e-08,1.8580550490479548e-04,1.5415570052057445e-06,1.0223631004408213e-07
