joint_name,urdf_type,parent_link,child_link,origin_xyz_m,origin_rpy_rad,axis_joint_frame,lower_rad_or_m,upper_rad_or_m,current_native_representation,current_native_driver,current_native_limit,current_zero_reference,current_sign_verification,r1_required_implementation,current_gate
joint1,revolute,base_link,link1,-8.416E-05 0 0.08465,0 0 0,0 0 1,-2.8,2.8,CONCENTRIC_PLUS_COINCIDENT_AND_ABSOLUTE_TRANSFORM2_COORDINATION,NONE_NATIVE,false,MISSING,NOT_NATIVE_DRIVER_VERIFIED,UNIQUE_NATIVE_R_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD
joint2,revolute,link1,link2,0.020084 0.031625 0.05555,-1.5708 0 0,0 0 -1,-3.14,0,CONCENTRIC_PLUS_COINCIDENT_AND_ABSOLUTE_TRANSFORM2_COORDINATION,NONE_NATIVE,false,MISSING,POSITIVE_DIRECTION_NOT_SOLVER_TESTED,UNIQUE_NATIVE_R_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD
joint3,revolute,link2,link3,-0.264 0 0,0 0 0,0 0 1,-3.14,0,CONCENTRIC_PLUS_COINCIDENT_AND_ABSOLUTE_TRANSFORM2_COORDINATION,NONE_NATIVE,false,MISSING,POSITIVE_DIRECTION_NOT_SOLVER_TESTED,UNIQUE_NATIVE_R_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD
joint4,revolute,link3,link4,0.2426 -0.054 -0.001625,0 0 0,0 0 1,-1.87,1.57,CONCENTRIC_PLUS_COINCIDENT_AND_ABSOLUTE_TRANSFORM2_COORDINATION,NONE_NATIVE,false,MISSING,NOT_NATIVE_DRIVER_VERIFIED,UNIQUE_NATIVE_R_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD
joint5,revolute,link4,link5,0.078308 -0.0375 -0.03,-1.5708 0 0,0 0 1,-1.57,1.57,CONCENTRIC_PLUS_COINCIDENT_AND_ABSOLUTE_TRANSFORM2_COORDINATION,NONE_NATIVE,false,MISSING,NOT_NATIVE_DRIVER_VERIFIED,UNIQUE_NATIVE_R_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD
joint6,revolute,link5,link6,0.023692 0 0.04,0 1.5708 0,0 0 1,-3.14,3.14,CONCENTRIC_PLUS_COINCIDENT_AND_ABSOLUTE_TRANSFORM2_COORDINATION,NONE_NATIVE,false,MISSING,NOT_NATIVE_DRIVER_VERIFIED,UNIQUE_NATIVE_R_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD
gripper_joint,fixed,link6,gripper_link,0 0 0.15971,0 -1.5708 0,0 0 0,,,GEOMETRY_EMBEDDED_IN_LINK6_SEGMENT,NOT_APPLICABLE,false,NO_NAMED_FIXED_JOINT_OBJECT,TRACE_ONLY,NAMED_ZERO_DOF_FIXED_MATE_WITH_URDF_TRANSFORM,G7_TRACEABILITY_ONLY
gripper_joint1,prismatic,gripper_link,gripper_left,-0.042091 2.7531E-05 -1.3031E-05,0 0 -1.5708,1 0 0,0,0.0715,MISSING_CHILD_AND_NATIVE_JOINT,NONE_NATIVE,false,MISSING,NOT_TESTED,INDEPENDENT_NATIVE_P_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD
gripper_joint2,prismatic,gripper_link,gripper_right,-0.042091 -2.7531E-05 1.3031E-05,0 0 1.5708,1 0 0,0,0.0715,MISSING_CHILD_AND_NATIVE_JOINT,NONE_NATIVE,false,MISSING,NOT_TESTED,INDEPENDENT_NATIVE_P_DRIVER_ZERO_REFERENCE_AXIS_SIGN_AND_LIMIT,G3_HOLD

