role,path,exists,bytes,sha256,registered_sha256,identity,note
L0_ACCEPTED_URDF,20_engineering\cad\spacecraft_layout\arm_b601_v1\arm_b601_v1.urdf,True,11321,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,1BC2B7483CD8025D08BA6EADFD9E1F3B0477121714E7CF4DDC1794D9E471C164,MATCH,modification FORBIDDEN; mass 4.695555949342986 kg; 6R+1F+2P
FROZEN_GEOMETRY_DONOR,20_engineering\F3R1_MECHANICAL_INTEGRATION_RECOVERY_20260806\03_native_cad\F3R1_SPACE_EMBODIED_ROBOT_INTEGRATION_V3_CONFIGURED.SLDASM,True,29594924,19D85E9C703BEC107396AE84DAB7B12DE5722434FC7D5474B3A5A144A1B590D0,19D85E9C703BEC107396AE84DAB7B12DE5722434FC7D5474B3A5A144A1B590D0,MATCH,"CORRECT frozen donor for Mode A candidate; copy/derive only, never edit in place"
IDENTITY_MISMATCH_DO_NOT_USE,20_engineering\F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807\03_native_cad\F3R2_SPACE_EMBODIED_ROBOT_OPERATIONAL_BASELINE.SLDASM,True,26163395,B03D684564E162AD28C53F12A7FF28500AE1D18DC1D3E6BF1597570AEB20F604,19D85E9C703BEC107396AE84DAB7B12DE5722434FC7D5474B3A5A144A1B590D0,IDENTITY_MISMATCH,rewritten 2026-08-30; DO_NOT_USE_AS_FROZEN_DONOR
V2_2_NATIVE_DONOR,20_engineering\cad\Space_Embodied_Robot_CAD_V2_2_NATIVE\Assembly\Space_Embodied_Service_Spacecraft_V2_2.SLDASM,True,705386,30C09B50A0D2967EC1F48050CAAC34D12A43565C44978D54E3785595202DEF7A,30C09B50A0D2967EC1F48050CAAC34D12A43565C44978D54E3785595202DEF7A,MATCH,"bus donor, registered bytes intact"
A03_MASTER_GEOMETRY_STEP,20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\04_MASTER_GEOMETRY.step,True,1373004,8C85585E9C051AEBB849E48F56354B48BF4204F61103B550BD92FC77BA99EA9E,8C85585E9C051AEBB849E48F56354B48BF4204F61103B550BD92FC77BA99EA9E,MATCH,41 solids; B601 = FRAME_AXIS_WITNESS_ONLY; wings = LEGACY_R1; bus = solid proxy
A03_MASTER_GEOMETRY_FCSTD,20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\03_MASTER_GEOMETRY.FCStd,True,579603,013DA84FE9A5C388252DB18516628411C484BB818959FA1A5CF8D950485636E7,013DA84FE9A5C388252DB18516628411C484BB818959FA1A5CF8D950485636E7,MATCH,
SOLAR_R2_CANDIDATE_STEP,20_engineering\F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1\ecr_solar_array_r2\SOLAR_ARRAY_R2_CANDIDATE_V1.step,True,131834,21FF77B882DBFAB87B3E77DD56817EFC7F321C68E30AFEDCDDBB4D79B9915795,21FF77B882DBFAB87B3E77DD56817EFC7F321C68E30AFEDCDDBB4D79B9915795,MATCH,"three-leaf R2 wing, FROZEN; NOT present in A03"
PARENT_RELEASE_GATE,20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\00_RELEASE_GATE.json,True,5166,14D30FD40AC60253C0716A71BA46950E1DF6B8E69DCE3F12690319B970A48674,14D30FD40AC60253C0716A71BA46950E1DF6B8E69DCE3F12690319B970A48674,MATCH,GATE_A_NOT_PASSED; this candidate must not reissue it
PRODUCT_STRUCTURE,20_engineering\MECHANICAL_ENGINEERING_RELEASE_R2\02_PRODUCT_STRUCTURE.yaml,True,48807,0F9897EF4E41666DDB29CB0FC621DD737FDD8CCDE3F5527030E53A9D1604681A,0F9897EF4E41666DDB29CB0FC621DD737FDD8CCDE3F5527030E53A9D1604681A,MATCH,
ODR_F4R1_01,20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\00_charter\ODR_F4R1_01_SIGNED.md,True,1653,88FB25431D1ACD5BB1068BCA3EEBC52BE2C26BA87471BAC61E00D57E73EAAFFC,,RECORDED_NO_PRIOR_REGISTRATION,"clause 4 conflicts with Mode A; registered, NOT modified by this package"
ODR_F4R1_02,20_engineering\F4R1_INTERNAL_CONFIGURATION_COMPLETION_V1\00_charter\ODR_F4R1_02_SIGNED.md,True,1691,C6BB18A3928D5723FCC3508749590EE4399FFEE50E18D107E4D0C27726325561,,RECORDED_NO_PRIOR_REGISTRATION,clause 3 registers FreeCAD 1.1.3 + OCP as the authorised toolchain
H9_PACKAGING_DECISION,20_engineering\cad\B5_1R1_B601_interface_native_rework_candidate\00_BASELINE\PARENT_LOCKED_INPUTS\PARENT_H9_DECISION\B51_PACKAGING_ENVELOPE_DECISION.md,True,2455,87FADC184E2384DE55A50DB6DB03DEC381E1214A438BFAFC765511B6B34174C1,,RECORDED_NO_PRIOR_REGISTRATION,Mode A / Mode B definitions; still HUMAN_DECISION_REQUIRED in repo
GEO_SSOT_SERVICER,20_engineering\config\geometry\service_spacecraft_v1.yaml,True,1176,8DD8F22FF1F893273DE2215EA12819E4D41CC0E20B853ADC0774052237881432,,RECORDED_NO_PRIOR_REGISTRATION,flange 160x160x15 vs arm_mount 12 -> conflict registered
GEO_SSOT_ARM_MOUNT,20_engineering\config\geometry\arm_mount_v1.yaml,True,697,B08A0F28E4C4F458CD79E6E907F06389BA6A4280C0C7DB2B91E36F76134C985C,,RECORDED_NO_PRIOR_REGISTRATION,
GEO_SSOT_FRAME_TREE,20_engineering\config\geometry\frame_tree_v1.yaml,True,1653,958BFF23BF83434C773854FD0E78DA3B09BE4A3A213EB81A0741514750B3E55B,,RECORDED_NO_PRIOR_REGISTRATION,"T_SM = [185.25,0,0] mm + Ry(90 deg), nominal_frozen_v1"
