input_id,path,role,authority_class,immutable_in_m3,notes
M3-IN-001,C:/Users/stude/.codex/attachments/787a450f-adfb-47ad-9d57-3e8faf59455a/pasted-text.txt,Owner Phase M3 ruling,OWNER_RULING,true,Authorizes detailed-design closure but not flight CDR
M3-IN-002,C:/Users/stude/.codex/attachments/038d9781-5921-4858-9fea-c070890a71b8/pasted-text.txt,Owner low-memory override ruling,OWNER_RULING,true,Memory gate remains failed and override must be explicit
M3-IN-003,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/04_gates/MECHANICAL_CDR_PHASE1_GATE.json,Predecessor phase gate,CONTROLLED_WORKING_GATE,true,Q0 Q1 Q2 and formal FEA remain HOLD
M3-IN-004,20_engineering/F3R2_MECHANICAL_CDR_QUALIFICATION_CLOSURE_20260821/00_authority/FROZEN_BASELINE_INPUT_MANIFEST_V1.json,Predecessor frozen input manifest,CONTROLLED_MANIFEST,true,Input lineage
M3-IN-005,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_INTERFACE_SSOT.yaml,M3R interface numeric source,PROJECT_ACCEPTED_COMPETITION_SSOT,true,Not OEM ICD or flight interface
M3-IN-006,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_TSM_PHYSICAL_STACK.yaml,M3R physical stack source,AS_BUILT_COMPETITION_AUTHORITY,true,Frame semantics
M3-IN-007,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_B601_BREP_INTERFACE_MEASUREMENT.json,B601 interface measurement source,READ_ONLY_ANALYTIC_BREP,true,Mathematical residual is not manufacturing tolerance
M3-IN-008,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/cad/B601_BASE_INTERFACE_RING_F3R2.step,M3R Stage A neutral geometry,GEOMETRY_CANDIDATE,true,Prototype-only geometry
M3-IN-009,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/cad/B601_LOAD_SPREADING_ADAPTER_F3R2.step,M3R Stage B neutral geometry,GEOMETRY_CANDIDATE,true,Spacecraft mating geometry HOLD
M3-IN-010,20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/M3_interface_authority/M3R_ADAPTER_FREECAD_BUILD_RECEIPT.json,M3R source build receipt,DERIVED_VALIDATION,true,Rev B working geometry receipt
M3-IN-011,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,B601 kinematic and inertial authority,ACCEPTED_URDF,true,10 links and 9 joints
M3-IN-012,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/SEI_MECH_B601_V5R_NEUTRAL_OPERATIONAL_BASELINE.step,V5R neutral baseline geometry,FROZEN_NEUTRAL_GEOMETRY,true,Neutral mainline authority
M3-IN-013,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/MECH_RL_INTERFACE_V1.yaml,Production mechanical-to-Sim13 interface,PRODUCTION_V1,true,M3 shall not modify
M3-IN-014,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/B601_GRIPPER_PALM_RAIL_SLOT_R1.step,Gripper R1 corrected palm geometry,DERIVED_NEUTRAL_BREP,true,Neutral-only correction
M3-IN-015,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/LEFT_RAIL_FULL_STROKE_SWEPT_VOLUME.step,Left gripper sweep evidence,DERIVED_NEUTRAL_BREP,true,Full-stroke conservative envelope
M3-IN-016,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/01_native_cad/gripper_r1/RIGHT_RAIL_FULL_STROKE_SWEPT_VOLUME.step,Right gripper sweep evidence,DERIVED_NEUTRAL_BREP,true,Full-stroke conservative envelope
M3-IN-017,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_GEOMETRY_VALIDATION.json,Gripper R1 geometry validation,DERIVED_VALIDATION,true,144 samples and analytic envelope
M3-IN-018,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_NEUTRAL_REOPEN_VALIDATION.json,Gripper R1 independent reopen,DERIVED_VALIDATION,true,Neutral STEP readability scope
M3-IN-019,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/04_validation/GRIPPER_R1_CONTINUOUS_STROKE_SAMPLES.csv,Gripper R1 stroke samples,DERIVED_VALIDATION,true,0.5 mm sampling over 0.0 to 71.5 mm
