path,bytes,sha256
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/README.md,3905,F93E92D3C11A62268A132E6CFC04ED31DD8E68BB61C1AEE40DDF13ACC1855754
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/contracts/DG3_ARM_FLEX_COUPLING_CONTRACT_V1.json,14482,0DF725A8454B28DEBA77B7ACAC3D2D8BB29B295A7BBA2A6A6041756425D9BC01
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/src/__init__.py,41,877EAFDD48DDD8385669A722FA6DE395B88AAA30344D27EBE441009310EE908C
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/src/dg3_arm_flex.py,49251,9A61EF65D593E1F15675BD3339ADDEC0691FFABD9BCDA6145F67CCA3EA7BACD1
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/src/dg3_candidate.py,36712,D6D9305996C79BAB998C316EBC8D888D8F5318C8162D6032A4972B861EF28178
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/run_validation.py,12540,D6F0719A1A7591341D06DBDA750B533A90C5E5B7B9C2DFBA7C4E59EFD855DD2D
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/tests/test_dg3_arm_flex.py,15502,9082021D393097BAAEEC7B476B6B4FA72618579E143653D57724FD9457F10963
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/results/DG3_ARM_FLEX_COUPLING_EVIDENCE_V1.json,106971,EF37D954BF8E535733CD607C9046F5F79AE7A449107E4E00FC4F9A5A836AB60D
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/results/R2_DG3_ARM_FLEX_COUPLING_CANDIDATE_GATE_V1.json,2916,91BB7F3B424CF454DB5B2B4DFC27455AD46C4E6C5614F20D6A3C6EBB4714B7C3
30_simulation/r2_dynamics_engineering_closure/dg3_arm_flex_coupling_candidate_v1/results/DG3_ARM_FLEX_COUPLING_PACKAGE_MANIFEST_V1.json,9322,CC4D82365FF7FF0F023E604B3F91390CB02EB13CB4022289DC951B48604FE54E
