candidate,travel_mm,minimum_clearance_mm,component,deployer_zone,collision
CAND_0_THIN,0.0,14.591,link1,NY_PZ,False
CAND_0_THIN,2.0,14.591,link1,NY_PZ,False
CAND_0_THIN,4.0,14.591,link1,NY_PZ,False
CAND_0_THIN,6.0,14.591,link1,NY_PZ,False
CAND_0_THIN,8.0,14.591,link1,NY_PZ,False
CAND_0_THIN,10.0,14.591,link1,NY_PZ,False
CAND_0_THIN,12.0,14.591,link1,NY_PZ,False
CAND_0_THIN,14.0,14.591,link1,NY_PZ,False
CAND_0_THIN,16.0,14.591,link1,NY_PZ,False
CAND_0_THIN,18.0,14.591,link1,NY_PZ,False
CAND_0_THIN,20.0,14.591,link1,NY_PZ,False
CAND_0_THIN,22.0,14.591,link1,NY_PZ,False
CAND_0_THIN,24.0,14.591,link1,NY_PZ,False
CAND_0_THIN,26.0,14.591,link1,NY_PZ,False
CAND_0_THIN,28.0,14.591,link1,NY_PZ,False
CAND_0_THIN,30.0,14.591,link1,NY_PZ,False
CAND_0_THIN,32.0,14.591,link1,NY_PZ,False
CAND_0_THIN,34.0,14.591,link1,NY_PZ,False
CAND_0_THIN,36.0,14.591,link1,NY_PZ,False
CAND_0_THIN,38.0,14.591,link1,NY_PZ,False
CAND_0_THIN,40.0,14.591,link1,NY_PZ,False
CAND_0_THIN,42.0,14.591,link1,NY_PZ,False
CAND_0_THIN,44.0,14.591,link1,NY_PZ,False
CAND_0_THIN,46.0,14.591,link1,NY_PZ,False
CAND_0_THIN,48.0,14.591,link1,NY_PZ,False
CAND_0_THIN,50.0,14.591,link1,NY_PZ,False
CAND_0_THIN,52.0,14.591,link1,NY_PZ,False
CAND_0_THIN,54.0,14.591,link1,NY_PZ,False
CAND_0_THIN,56.0,14.591,link1,NY_PZ,False
CAND_0_THIN,58.0,14.591,link1,NY_PZ,False
CAND_0_THIN,60.0,14.591,link1,NY_PZ,False
CAND_0_THIN,62.0,14.591,link1,NY_PZ,False
CAND_0_THIN,64.0,14.591,link1,NY_PZ,False
CAND_0_THIN,66.0,14.591,link1,NY_PZ,False
CAND_0_THIN,68.0,14.591,link1,NY_PZ,False
CAND_0_THIN,70.0,14.591,link1,NY_PZ,False
CAND_0_THIN,72.0,14.591,link1,NY_PZ,False
CAND_0_THIN,74.0,14.591,link1,NY_PZ,False
CAND_0_THIN,76.0,14.591,link1,NY_PZ,False
CAND_0_THIN,78.0,14.591,link1,NY_PZ,False
CAND_0_THIN,80.0,14.591,link1,NY_PZ,False
CAND_0_THIN,82.0,14.591,link1,NY_PZ,False
CAND_0_THIN,84.0,14.591,link1,NY_PZ,False
CAND_0_THIN,86.0,14.591,link1,NY_PZ,False
CAND_0_THIN,88.0,14.591,link1,NY_PZ,False
CAND_0_THIN,90.0,14.591,link1,NY_PZ,False
CAND_0_THIN,92.0,14.591,link1,NY_PZ,False
CAND_0_THIN,94.0,14.591,link1,NY_PZ,False
CAND_0_THIN,96.0,14.591,link1,NY_PZ,False
CAND_0_THIN,98.0,14.591,link1,NY_PZ,False
CAND_0_THIN,100.0,14.591,link1,NY_PZ,False
CAND_0_THIN,102.0,14.591,link1,NY_PZ,False
CAND_0_THIN,104.0,14.591,link1,NY_PZ,False
CAND_0_THIN,106.0,14.591,link1,NY_PZ,False
CAND_0_THIN,108.0,14.591,link1,NY_PZ,False
CAND_0_THIN,110.0,14.591,link1,NY_PZ,False
CAND_0_THIN,112.0,14.591,link1,NY_PZ,False
CAND_0_THIN,114.0,14.591,link1,NY_PZ,False
CAND_0_THIN,116.0,14.591,link1,NY_PZ,False
CAND_0_THIN,118.0,14.591,link1,NY_PZ,False
CAND_0_THIN,120.0,14.591,link1,NY_PZ,False
CAND_0_THIN,122.0,14.591,link1,NY_PZ,False
CAND_0_THIN,124.0,14.591,link1,NY_PZ,False
CAND_0_THIN,126.0,14.591,link1,NY_PZ,False
CAND_0_THIN,128.0,14.591,link1,NY_PZ,False
CAND_0_THIN,130.0,14.591,link1,NY_PZ,False
CAND_0_THIN,132.0,14.591,link1,NY_PZ,False
CAND_0_THIN,134.0,14.591,link1,NY_PZ,False
CAND_0_THIN,136.0,14.591,link1,NY_PZ,False
CAND_0_THIN,138.0,14.591,link1,NY_PZ,False
CAND_0_THIN,140.0,14.591,link1,NY_PZ,False
CAND_0_THIN,142.0,14.591,link1,NY_PZ,False
CAND_0_THIN,144.0,14.591,link1,NY_PZ,False
CAND_0_THIN,146.0,14.591,link1,NY_PZ,False
CAND_0_THIN,148.0,14.591,link1,NY_PZ,False
CAND_0_THIN,150.0,14.591,link1,NY_PZ,False
CAND_0_THIN,152.0,14.591,link1,NY_PZ,False
CAND_0_THIN,154.0,14.591,link1,NY_PZ,False
CAND_0_THIN,156.0,14.591,link1,NY_PZ,False
CAND_0_THIN,158.0,14.591,link1,NY_PZ,False
CAND_0_THIN,160.0,14.591,link1,NY_PZ,False
CAND_0_THIN,162.0,14.591,link1,NY_PZ,False
CAND_0_THIN,164.0,14.591,link1,NY_PZ,False
CAND_0_THIN,166.0,14.591,link1,NY_PZ,False
CAND_0_THIN,168.0,14.591,link1,NY_PZ,False
CAND_0_THIN,170.0,14.591,link1,NY_PZ,False
CAND_0_THIN,172.0,14.591,link1,NY_PZ,False
CAND_0_THIN,174.0,14.591,link1,NY_PZ,False
CAND_0_THIN,176.0,14.591,link1,NY_PZ,False
CAND_0_THIN,178.0,14.591,link1,NY_PZ,False
CAND_0_THIN,180.0,14.591,link1,NY_PZ,False
CAND_0_THIN,182.0,14.591,link1,NY_PZ,False
CAND_0_THIN,184.0,14.591,link1,NY_PZ,False
CAND_0_THIN,186.0,14.591,link1,NY_PZ,False
CAND_0_THIN,188.0,14.591,link1,NY_PZ,False
CAND_0_THIN,190.0,14.591,link1,NY_PZ,False
CAND_0_THIN,192.0,14.591,link1,NY_PZ,False
CAND_0_THIN,194.0,14.591,link1,NY_PZ,False
CAND_0_THIN,196.0,14.591,link1,NY_PZ,False
CAND_0_THIN,198.0,14.591,link1,NY_PZ,False
CAND_0_THIN,200.0,14.591,link1,NY_PZ,False
CAND_0_THIN,202.0,14.591,link1,NY_PZ,False
CAND_0_THIN,204.0,14.591,link1,NY_PZ,False
CAND_0_THIN,206.0,14.591,link1,NY_PZ,False
CAND_0_THIN,208.0,14.591,link1,NY_PZ,False
CAND_0_THIN,210.0,14.591,link1,NY_PZ,False
CAND_0_THIN,212.0,14.591,link1,NY_PZ,False
CAND_0_THIN,214.0,14.591,link1,NY_PZ,False
CAND_0_THIN,216.0,14.591,link1,NY_PZ,False
CAND_0_THIN,218.0,14.591,link1,NY_PZ,False
CAND_0_THIN,220.0,14.591,link1,NY_PZ,False
CAND_0_THIN,222.0,14.591,link1,NY_PZ,False
CAND_0_THIN,224.0,14.591,link1,NY_PZ,False
CAND_0_THIN,226.0,14.591,link1,NY_PZ,False
