requirement_id,subject,required_quantity_or_evidence,value,unit,standard_uncertainty,source_class,source,status,downstream_blocked,closure_test
GRP-CL-001,Target object,Controlling contact geometry or datum model,null,null,null,UNKNOWN,null,HOLD,Contact layout and grasp envelope,Configuration-controlled target STEP and datum/interface specification.
GRP-CL-002,Target object,Object mass,null,kg,null,UNKNOWN,null,HOLD,Retention load actuator sizing and dynamics,Approved object mass ledger with uncertainty and configuration.
GRP-CL-003,Target object,Object inertia tensor and reference frame,null,kg*m^2,null,UNKNOWN,null,HOLD,Dynamic capture and retention load cases,Approved inertia tensor CoM frame and uncertainty.
GRP-CL-004,Contact pair,Static and kinetic friction evidence,null,dimensionless,null,UNKNOWN,null,HOLD,Clamping-force requirement and slip margin,Representative material-finish-lubrication-vacuum test with uncertainty and temperature range.
GRP-CL-005,Contact pair,Allowable contact pressure and surface damage criterion,null,MPa,null,UNKNOWN,null,HOLD,Pad geometry and local stress criteria,Target and gripper surface allowables with inspection criterion.
GRP-CL-006,Actuator,Verified continuous jaw force per side,null,N,null,UNKNOWN,null,HOLD,Grasp capability and thermal duty cycle,Actuator transmission model and bench measurement with uncertainty.
GRP-CL-007,Actuator,Verified peak jaw force per side and duration,null,N,null,UNKNOWN,null,HOLD,Peak structural load and motor drive sizing,Authorized pulse duration duty cycle and bench measurement.
GRP-CL-008,Actuator,Force-speed curve across temperature and supply limits,null,null,null,UNKNOWN,null,HOLD,Closing time impact and control design,Measured curve with force in N speed in mm/s temperature in degC and stated uncertainty.
GRP-CL-009,Actuator,Backdrive holding or brake capability,null,N,null,UNKNOWN,null,HOLD,Power-off retention and fault response,Test at worst-case temperature wear and supply state.
GRP-CL-010,Motion,Authorized closing speed at first contact,null,mm/s,null,UNKNOWN,null,HOLD,Impact energy and contact transient,Control requirement and measured approach profile.
GRP-CL-011,Motion,Stroke repeatability and end-stop accuracy,null,mm,null,UNKNOWN,null,HOLD,Contact positioning and tolerance allocation,Cycle test with metrology uncertainty and temperature states.
GRP-CL-012,Operations,Required retention load vectors and duration,null,N,null,UNKNOWN,null,HOLD,Structural analysis and qualification,Approved operational load cases tied to target mass and acceleration.
GRP-CL-013,Operations,Launch or deployment survival loads,null,null,null,UNKNOWN,null,HOLD,Flight-load FEA and qualification,Launcher deployer and separation ICD plus approved load combinations.
GRP-CL-014,Environment,Operating and non-operating temperature range,null,degC,null,UNKNOWN,null,HOLD,Tolerance tribology material and actuator sizing,Approved thermal environment and temperature reference definition.
GRP-CL-015,Environment,Vacuum tribology wear life and cycle count,null,cycle,null,UNKNOWN,null,HOLD,Material coating lubricant selection,Qualified representative pair life test and acceptance criterion.
GRP-CL-016,Environment,Contamination outgassing and debris limits,null,null,null,UNKNOWN,null,HOLD,Polymer lubricant coating and pad selection,Approved contamination-control requirements and material evidence.
GRP-CL-017,Sensing,Contact force position and end-state observability,null,null,null,UNKNOWN,null,HOLD,Fault detection and closed-loop grasp verification,Sensor architecture accuracy latency range and failure coverage.
GRP-CL-018,Safety,Single-fault safe release or retention behavior,null,null,null,UNKNOWN,null,HOLD,Mechanism architecture and qualification,Approved fault tree and verified fail-safe mode.
GRP-CL-019,Existing digital model,URDF gripper joint effort field,100,N,null,FROZEN,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,HOLD_PLACEHOLDER_NOT_CAPABILITY,All force-based claims,Trace field provenance then replace or validate with hardware and transmission evidence.
GRP-CL-020,Existing digital model,URDF gripper joint velocity field,15000,mm/s,null,FROZEN,20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,HOLD_PLACEHOLDER_NOT_CAPABILITY,All speed impact and duty-cycle claims,Trace field provenance then replace or validate with hardware and controller evidence.

