id,change,station,representation_role,native_path,step_path,source_mass_kg,mass_source
WP07_guide_screw_0_-10,ADD_RETENTION_HARDWARE,0,SIMPLIFIED_PROXY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_guide_screw_0_-10.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_guide_screw_0_-10.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_guide_screw_0_10,ADD_RETENTION_HARDWARE,0,SIMPLIFIED_PROXY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_guide_screw_0_10.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_guide_screw_0_10.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_guide_washer_0_-10,ADD_RETENTION_HARDWARE,0,SIMPLIFIED_PROXY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_guide_washer_0_-10.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_guide_washer_0_-10.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_guide_washer_0_10,ADD_RETENTION_HARDWARE,0,SIMPLIFIED_PROXY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_guide_washer_0_10.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_guide_washer_0_10.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_lower_collar_0_front,ADD_RETENTION_HARDWARE,0,PHYSICAL_GEOMETRY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_lower_collar_0_front.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_lower_collar_0_front.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_lower_collar_0_rear,ADD_RETENTION_HARDWARE,0,PHYSICAL_GEOMETRY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_lower_collar_0_rear.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_lower_collar_0_rear.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_lower_nut_0_-17,ADD_RETENTION_HARDWARE,0,PHYSICAL_GEOMETRY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_lower_nut_0_-17.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_lower_nut_0_-17.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_lower_nut_0_17,ADD_RETENTION_HARDWARE,0,PHYSICAL_GEOMETRY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_lower_nut_0_17.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_lower_nut_0_17.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_lower_screw_0_-17,ADD_RETENTION_HARDWARE,0,PHYSICAL_GEOMETRY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_lower_screw_0_-17.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_lower_screw_0_-17.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
WP07_lower_screw_0_17,ADD_RETENTION_HARDWARE,0,PHYSICAL_GEOMETRY,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\native\RET_S0_c03_v1\parts\WP07_lower_screw_0_17.SLDPRT,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp07_system_20260907_0610\results\retention_detail\station_0\WP07_lower_screw_0_17.step,,UNASSIGNED_AFTER_GEOMETRY_CHANGE
