instance_id,operation,representation_role,assembly_quantity,new_hardware_quantity,context_only,STEP_path,sha256,volume_mm3,mass_kg,coordinates,integrated_in_625_instance_assembly
rear_launch_bulkhead,REPLACE_IN_FUTURE_LOCAL_INTEGRATION_ONLY,PHYSICAL_GEOMETRY,1,0,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\rear_launch_bulkhead.step,130040cb7cd2b1412ee8a77b4f2b4f781ab29fae6882330a0a71789a01fb9310,156995.48605936233,,"S world mm, identity",False
rear_vertical_rib_86,REPLACE_IN_FUTURE_LOCAL_INTEGRATION_ONLY,PHYSICAL_GEOMETRY,1,0,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\rear_vertical_rib_86.step,1f8178ea00896f4ab34060c0765189fc18d388c426eaf1126e9b7018a5e43e2f,18467.049566773505,,"S world mm, identity",False
WP08_REAR_YPLUS_-50_screw,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_-50_screw.step,ea43fd75372ebe6195f7b2dd9a68ac5ea4145d21175310f343c9472ac01593c6,170.5301789634827,,"S world mm, identity",False
WP08_REAR_YPLUS_-50_washer_head,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_-50_washer_head.step,3ac45bb86687e307ec014c4c03c865ab842e322f813672b674e6b9e6a4c58056,15.22101640664254,,"S world mm, identity",False
WP08_REAR_YPLUS_-50_washer_inner,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_-50_washer_inner.step,269242077015bd0eafe46daaf19af94684cfe07eb194f6bef811382afcd2facd,15.22101640664254,,"S world mm, identity",False
WP08_REAR_YPLUS_-50_nut,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_-50_nut.step,d8685866d62b15aee2b9c396159dd85f311b056d0ea165ff752f270e82e799e6,45.15388372585957,,"S world mm, identity",False
WP08_REAR_YPLUS_50_screw,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_50_screw.step,283c6e1caa92fa45469f394ac6f2619e40931fa5471da0d6bef366209e3405ed,170.5301789634827,,"S world mm, identity",False
WP08_REAR_YPLUS_50_washer_head,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_50_washer_head.step,aa2c9adccfb4b418db6801927fc756ea974a15b8be0fd2bc2f63ae14d4e449aa,15.22101640664254,,"S world mm, identity",False
WP08_REAR_YPLUS_50_washer_inner,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_50_washer_inner.step,32a70cf022dfb203b3e3d65d7874392fd4f3319db0f356e821978e98b80f6f34,15.22101640664254,,"S world mm, identity",False
WP08_REAR_YPLUS_50_nut,NEW_LOCAL_CANDIDATE,SIMPLIFIED_PROXY,1,1,False,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\WP08_REAR_YPLUS_50_nut.step,608d5317584807048587ab31ce9c944561df3f4d5b2cf216bfa30bdd08414c0a,45.153883725859565,,"S world mm, identity",False
CONTEXT_RB_end_frame_-1,CONTEXT_ONLY_NOT_NEW_SPACECRAFT_PART,PHYSICAL_GEOMETRY,1,0,True,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp08_retention_delta_20260907_1228\results\rear_rib\CONTEXT_RB_end_frame_-1.step,75a56f8af48b3eeeb90bbe1cc70ffeb435577f3f57bfc6609d2e8de647c9ced1,61336.69649258886,,"S world mm, identity",False
