instance_id,change,quantity,representation,source_step,source_sha256,T_S_step,material_grade_or_liner,fastener_torque_Nm,mass_kg,fabrication_released
trunk_clip_standoff_-140,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_high_base.step,3493b4309489b2ab13412b337e3ace4f3e545a3d5c06768586e6d79861f1b27b,"[[1.0,-0.0,0.0,-95.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,45.0],[0.0,0.0,0.0,1.0]]",,,,False
trunk_clip_-140,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_cap.step,6faecc1bb26099c3a1343749c27ed912d26d99470d13d5a0e79e38bf1d68674e,"[[1.0,-0.0,0.0,-95.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,45.0],[0.0,0.0,0.0,1.0]]",,,,False
trunk_clip_standoff_-70,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_low_base.step,90afa264572b2cdd2ed3e287fdc9b8ed3731e358bb875cea2a3eede150458f00,"[[1.0,-0.0,0.0,-30.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,-2.0],[0.0,0.0,0.0,1.0]]",,,,False
trunk_clip_-70,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_cap.step,6faecc1bb26099c3a1343749c27ed912d26d99470d13d5a0e79e38bf1d68674e,"[[1.0,-0.0,0.0,-30.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,-2.0],[0.0,0.0,0.0,1.0]]",,,,False
trunk_clip_standoff_0,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_low_base.step,90afa264572b2cdd2ed3e287fdc9b8ed3731e358bb875cea2a3eede150458f00,"[[1.0,-0.0,0.0,25.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,-2.0],[0.0,0.0,0.0,1.0]]",,,,False
trunk_clip_0,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_cap.step,6faecc1bb26099c3a1343749c27ed912d26d99470d13d5a0e79e38bf1d68674e,"[[1.0,-0.0,0.0,25.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,-2.0],[0.0,0.0,0.0,1.0]]",,,,False
trunk_clip_standoff_65,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_low_base.step,90afa264572b2cdd2ed3e287fdc9b8ed3731e358bb875cea2a3eede150458f00,"[[6.123233995736766e-17,1.0,0.0,65.0],[-1.0,6.123233995736766e-17,0.0,-40.0],[0.0,0.0,1.0,-2.0],[0.0,0.0,0.0,1.0]]",,,,False
trunk_clip_65,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_cap.step,6faecc1bb26099c3a1343749c27ed912d26d99470d13d5a0e79e38bf1d68674e,"[[6.123233995736766e-17,1.0,0.0,65.0],[-1.0,6.123233995736766e-17,0.0,-40.0],[0.0,0.0,1.0,-2.0],[0.0,0.0,0.0,1.0]]",,,,False
upper_equipment_deck_B,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_deck.step,b35c63470aa7bdc660a645c9131fc8a09145349e484dae3eb5bb505d079f0c87,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",,,,False
adapter_arm_drive,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_drive_adapter.step,af1519d7f37c3569207b195d09ea87452a84836647952761f5ed6fce4b4bf889,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",,,,False
adapter_compute_communications,REPLACED_EXISTING,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_compute_adapter.step,2653014368adaaf57bd40f89a79ccca2aa3f92e74ede331c9d2656901071a7ca,"[[1.0,0.0,0.0,0.0],[0.0,1.0,0.0,0.0],[0.0,0.0,1.0,0.0],[0.0,0.0,0.0,1.0]]",,,,False
TRUNK_0_LINER_LOW,ADDED,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_liner_low.step,daba6e6bdc55d91dd76081afad7f21d787718689477fd77f063f7443ac8ad5d8,"[[1.0,-0.0,0.0,-95.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,45.0],[0.0,0.0,0.0,1.0]]",,,,False
TRUNK_0_LINER_HIGH,ADDED,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_liner_high.step,bfa1c1370cbdca81cf997f0bebbdc21d1e59a73193af7a79f73a49ba06870ce2,"[[1.0,-0.0,0.0,-95.0],[0.0,1.0,0.0,1.5],[0.0,0.0,1.0,45.0],[0.0,0.0,0.0,1.0]]",,,,False
TRUNK_0_SCREW_0,ADDED,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_screw_14.step,1e14898634711551ee792b43a54e50ee83a164cb5c8eaaf97113fce1cd5256f9,"[[1.0,0.0,0.0,-95.0],[0.0,1.0,0.0,-6.5],[0.0,0.0,1.0,49.0],[0.0,0.0,0.0,1.0]]",,,,False
TRUNK_0_WASHER_0,ADDED,1,REUSED_NOMINAL_M3_HARDWARE_GEOMETRY_NO_STRENGTH_RELEASE,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\CLAMP_DUAL_0_BW.step,3d31f4721870f352cf97f679b5fa97ba81f32e3f475dd96ef72a8af94940bf06,"[[1.0,0.0,0.0,-195.0],[0.0,1.0,0.0,-52.5],[0.0,0.0,1.0,51.5],[0.0,0.0,0.0,1.0]]",,,,False
TRUNK_0_NUT_0,ADDED,1,REUSED_NOMINAL_M3_HARDWARE_GEOMETRY_NO_STRENGTH_RELEASE,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp09_interfaces_20260907_1525\candidate\v6parts\CLAMP_DUAL_0_BN.step,25b1753b5dd1e621c9fec850bdeaac1e1754fa19673ef5512bd27a2391496991,"[[1.0,0.0,0.0,-195.0],[0.0,1.0,0.0,-52.5],[0.0,0.0,1.0,51.5],[0.0,0.0,0.0,1.0]]",,,,False
TRUNK_0_SCREW_1,ADDED,1,PROJECT_NOMINAL_SUPPORT_GEOMETRY_UNQUALIFIED_MATERIAL_PRELOAD,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\trunk_screw_14.step,1e14898634711551ee792b43a54e50ee83a164cb5c8eaaf97113fce1cd5256f9,"[[1.0,0.0,0.0,-95.0],[0.0,1.0,0.0,9.5],[0.0,0.0,1.0,49.0],[0.0,0.0,0.0,1.0]]",,,,False
