reference_id,publisher,document,version_or_date,official_url,M4_use,compliance_claim,status
REF-001,NASA,NASA-STD-5001 Structural Design and Test Factors of Safety for Spaceflight Hardware,B with Change 3 / 2022-10-24,https://standards.nasa.gov/node/242,"future structural factor and verification-plan authority; values require project tailoring","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-002,NASA,NASA-STD-5002 Load Analyses of Spacecraft and Payloads,B / 2026-03-10,https://standards.nasa.gov/standard/NASA/NASA-STD-5002,"load-cycle, mathematical-model, forcing-function, uncertainty and correlation planning","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-003,NASA,NASA-STD-5017 Design and Development Requirements for Mechanisms,B / 2022-12-06,https://standards.nasa.gov/sites/default/files/standards/NASA/B/2022-12-06-NASA-STD-5017B-Approved.pdf,"HDRM, solar hinge, latch, actuator, indication, fault and life-test requirement decomposition","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-004,NASA,NASA-STD-5020 Requirements for Threaded Fastening Systems in Spaceflight Hardware,B / revalidated 2026-01-05,https://standards.nasa.gov/standard/NASA/NASA-STD-5020,"M3R/B601 threaded-joint requirement and analysis checklist","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-005,NASA,NASA-STD-6016 Standard Materials and Processes Requirements for Spacecraft,C with Change 1 / 2023-11-15,https://standards.nasa.gov/standard/nasa/nasa-std-6016,"material/process candidate approval workflow, contamination and process controls","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-006,NASA,NASA-STD-7009 Standard for Models and Simulations,B / 2024-03-05,https://standards.nasa.gov/standard/nasa/nasa-std-7009,"model purpose, configuration control, V&V, uncertainty and credibility evidence for Sim14","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-007,NASA,NASA-RP-1228 Fastener Design Manual,1990-03-01,https://ntrs.nasa.gov/citations/19900009424,"fastener selection, preload/torque, combined-load and tapped-hole engineering method reference","REFERENCE_ONLY_NOT_A_CURRENT_PROJECT_REQUIREMENT",ACTIVE_REFERENCE
REF-008,ECSS,ECSS-E-ST-32C Structural general requirements,Rev.1 / 2008-11-15,https://ecss.nl/standard/ecss-e-st-32c-rev-1-structural-general-requirements/,"structural requirement, design, verification and lifecycle framework","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-009,ECSS,ECSS-E-ST-32-03C Structural finite element models,2008-07-31,https://ecss.nl/standard/ecss-e-st-32-03c-structural-finite-element-models/,"future FE model quality checks and acceptance structure","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-010,ECSS,ECSS-E-ST-33-01C Mechanisms,Rev.2 / 2019-03-01,https://ecss.nl/standard/ecss-e-st-33-01c-rev-2-1-march-2019-space-engineering-mechanisms/,"mechanism requirement specification and verification planning","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-011,ECSS,ECSS-Q-ST-70C Materials mechanical parts and processes,Rev.2 / 2019-10-15,https://ecss.nl/standard/ecss-q-st-70c-rev-2-materials-mechanical-parts-and-processes-15-october-2019/,"candidate-to-approved material/process evidence flow","REFERENCE_ONLY_NO_COMPLIANCE_CLAIM",ACTIVE_REFERENCE
REF-012,Cal Poly CubeSat Laboratory,CubeSat Design Specification 1U-12U,Rev.14.1 / 2022-02,https://www.cubesat.org/cubesatinfo,"12U envelope/deployer interface review source; project launcher ICD still required","REFERENCE_ONLY_NO_LAUNCHER_COMPATIBILITY_CLAIM",ACTIVE_REFERENCE
REF-013,NASA NTRS,Grappling Spacecraft,2021,https://ntrs.nasa.gov/citations/20210020506,"system-level grappling technique, mechanism, algorithm, test and validation research map","REFERENCE_ONLY_NO_VALIDATION_CLAIM",ACTIVE_REFERENCE
REF-014,NASA NTRS,Multibody Simulation of REMORA CubeSat Docking to and Pushing a Spent Rocket Booster,2020,https://ntrs.nasa.gov/citations/20210012172,"orbital multibody/contact-dynamics model hierarchy and parameter-identification research map","REFERENCE_ONLY_NO_MODEL_EQUIVALENCE_CLAIM",ACTIVE_REFERENCE

