"evidence_id","question","evidence_class","current_status","existing_source","required_output","prerequisite","gate_or_review","forbidden_upgrade","priority"
"Q6-E00","What counts as servicing versus assembly in this project","RESYNTHESIS","COMPLETE_THIS_ROUND","NASA ISAM and local state_truth_and_scope","Q6 terminology and L1 or L2 scope contract","none","PI scope review","external definition proves project capability","P0"
"Q6-E01","Which module interface dimensions and sources are authoritative","MEASUREMENT_REQUIRED","BLOCKED","interface_ssot_draft and ASM00 gate","traceable geometry material surface and tolerance package","CAD owner and hardware owner inputs","HAG-A preparation","provisional values called measured","P0"
"Q6-E02","Do guide cone pin hole chamfer clearance and friction define a consistent capture and insertion region","DERIVATION_REQUIRED","BLOCKED_BY_E01","RF-1 RF-2 RF-3 machine classifications","geometry tolerance friction and wedge derivation contract","Q6-E01","AG0 review","derivation called validated evidence","P0"
"Q6-E03","Can the interface pass formal qualification","MACHINE_EVIDENCE_REQUIRED","NOT_RUN_UNAUTHORIZED","ASM00 preflight and nine-criterion contract","AG0 tests raw logs hashes and machine verdict","HAG-A raw hash binding E01 E02","AG0","starting ASM01 or ASM02 before AG0","P0"
"Q6-E04","How are persistent contact jam overload backoff and unknown represented","DERIVATION_REQUIRED","PLANNED","sim11 and contact_flexible_dynamics_plan","contact event and history contract with falsification cases","AG0 interface semantics","AG2 design review","unmodeled contact counted as success","P1"
"Q6-E05","Does contact momentum and energy bookkeeping close during insertion","MACHINE_EVIDENCE_REQUIRED","NOT_RUN_UNAUTHORIZED","sim05 sim11 and momentum ledger methods","AG2 solver evidence and convergence or unknown verdict","AG0 and E04","AG2","reusing capture impulse as insertion proof","P1"
"Q6-E06","Are 5D approach phase switching and 6D lock dynamically and kinematically valid","MACHINE_EVIDENCE_REQUIRED","NOT_RUN_UNAUTHORIZED","CTRL01 negative result CTRL02 limited result phased_control_plan","AG1 and AG3 tests including failures and resource ledger","AG0 AG2 actuator source upgrade","AG1 and AG3","claiming generic end-effector control solved","P1"
"Q6-E07","How does latch change mass center inertia topology and flexible modes","DERIVATION_REQUIRED","PLANNED","free-floating methods sim11 e15 limits","pre and post attachment model update contract","module and target parameter sources","AG2 and AG4 design review","formula called verified assembled model","P1"
"Q6-E08","Is target-side flexible response within a certified envelope","MACHINE_EVIDENCE_REQUIRED","NOT_RUN_UNAUTHORIZED","sim11 provisional side evidence e15 repeat","target-side L1 or L2 comparison and AG4 verdict","measured panel parameters E07 and safe candidate","AG4","tracker-side model treated as target-side certification","P1"
"Q6-E09","Can all nine success criteria be bound fail-closed","MACHINE_EVIDENCE_REQUIRED","CONTRACT_ONLY_PASS","assembly_success_evaluator_v1 and SAFE00","HAG-A binding provenance phase ledger and independent criterion evidence","AG0 through AG5","AG5 plus human authorization","contract freeze called assembly success","P0"
"Q6-E10","Can assembly events be replayed as an auditable digital-twin record","RESYNTHESIS","PLANNED_DT2_ONLY","Q5 and evidence manifests","offline event timestamp state Gate and hash replay schema","AG evidence exists","DT2 review","calling replay real-time DT3 or DT4","P2"
"Q6-E11","Does a learning agent add value over deterministic assembly skills","FUTURE_EXTENSION","PLANNED_NOT_IMPLEMENTED","Q4 and vla_sequence_plan","V2.5 baseline safe candidate interface and AG6 ablation","AG5 deterministic baseline and authorization","AG6","VLA torque control or autonomous success claim","P3"
"Q6-E12","Can the method scale to multi-module truss or telescope assembly","FUTURE_EXTENSION","DEFERRED_Q6_L2","NASA TriTruss ARMADAS hu2025 and lee2016","separate topology sequence modal accuracy and multi-agent research contract","Q6-L1 closed","new Q6-L2 review","large structure capability inferred from one module","P3"
