id,domain,gap,category,evidence_path,impact,next_minimum_action,external_input_required
"BLK-SIM13-01","sim13","正式 current-system 绑定门未通过:sim13_system_binding_gate_passed=false(addendum $.current_authority);consumer load/contact grasp 均未授权;无正式 current-system URDF(仅 SOURCE_ONLY_BUILDER_EMISSION 候选)","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/sim13_post_terminal_handoff_addendum_v1/SIM13_POST_TERMINAL_HANDOFF_ADDENDUM_GATE_V1.json ($.current_authority.sim13_system_binding_gate_passed=false)","正式系统绑定/Release 不可声称;不影响 9-01 合规提交(比赛口径 ABORT_ONLY+诊断证据可陈述)","Owner 接受 Route-C 排除与 TMC-F01 处置后,经授权执行系统绑定门","true"
"BLK-SIM13-02","sim13","MECH_RL_SYSTEM_INTERFACE_V2 实例已存在(19:59 发射,哈希钉一致)但父 Gate 18(17:51)仍记 outstanding;FULL_TMG6_REISSUE_NOT_EXECUTED","P2_FORMAL_RELEASE_BLOCKER","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/interfaces/MECH_RL_SYSTEM_INTERFACE_V2.yaml ($.instance_class); addendum ($.lineage.full_tmg6_reissue_executed=false)","父/子状态字面冲突(CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED);正式 Release 引用歧义","Owner 决定并重发 TMG6/父 Gate(不重发则维持双口径披露)","true"
"BLK-SIM13-03","sim13","NC18 正式化缺口:当前仅有后端级状态演化(零动量约化 8-DOF);力矩驱动生产正向动力学未实现未授权(production_dynamics_gate_passed=false)","P2_FORMAL_RELEASE_BLOCKER","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/results/SIM13_V2_PREBIND_SOURCE_GATE_V1.json ($.production_dynamics_gate_passed=false); v3 gate $.gates[DYN-G02]=HOLD_NOT_IMPLEMENTED_OR_AUTHORIZED","正式生产动力学 Release 不可声称","实现力矩驱动 8-DOF 正向动力学并经生产动力学门授权","true"
"BLK-SIM13-04","sim13","NC19 正式化缺口:权威窄相接触仅达合同包络级(BOUNDED_PROVISIONAL,派生非实测几何);真实夹爪物理参数(摩擦/压力/保持力/T_c)未实测;DESIGN_CONTACT_MODEL_V1 AS_BUILT=null","P2_FORMAL_RELEASE_BLOCKER","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_CONTACT_GRASP_GATE_V2.json (verdict 含 BOUNDED_PROVISIONAL); v4_runtime_guard gate $.nc19_status","物理接触验证不可声称;20 ms 接触窗仍 provisional","硬件组实测 B601 夹爪参数→替换占位→重跑接触带宽口径 Gate","true"
"BLK-SIM13-05","sim13","五个后端工作单(WO-NC15/16/18/19/20)子域已 5/5 闭合,但按工作单 after_20_of_20 序列,handoff V2 重跑与接口实例正式化未随父 Gate 完成","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/loop_b/SIM13_BACKEND_WORK_ORDERS_V1.json ($.after_20_of_20); addendum ($.backend_subscope.backend_work_orders_closed=5/5; full_tmg6=NOT_REISSUED)","工作单尾序未闭环于父级;Release 链不完整","执行 after_20_of_20 序列中的 handoff V2 重跑(受 G12 阻塞)","true"
"BLK-SIM13-06","sim13","Owner 接受与 Route-C scope disposition 缺席:owner_accepted=false、route_c_exclusion_accepted_for_this_sim_candidate=false、route_c_scope_disposition_pass=false","P2_FORMAL_RELEASE_BLOCKER","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/interfaces/MECH_RL_SYSTEM_INTERFACE_V2.yaml ($.authority.current_values)","无 Owner 接受则绑定/消费/接触授权链全部不可启动","Owner 对 Route-C 排除与低内存风险作新鲜单次 run-specific 接受","true"
"BLK-SIM13-07","sim13","G12 线束额定运行包络未过(机械 Route-C 线):handoff V2 11/12 FAIL;当前固定外线束 0/75 SAFE、11/11 强制状态 UNSAFE","P2_FORMAL_RELEASE_BLOCKER","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/17_MECH_TO_EMBODIED_HANDOFF_GATE.json ($.current_handoff_gate_v2); AGENTS.md L38","机械→具身移交 FAIL;联合 Gate mechanical_handoff_pass=false","机械 Route-C 任务包络设计(P01-P13 物理输入+路线设计+CAD 分支+谓词评估)","true"
"BLK-SIM13-08","sim13","决赛演示叙事上限:当前最高合法运行状态为 ABORT_ONLY(20/20 后端口径);任何『已执行非 ABORT 抓取/真实接触捕获』的展示说法均越权","P1_FINAL_DEMO_BLOCKER","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json ($.maximum_operational_state); R2 联合 gate $.diagnostic_facts_no_credit.sim13_maximum_operational_state","若答辩脚本越界声称非 ABORT 执行,构成证据治理事故;OFFLINE_PHYSICS_GATED_DEMO=GO 路线本身不受影响","演示脚本限定为 ABORT_ONLY+fail-closed 诊断+20/20 后端证据链陈述,脚本过一遍 claim 审查","false"
"BLK-SIM13-09","sim13","DT3 实时状态同步未达到、DT4 硬件双向闭环未启动;DT2 仅局部历史离线回放且未当前化","P3_POST_COMPETITION_RESEARCH","10_research/framework_convergence/numerical_twin_status.md (L5,L24-26,L90-96)","与管理默认 HIL_AND_REALTIME_DIGITAL_TWIN=DEFER 一致;赛后研究项","DT2 当前化绑定→ASM-TWIN-00→DT3 前置条件(真实状态流/统一时钟/在线估计)","true"
"BLK-SIM13-10","sim13","FINAL_RL_VLA_TRAINING=DEFER:Sim13 环境未授权训练;prebind_r1 明文禁止 RL/VLA","P3_POST_COMPETITION_RESEARCH","30_simulation/dynamics_control_prebind_r1/00_authority/PREBIND_AUTHORITY.json ($.owner_authorization.prohibited_scope=[...,RL,VLA,HIL]; $.baseline.rl_vla_training=HOLD)","赛后研究项;比赛提交不依赖","赛后按授权链重评","true"
