domain,item,current_status,verdict,authority_path,json_key_or_row_locator,sha256,last_verified,what_it_proves,what_it_does_not_prove,open_blocker,blocker_owner,internally_closable,external_input_required,competition_relevance,claim_ceiling,next_minimum_action
"sim13","terminal_parent_preexecution_gate_18","HOLD","verdict=ABORT_ONLY_WITH_SOURCE_ONLY_ANALYTIC_PREBIND_DIAGNOSTICS (unchanged; truthful); nc_state=15/20 (NC15/NC16/NC18/NC19/NC20 dependency_hold); next_stage_authorized=false","20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/18_SIM13_PREEXECUTION_GATE.json","$.nc_state; $.maximum_current_operational_state; $.intake; $.next_stage_authorized","af24635327dc96d0daaaba6a074c9440c0bd0f984e1418af6c6677c3d4cf77de","2026-08-27","终端冻结(2026-08-25 17:51)父 Gate 字面状态:Sim13 15/20、intake 1-of-2 缺席路径已解决(unified URDF)、最高运行状态 ABORT_ONLY(source-only prebind 口径)","不证明后端 20/20 子结果不存在;不证明系统绑定或 Owner 接受已完成","父 Gate 未随 20/20 子结果重发(CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED);intake 字段未反映 19:59 接口实例发射","Owner(TMG6 重发)","true","true","高:比赛引用 Sim13 必须父子两层同时披露","ABORT_ONLY;不得声称非 ABORT 执行或系统已绑定","Owner 决定是否重发 TMG6/父 Gate;审计侧只登记不重发"
"sim13","v2_prebind_source_gate","VERIFIED","technical_verdict=SIM13_V2_SOURCE_ONLY_PREBIND_IMPLEMENTATION_PASS__HISTORICAL_REGRESSION_PINNED__15_OF_20_NC_PASS__URDF_INTERFACE_OWNER_ACTION_BOUND_RUNTIME_TORQUE_DYNAMICS_CONTACT_AND_FIVE_NC_DEPENDENCY_HOLD; score 25/25","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/results/SIM13_V2_PREBIND_SOURCE_GATE_V1.json","$.prebind_source_implementation_passed=true; $.score.pass=25/25; $.formal_negative_controls_hold_ids=[NC15,NC16,NC18,NC19,NC20]; $.maximum_current_operational_state","dbfff803a656f4ad74934f0c886bc258e219cdc6904647d2855f15d2c3916906","2026-08-27","source-only prebind 实现 PASS:严格解析 Unified R2 19/18/16/3/8-DOF 合同、12 门只读快照、零动量自由漂浮后端、15 项正式 NC PASS 0 FAIL","不证明已绑定仿真环境;冻结时点 system_urdf_available=false、system_interface_instantiated=false(后被 08-25 晚发射部分改变但未重发);不授权非 ABORT","NC15/16/18/19/20 dependency_hold(被子包闭合,父未重发);current_regression_reexecution_status=HOLD_INPUT_PATH_OR_HASH_DRIFT","后端包(已闭合)+Owner","true","true","高","source-only prebind PASS;ABORT_ONLY_WITH_SOURCE_ONLY_ANALYTIC_PREBIND_DIAGNOSTICS","随父 Gate 重发一并刷新冻结时点字段"
"sim13","nc_registry_20_of_20_child_gate","VERIFIED","verdict=SIM13_NC_REGISTRY_20_OF_20_PASS__PENDING_OWNER_REVIEW__NO_RELEASE_CREDIT; nc_score=20/20; 模式=CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json","$.nc_score=20/20; $.per_control_status.NC01..NC20=PASS_NEGATIVE_CONTROL_DETECTED; $.maximum_operational_state","4a813f2ee3b0585d63fa591415ab3b256f112d056ba89c879e02d7bcd068b6e4","2026-08-27","NC01-NC20 全注册表真实重跑 20/20 PASS(含 NC15/16/18/19/20 五个新后端负控),证据 SIM13_V2_FULL_REGISTRY_20_OF_20_V2.json summary.executed=20/passed=20","不证明父 Gate/TMG6 已重发(addendum: full_tmg6_reissue_executed=false);不授权生产非 ABORT(12 门 authority 仍屏蔽);next_stage_authorized=false","父 Gate 18 仍 15/20;FULL_TMG6_REISSUE_NOT_EXECUTED","Owner(TMG6 重发)","true","true","高:20/20 为终端后合法子域证据,可引用但须带限定","ABORT_ONLY_WITH_VALIDATED_FAIL_CLOSED_BACKENDS_20_OF_20_NC__PRODUCTION_NON_ABORT_STILL_MASKED_BY_12_GATE_AUTHORITY","保持 append-only;等待 Owner 评审与 TMG6 重发决定"
"sim13","runtime_fail_closed_gate_v2_NC15_NC16_NC20","VERIFIED","verdict=SIM13_RUNTIME_FAIL_CLOSED_GATE_V2_PASS__PENDING_OWNER_REVIEW__NO_RELEASE_CREDIT","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_RUNTIME_FAIL_CLOSED_GATE_V2.json","$.checks.nc15_snapshot_rejected; $.checks.nc16_backend_rejects_unshielded; $.checks.nc20_shield_executes_abort; $.checks.baseline_source_hashes_unchanged=true","e1fc5bebcff1437748eef511d110d4fb70f4a503604e42c388cf70bc16860c3a","2026-08-27","NC15 快照回执(可信时钟/nonce/防重放)、NC16 capability token+shield 准入、NC20 150kg 可行性 veto 三个后端负控 PASS;基线哈希不变","可信时钟为注入式宿主墙钟/测试钟,不声明硬件信任根;HMAC 为公开常量,仅协作式进程内 fail-closed;不授权非 ABORT","正式运行时门仍属 V2 子域,父未重发","后端包+Owner","true","false","中","fail-closed 运行时后端诊断 PASS;生产非 ABORT 仍屏蔽","无(子域已闭合);等父重发"
"sim13","dynamics_backend_gate_v2_NC18","VERIFIED","verdict=SIM13_DYNAMICS_BACKEND_GATE_V2_PASS__PENDING_OWNER_REVIEW__NO_RELEASE_CREDIT","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_DYNAMICS_BACKEND_GATE_V2.json","$.checks.dynamics_backend_validation_receipt_all_pass=true; $.checks.nc18_dynamics_state_update_failure=PASS_NEGATIVE_CONTROL_DETECTED","bc02c02b75c0bf7e36c8629c57509d38084f028bb6e586256d3506501684b61e","2026-08-27","NC18 后端存在:哈希锁定 unified URDF(D84AA23C,17191B)+零动量约化 8-DOF 状态演化(关节/自由漂浮基座位姿 twist/末端),名义动量残差~1e-19(README L18-22);phase-only 假步负控 PASS","不是力矩驱动生产正向动力学(prebind gate production_dynamics_gate_passed=false);不是当前系统正式绑定;不授权非 ABORT","生产动力学门(torque-driven)未实现未授权","后端包(子域)/Owner(生产)","true","true","高:回答『当前系统动力学状态演化证据存在性』=后端级存在","后端验证级状态演化;非 production dynamics","无(子域);生产化待 Owner 与绑定门"
"sim13","contact_grasp_gate_v2_NC19","LIMITED","verdict=SIM13_CONTACT_GRASP_GATE_V2_PASS__BOUNDED_PROVISIONAL__PENDING_OWNER_REVIEW__NO_RELEASE_CREDIT","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_CONTACT_GRASP_GATE_V2.json","$.checks.contact_backend_validation_receipt_all_pass=true; $.checks.nc19_contact_detection_failure=PASS_NEGATIVE_CONTROL_DETECTED","f13b755ea0b3a9bb34fbf1bcf90343347a53c28b04ef59a3a207adaba624a81a","2026-08-27","NC19 后端存在:绑定 DESIGN_CONTACT_MODEL_V1(BOUNDED_PROVISIONAL)包络的窄相接触后端+派生(非实测)released contact geometry;包络外/缺参 UNKNOWN→ABORT;坏探测器负控 PASS","派生几何非实测;接触模型 AS_BUILT=null MEASUREMENT_PENDING(零填充禁止);不等于真实夹爪验证;current_contact_grasp_authorized=false","真实夹爪物理参数/窄相实测缺席;生产接触授权缺席","Owner+硬件实测线","true","true","高:回答『权威窄相接触』=合同包络级存在、物理级缺席","BOUNDED_PROVISIONAL 合同包络接触后端;不得声称物理接触验证","保持;物理参数待硬件实测(T_c/摩擦/夹爪)"
"sim13","mech_rl_system_interface_v2_instance","PROVISIONAL","instance_class=INSTANTIATED_20_OF_20_NC_BACKENDS_BOUND__PENDING_OWNER_REVIEW; next_stage_authorized=false; review_status=PENDING_OWNER_REVIEW","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/interfaces/MECH_RL_SYSTEM_INTERFACE_V2.yaml","$.instance_class; $.authority.current_values(sim13_system_binding_gate_passed=false,owner_accepted=false,current_consumer_load_authorized=false); $.schema=MECH_RL_SYSTEM_INTERFACE_V2","b105766ec1f19eec25d4a40f4d4afaeab3955ae9e0edffcd691754e5a3dbb8e8","2026-08-27","真正当前系统接口实例已存在(6716B,2026-08-25 19:59 发射;与发射回执 98370844 及 addendum 钉值逐位一致):8 驱动 DOF、19 link/18 joint、总质量 31.022864807342987 kg、12 门运行时合同、9 个 GATE artifact 槽全填","不证明接口已被授权消费:consumer_load_all_of_passed=false、contact_grasp_all_of_passed=false、route_c_exclusion_accepted=false;不是正式 Release","Owner 接受+Route-C scope disposition+系统绑定门未过","Owner","false","true","高:intake 第二缺席路径已在工件层解决","接口实例存在但 PENDING_OWNER_REVIEW;不得称已授权","Owner 评审;通过绑定门后才可 consumer load"
"sim13","unified_r2_sim_candidate_urdf","PROVISIONAL","emission_class=SOURCE_ONLY_BUILDER_EMISSION__NOT_GEN_URDF_AUTHORITY_EXECUTION; all_checks_pass=true(7 项); documented_defect=TMC-F01","20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/unified_r2_digital_prototype_prebind/generated_v2/UNIFIED_R2_URDF_EXECUTION_RECEIPT_V2.json","$.emission_class; $.documented_defect.id=TMC-F01; $.authority_execution_history.gen_urdf_attempts_under_valid_authorization=8; $.outputs.urdf.sha256=D84AA23C...","957ca67d7bcc2cb591df2442f24532ca3dae24f358fc69bf390ac1a20f6f021e","2026-08-27","Unified R2 C01 候选 URDF 已发射且 7 项验证 PASS:19 link/18 joint/16 physical、总质量精确 31.022864807342987 kg、E_HW 关节限位逐位不变;哈希钉 D84AA23C 与接口实例/prebind_r1 绑定一致","发射类别为 SOURCE_ONLY_BUILDER_EMISSION,非 gen_urdf 授权执行(8 次尝试全被 fail-closed 终检拒绝,TMC-F01);Route-C 排除未获 Owner 接受;不是正式发布系统 URDF","TMC-F01(marshal 运行时代码指纹不稳)处置待 Red Team+Falsifier+Owner;正式系统绑定门未过","Owner+Red Team/Falsifier","false","true","高:区分 SOURCE_ONLY 发射与正式 URDF 是本次审计核心","sim candidate(C01,无 Route-C);不得称正式系统 URDF","Owner 评审 TMC-F01 处置与 Route-C 接受"
"sim13","current_system_handoff_intake_v1","HOLD","overall_status=PASS_SOURCE_FREEZE_ONLY; current_intake_status=HOLD_INCOMPLETE","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/evidence/CURRENT_SYSTEM_HANDOFF_INTAKE_V1.json","$.current_intake_status=HOLD_INCOMPLETE; $.required_absent_paths(2 项); $.checks.required_system_artifacts_absent=true; $.promotion_sequence[1..4]=HOLD_NOT_EXECUTED","8e1419808aedcd3332a3a6509df69824ef763a05d993af6d3920e7486d4e5fe0","2026-08-27","intake 九域分类与硬负结果保留(e15 5.637349419858036%>5% REPEAT;e22 16/18 HOLD;current_binding INVALIDATED_BY_NEWER_M7_EVIDENCE);source-freeze 门 PASS","冻结时点(08-25 11:49)两缺席路径均 absent;此后 URDF(16:16)与接口实例(19:59)均已发射但 intake 未重评,HOLD_INCOMPLETE 字面状态陈旧","intake 重评未执行;promotion_sequence 四级全 HOLD_NOT_EXECUTED","Owner/后端流程","true","true","高:回答『intake 两缺席路径解决其一后状态』=工件层两者皆在、合同层 HOLD 未刷新","PASS_SOURCE_FREEZE_ONLY;不得升级","重评 intake 或随父 Gate 重发刷新"
"sim13","mechanical_evidence_admission_source_freeze","VERIFIED","overall_status=PASS_M7_TO_SIM13_MECHANICAL_EVIDENCE_ADMISSION_SOURCE_FREEZE_ONLY; next_stage_authorized=false; release_credit=false","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/mechanical_evidence_admission_source_freeze_v1/results/M7_TO_SIM13_MECHANICAL_EVIDENCE_ADMISSION_SOURCE_FREEZE_GATE_V1.json","$.overall_status","d35f22099bf23a60a2948f14d42b02d70eff1ff448622a037ea9beb2a4cae31a","2026-08-27","M7→Sim13 机械证据准入源冻结门 PASS(仅 source-freeze 层)","不证明准入证据被授权消费;不带 release credit","无(子域闭合)","后端包","true","false","中","source-freeze 级 PASS","无"
