asset_id,name,path,root,type,language_or_tool,classification,latest_valid_result,input_config,seed_if_any,model_hash_if_recorded,project_dependency,notes
A-COMMON-RB,shared rigid-body core (inertia loader / torque-free Euler+quaternion / H-E diagnostics),30_simulation/common/rigid_body.py,A,freefloating,Python (numpy/scipy),PROJECT_AUTHORITY,"consumed by sim_01..04 + sim_09 t5 anchor (residual 2.3e-11, PASS 2026-07-13); frozen checkout 2026-08-04; verdict=operational","20_engineering/stage1_spacecraft_layout/04_mass_inertia_budget/mass_inertia_budget_v1.csv + frame SSOT (S/M/T/D)",deterministic_no_rng,none (source file; pyc cpython-313 present),TRUE,"Shared solver layer of the whole Stage-2 sim baseline; loads mass/CoM/inertia from the frozen budget CSV. Physics is numpy-native, no external dynamics engine."
A-COMMON-CI,shared plastic-capture (instantaneous rigidization) solver + scenario builder,30_simulation/common/capture_impulse.py,A,capture,Python (numpy),PROJECT_AUTHORITY,"Gate A passed before 2026-07-11 (cited as validated excitation source in sim_07a README); validated by sim_06 test suite (conservation/energy/frame-invariance/limiting-cases/6x6 spatial-inertia cross-check); verdict=VERIFIED",SSOT mass properties + grasp geometry (CAD JSON metadata),deterministic_no_rng,none (source file),TRUE,"THE capture-momentum truth: exact vector rigidize (P,H conservation about combined CoM, Steiner terms, r x mv coupling, 6DOF lock + 3DOF point contact). Read-only imported by sim_06, sim_04_v2, sim_07a, sim_08, sim_10, sim_12; sim_11 capture_solver must reproduce its rigid limit."
A-SIM01,sim_01 free flight (12U servicer uncontrolled attitude drift),30_simulation/sim_01_free_flight/,A,attitude,Python (numpy/scipy),SUPERSEDED,"results/attitude_rate.csv+png, v0 baseline synced 2026-07-09; verdict=LIMITED+FROZEN (|H|,E conserved to machine precision); scenario map: early scenario asset, no independent scientific PASS",mass_inertia_budget_v1.csv (servicer_12U_v0 24 kg rigid line),deterministic_no_rng,none,TRUE,"Early Stage-2 v0 asset. Superseded as attitude-dynamics authority by sim_05/sim_11; retained as frozen evidence only. Re-run forbidden (scenario map freeze rules)."
A-SIM02,sim_02 target tumble (target_debris_v0 tumble + grasp-feature visibility),30_simulation/sim_02_target_tumble/,A,capture,Python (numpy/scipy),SUPERSEDED,"results/tumble_pose.csv+png, 2026-07-09; verdict=LIMITED+FROZEN; grasp feature visible only ~50% of time to +X-approaching servicer","target_debris_v0 self-defined inertia (confidence low; RA-003)",deterministic_no_rng,none,TRUE,"Target kinematics input generator for sim_04/06 lineage. Target inertia self-defined, never claimed measured. Frozen; not a current authority."
A-SIM03,sim_03 arm reaction (reduced planar free-floating model),30_simulation/sim_03_arm_reaction/,A,freefloating,Python (numpy/scipy),SUPERSEDED,"results/base_reaction.csv+png, 2026-07-09; headline ~13.1 deg peak base disturbance (planar); verdict=LIMITED+FROZEN",planar reduced model + mass_inertia_budget_v1.csv,deterministic_no_rng,none,TRUE,"Explicitly replaced by sim_05 full 3D 6R chain (README_sim_05: 'Replaces the sim_03 2-DOF reduced planar model'). Modeling-honesty note: base translation neglected. Frozen evidence."
A-SIM04,sim_04 capture corridor (reaction-aware SAFE/FAIL rule classifier; v0 heuristic + v2 exact),30_simulation/sim_04_capture_corridor/,A,capture,Python (numpy/scipy/matplotlib),SUPERSEDED,"results/capture_corridor_summary.csv (1620 cases) + corridor_migration_v2.csv; ~2026-07-10 era; verdict=LIMITED+FROZEN; sim_06 proved v0 heuristic boundary wrong in both directions (debris -2.6% false-safe, satellite +20% conservative)",scenario_matrix_v0.csv; v2 uses common/capture_impulse.py exact solver,deterministic_no_rng,none,TRUE,"v0 heuristic post-rate superseded by sim_06 exact vector model (24 false-safe grid points identified). v2 exact-impulse corridor is the retained portion. Early SAFE-312 historical count not the current unified gate."
A-SIM05,"sim_05 free-floating arm (full 3D 6R momentum-level model; real B601 URDF)",30_simulation/sim_05_free_floating_arm/,A,freefloating,Python (numpy/scipy; xml.etree URDF parse; DOP853),PROJECT_AUTHORITY,"results/sim_05_base_attitude.csv+png (peak 19.20 deg @ t=8 s about +Y_S); 6-file test suite 22/22 re-verified 2026-07-17 (sim_11 results/baseline_verification_20260717.log); verdict=VERIFIED+FROZEN","20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf (sha256 1bc2b748...) + T_SM frozen mounting (D-2) + mass_inertia_budget_v1.csv",deterministic_no_rng,arm URDF raw sha256=1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164,TRUE,"Rigid free-floating dynamics ANCHOR: composite base 25.2 kg + B601 arm 4.695556 kg (spec 4.6956±0.001), total system 29.8956 kg. Cross-checked by sim_11 G3b degeneration and CTRL-02 M1 anchor. Zero-momentum base reaction + generalized Jacobian J_g."
A-SIM06,"sim_06 capture impulse (exact post-capture combined-body rate; 40 cases)",30_simulation/sim_06_capture_impulse/,A,capture,Python (numpy),PROJECT_AUTHORITY,"results/capture_impulse_matrix_v0.csv + tests/verification_report_v0.md; Gate A passed <=2026-07-11; verdict=VERIFIED+FROZEN; headline: debris 150 kg @3 dps -> post-capture 3.06 dps (capture != detumbling); 2 dps budget boundary debris 1.96 dps / satellite 4.37 dps","2 targets x 5 tumble rates x 4 approach speeds grid; grasp points from CAD JSON; chaser stack 26.5 kg I_diag=[0.230; 0.661; 0.696]",deterministic_no_rng,none (grid deterministic),TRUE,"Capture-momentum anchor; reviewed by sim_10 X1 anchor gate. Establishes: without external torque capture only redistributes/dissipates energy, cannot remove |H|. Scalar shortcut error -2.9%..-12.3%."
A-SIM07,sim_07 ANCF flexible (planar gradient-deficient ANCF beam: benchmark + capture-excited task response),30_simulation/sim_07_ancf_flexible/,A,flexible,Python (numpy/scipy; Radau/DOP853),VALIDATION_CASE,"results/task_response_summary.csv + benchmark_results_v1.md (5/5 PASS after hot-path extraction) + ancf_beam_benchmarks.png; stage A complete 2026-07-11; verdict=LIMITED+FROZEN","one-way coupling (A1), planar (A2), Rayleigh zeta=0.01; EI cases 0.7/1.0/1.3 Hz from 20_engineering/config/geometry/flexible_appendage_v1.yaml; excitation from common/capture_impulse.py",deterministic_no_rng,none,TRUE,"Component-level flexible evidence ONLY (8-element planar beam, L=0.2 m). 6DOF lock tip peak 3.67-5.24 mm, root moment 2.6-4.8 mN.m envelope. Explicitly not candidate-level flexible certification; e15 certification remains NEGATIVE (5.637% cross-solver gap)."
A-SIM08,sim_08 detumble actuator budget (two-stage + unload architecture sweep),30_simulation/sim_08_detumble_actuator_budget/,A,momentum,Python (numpy),PROJECT_ACTIVE,"results/actuator_budget_sweep.csv (960 cases) + 3 PNGs; cross-checked by sim_10 X3 gate 2026-07-18; verdict=LIMITED+FROZEN","assumptions.yaml (NASA SmallSat SOA 2026 class values, placeholder until COTS datasheets); |H_c| from validated sim_06 solver",deterministic_no_rng,none,TRUE,"Current detumble budget ledger: debris 150 kg @3 dps -> |H_c|=3.65 N.m.s, 3x100 mN.m.s wheels 12x over capacity (thruster couple REQUIRED); satellite wheels-only feasible. Placeholder actuator constants != hardware selection."
A-SIM09,sim_09 grasp evaluator (E1 72-case candidate campaign + G0 anchors),30_simulation/sim_09_grasp_evaluator/,A,capture,Python (numpy/scipy),PROJECT_ACTIVE,"results/e1_gate_check.json (no global verdict; condition3_any_bucket_pass=true) + results/anchor_report_e0.md ALL PASS 2026-07-13; E1 72 cases: 69 IK / 24 admissible / 16 Pareto; E1.5 verdict REPEAT_E1_5 (SAFE=0, UNKNOWN=3, UNSAFE=69) NEGATIVE_RESULT; verdict=LIMITED+FROZEN","20_engineering/config/grasp_evaluator/*.yaml; anchors to sim_05/06/07/08 frozen artifacts (t1..t8 digit-exact)",deterministic_no_rng (t7 bitwise-determinism test),e1 artifacts sha256 listed in e1_gate_check.json,TRUE,"Candidate evaluation campaign complete; admissible != formal safe. E1.5 negative result preserved frozen (historical snapshot in 40_evidence/artifacts/visualization/e15_gate_evidence_snapshot_20260714/). Path-lock exception: spread over repo-root-style src/tests/results/figures/tables subdirs."
