class,id,path,bytes,sha256
INPUT,m5_collision_audit,20_engineering/F3R2_M5_PHYSICAL_GEOMETRY_AND_LOADS_CLOSURE_V1/02_configurations/M5_BROADPHASE_COLLISION_AUDIT_V1.json,17130,DB9029C8626B135F531E5467F1293CA65EDFED7BCB5BAB469CBDAA717AE71BF8
INPUT,owner_19,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR19_SOLAR_ARRAY_R2_ECR_V1.yaml,5613,4548E9AFD2A9E1DB5EC904E4DA9998F42F4B5B3B587EDD38187059C32F30BEE1
INPUT,owner_20_26,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR20_TO_ODR26_TERMINAL_R2_V1.yaml,5949,624B789CF15D9AB2E9901B638FD235AD3F380B057A05FF0991DB305D2140B7F4
INPUT,owner_27_34,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR27_TO_ODR34_TERMINAL_FREEZE_V1.yaml,3790,02DCFC420576078805F17C8D3D69C7EA33CAC6E2B47BF5335B02D77175B278E9
INPUT,owner_gpt_01_06,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/00_authority/M7_OWNER_DECISION_ODR_GPT_01_TO_06_TERMINAL_CLOSURE_V1.yaml,10251,B7EE60281935DD7417027D5428B9291BEE7D3F6528022509ACA168FB39B68689
INPUT,mission_gate,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_HARNESS_MISSION_COVERAGE_GATE.json,7324,F3B444222E87509B66F712E623A4903748C7309C6396708EC02A0C1A54CDAA5C
INPUT,pregrasp_mission_contract,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_MANDATORY_MISSION_TRAJECTORY_CONTRACT_V1.yaml,3835,C06A40DE171F0517ACB34CCC14C918A9A4252F7B55A425B2CBAC95229B44A98A
INPUT,mission_pose_rebind,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/04_mission/B601_MISSION_POSE_AUTHORITY_REBIND_V1.yaml,2977,2954AA16DE68CE6550C0A281DD309BF14585970087EBE35663485E0E932AA62A
INPUT,handoff_v2,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/07_release/MECHANICAL_TO_EMBODIED_HANDOFF_GATE_V2.json,54345,13722965D5C558D3439A7CB1E77ABBF3C2094B88E9D62F80D664D0C4C90D4E21
INPUT,sim13_audit,20_engineering/F3R2_M7_MECHANICAL_FINAL_DESIGN_CLOSURE_V1/ecr_b601_harness_rated_envelope/09_downstream_rebind/SIM13_CURRENT_MECHANICAL_BINDING_AUDIT_GATE_V1.json,6345,7FD3C63AF46BE4BA3055CCF87EFD1A71C13517EC872B1F3EDC52304B070D9153
