urdf_link,urdf_joint,component_name2,native_path,native_sha256,step_path,visual_mesh_path,collision_mesh_path,control_frame,camera_frame,authority_level,status,notes
base_link,,B51_REF_base_link_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_base_link_LINKLOCAL.SLDPRT,3693A96973CCBFE4C00B202C4D80027E44E0CB13BBEA73C6FAABD8A4D1E995B0,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_base_link_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_base_link_LINKLOCAL.stl,arm_base_frame,,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
link1,joint1,B51_REF_link1_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link1_LINKLOCAL.SLDPRT,BDC68C8CC26AF2DB318F800384BBDE5659617B911FD2B64A7D10D1416AC4AEFB,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link1_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link1_LINKLOCAL.stl,link1_frame,,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
link2,joint2,B51_REF_link2_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link2_LINKLOCAL.SLDPRT,DE6FD9A9E878585F0D7AB4476679E6A1F4CC49732D298AF4BA3AD8503381730E,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link2_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link2_LINKLOCAL.stl,link2_frame,,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
link3,joint3,B51_REF_link3_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link3_LINKLOCAL.SLDPRT,1D8E82786F8F8D06BF75EDBCC1B0E8662D364BE08DE81E1BD3C4442811259F83,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link3_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link3_LINKLOCAL.stl,link3_frame,,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
link4,joint4,B51_REF_link4_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link4_LINKLOCAL.SLDPRT,3E60226EAE9BBFC460C0B7DC1CF2138ABFD8B579CD962F545E2821A4DDBC0AE4,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link4_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link4_LINKLOCAL.stl,link4_frame,,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
link5,joint5,B51_REF_link5_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link5_LINKLOCAL.SLDPRT,EE7F882445CD43603902FBA7E66FF7F0A5765BEC09EC962DC39546132274513A,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link5_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link5_LINKLOCAL.stl,link5_frame,,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
link6,joint6,B51_REF_link6_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_link6_LINKLOCAL.SLDPRT,863AEF31D7DEB964F6AF1B99DAC060EF5ED261340D2BE0F52419B1DEE775E68C,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link6_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_link6_LINKLOCAL.stl,link6_frame,camera_optical_frame,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
gripper_link,gripper_joint,B51_REF_gripper_detail_LINKLOCAL,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/03_native_cad/B601_ARM_B51_COPY/inputs/vendor_link_parts/B51_REF_gripper_detail_LINKLOCAL.SLDPRT,6758B99741FFACABC31C2D629C6191F25C461AC877442212B468B141805EEECC,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_gripper_detail_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_gripper_detail_LINKLOCAL.stl,gripper_link_frame,camera_optical_frame,L3_DONOR_REFERENCE_L0_URDF_LINK,MAPPED_FROM_FROZEN_DONOR,native V5 top assembly references the protected B51 donor; gripper split native parts pending Loop1C0
gripper_left,gripper_joint1,B601_GRIPPER_LEFT_FINGER,,,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_gripper_detail_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_gripper_detail_LINKLOCAL.stl,gripper_left_frame,camera_optical_frame,L1_NATIVE_PENDING_LOOP1C0,PENDING_NATIVE_SAVE_BODIES_AND_PRISMATIC_MATES,L0 URDF mass/inertia unchanged; native V5 finger parts not yet created
gripper_right,gripper_joint2,B601_GRIPPER_RIGHT_FINGER,,,,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_gripper_detail_LINKLOCAL.stl,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh/parts_DEPLOYED/B51_REF_gripper_detail_LINKLOCAL.stl,gripper_right_frame,camera_optical_frame,L1_NATIVE_PENDING_LOOP1C0,PENDING_NATIVE_SAVE_BODIES_AND_PRISMATIC_MATES,L0 URDF mass/inertia unchanged; native V5 finger parts not yet created
