asset_id,component_name2,native_path,native_sha256,collision_class,authority_level,path,role,urdf_link,triangles,deflection_mm,frame,posed_by,authoritative,authority_note
B51_REF_base_link_LINKLOCAL,B51_REF_base_link_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_base_link_LINKLOCAL.stl,ARM_LINK_COLLISION,base_link,265028,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link1_LINKLOCAL,B51_REF_link1_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link1_LINKLOCAL.stl,ARM_LINK_COLLISION,link1,81368,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link2_LINKLOCAL,B51_REF_link2_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link2_LINKLOCAL.stl,ARM_LINK_COLLISION,link2,419132,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link3_LINKLOCAL,B51_REF_link3_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link3_LINKLOCAL.stl,ARM_LINK_COLLISION,link3,331392,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link4_LINKLOCAL,B51_REF_link4_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link4_LINKLOCAL.stl,ARM_LINK_COLLISION,link4,201592,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link5_LINKLOCAL,B51_REF_link5_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link5_LINKLOCAL.stl,ARM_LINK_COLLISION,link5,176832,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_link6_LINKLOCAL,B51_REF_link6_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_link6_LINKLOCAL.stl,ARM_LINK_COLLISION,link6,216564,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
B51_REF_gripper_detail_LINKLOCAL,B51_REF_gripper_detail_LINKLOCAL,,,ARM_LINK_COLLISION,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\B51_REF_gripper_detail_LINKLOCAL.stl,ARM_LINK_COLLISION,gripper_link,149156,0.5,spacecraft_assembly_frame at q_as_built,URDF FK relative transform,False,tessellation of the CAD B-rep; the B-rep is authoritative
Adapter_Plate,Adapter_Plate,,,ARM_MOUNT_INTERFACE,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Adapter_Plate.stl,ARM_MOUNT_INTERFACE,,160,0.5,spacecraft_assembly_frame,static,False,tessellation of the CAD B-rep
Aft_Saddle,Aft_Saddle,,,SADDLE_PLACEHOLDER,L2_MESH,F:/China Graduate Future Flight Vehicle Innovation Competition/20_engineering/F3R2_MECHANICAL_TERMINAL_CLOSURE_20260807/05_clearance/mesh\parts_DEPLOYED\Aft_Saddle.stl,SADDLE_PLACEHOLDER,,28,0.5,spacecraft_assembly_frame,static,False,"placeholder block, not a real support"
