clamp_id,cad_part_name,host_link,type,frame,x_mm,y_mm,z_mm,axis_dx,axis_dy,axis_dz,bore_radius_mm,retained_radius_mm,install_allowance_mm,colocation_budget_mm,fastener_interface,note
CF-BUS-00,RC-CLP-BUS-HN01,bus,FIXED,S,-28.138,-68.405,-45.746,0.118322478,-0.407405439,0.905549888,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-BUS-FT,exact SEG-00 s=25 mm cable-axis station
CF-BUS-01,RC-CLP-BUS-HN02,bus,FIXED+STRAIN_RELIEF,S,-23.869,-83.105,-26.278,0.217516652,-0.748948711,0.625909207,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-BUS-FT,exact SEG-00 s=50 mm cable-axis station
CF-BUS-02,RC-CLP-BUS-HN03,base_link,FIXED,base_link_frame,-3.867,-151.976,4.635,0.183393951,-0.631458153,0.753410419,6.000,5.000,0.500,0.500,2xM3 on bracket arm,exact SEG-00 s=130 mm cable-axis station
CF-BUS-03,RC-CLP-BUS-RISER,base_link,FIXED,base_link_frame,-0.476,-164.102,81.337,-0.075181102,0.172261545,0.982178070,6.000,5.000,0.500,0.500,2xM3 on bracket arm,exact SEG-00 s=210 mm cable-axis station
CF-J1-REL-A1,RC-CLP-J1-RELIEF-A1,base_link,RELIEF_END,base_link_frame,-65.081,-11.461,126.453,-0.173575520,0.984395690,0.028925154,6.000,5.000,0.500,0.500,2xM3 on V9 annulus cheek,first-pass 190deg entry on actual helix
CF-J1-REL-B1,RC-CLP-J1-RELIEF-B1,base_link,RELIEF_END,base_link_frame,-11.545,64.997,129.453,0.984395690,0.173575520,0.028925154,6.000,5.000,0.500,0.500,2xM3 on V9 annulus cheek,first-pass 100deg exit on actual helix
CF-J1-REL-A2,RC-CLP-J1-RELIEF-A2,base_link,RELIEF_END,base_link_frame,-65.081,-11.461,138.453,-0.173575520,0.984395690,0.028925154,6.000,5.000,0.500,0.500,2xM3 on V9 annulus cheek,second-pass 190deg entry on actual helix
CM-J1-M,RC-CLP-J1-MOV,link1,MOVING,link1_frame,-53.108,39.186,55.350,0.593476967,0.804331042,0.028925154,6.000,5.000,0.500,0.500,2xM3 on RC-BRK-L1-01,rotating clamp at annulus exit
CF-L1-01,RC-CLP-L1-01,link1,FIXED,link1_frame,-35.113,63.178,56.201,0.665306514,0.746239356,0.022227620,6.000,5.000,0.500,0.500,2xM3 on RC-BRK-L1-01,fixed clamp on link1 annulus exit stub
CF-J2-F,RC-CLP-J2-FIX,link1,FIXED,link1_frame,17.292,81.625,55.306,0.999193722,0.000000000,-0.040148536,6.000,5.000,0.500,0.500,2xM3 on link1 derived pad,J2 loop fixed clamp (link1 side)
CM-J2-M,RC-CLP-J2-MOV,link2,MOVING,link2_frame,-89.528,5.435,50.000,-0.803955266,-0.594689777,0.000000000,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-L2,J2 loop moving clamp (link2 side)
CF-L2-01,RC-CLP-L2-01,link2,FIXED,link2_frame,-102.078,-1.520,50.000,-0.930416907,-0.366502906,0.000000000,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-L2,link2 channel fixed clamp
CM-J3-M,RC-CLP-J3-MOV,link2,MOVING_CARRIER,link2_frame,-160.053,-5.870,50.000,-0.999906341,-0.013686100,0.000000000,6.000,5.000,0.500,0.500,carriage RC-CAR-J3-CARRIAGE,J3 carrier moving clamp, travel x -85..-195 (link2 frame)
CF-L2-02,RC-CLP-L2-02,link2,FIXED,link2_frame,-228.000,-6.800,50.000,-1.000000000,0.000000000,0.000000000,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-L2,link2 channel end clamp
CG-J3-S,RC-GDE-J3-SADDLE,link2,GUIDE_SADDLE,link2_frame,-275.000,-6.800,50.000,,,,,,,,4xM3 saddle bracket,J3 guide saddle entry tangent
CM-J3-HB,RC-CLP-J3-HOST-BOUNDARY,link3,MOVING_HOST_BOUNDARY,link3_frame,75.907,90.894,50.000,0.725620636,-0.688094973,0.000000000,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-L3,J3 physical host-boundary clamp; downstream route is link3-only
CF-L3-01,RC-CLP-L3-01,link3,FIXED,link3_frame,94.604,73.164,50.000,0.725620636,-0.688094973,0.000000000,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-L3,link3 channel fixed clamp
CF-L3-02,RC-CLP-L3-02,link3,FIXED,link3_frame,113.229,55.502,50.000,0.725620636,-0.688094973,0.000000000,6.000,5.000,0.500,0.500,2xM3 on RC-CHN-L3,link3 channel fixed clamp
CF-J4-F,RC-CLP-J4-FIX,link3,FIXED,link3_frame,264.034,-44.800,72.375,1.000000000,0.000000000,0.000000000,6.000,5.000,0.500,0.500,2xM3 on removable Plane-A bracket; torque HOLD,V9 fixed Plane-A clamp before passive free leg
CG-J4-CAR,RC-GDE-J4-CARRIER-SADDLE,link3,GUIDE_SADDLE,link3_frame,408.125,-94.800,49.375,,,,,,,,carriage split saddle interface; M3 definition HOLD,V9 q4-generated passive carriage/saddle datum at q4=0
CM-J4-M,RC-CLP-J4-MOV,link4,MOVING_HOST_BOUNDARY,link4_frame,76.400,-90.800,28.000,-1.000000000,0.000000000,0.000000000,6.000,5.000,0.500,0.500,2xM3 on removable Plane-B bracket; torque HOLD,V9 physical host-boundary clamp on link4
