path,package,bytes,category,handling,listed_in_package_manifest,directed_source_pinned,exact_duplicate_group
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.generation.lock,WP01,32,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.generation.lock.mutex,WP01,1,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.generation.progress.json,WP01,421,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.py.generation.lock,WP01,32,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.py.generation.lock.mutex,WP01,1,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.py.generation.progress.json,WP01,423,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.py.generator.lock,WP01,32,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.py.generator.lock.mutex,WP01,1,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.frame_root_module.step.py.generator.progress.json,WP01,381,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.service_robot_initial_deploy.step.generation.lock,WP01,32,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
20_engineering/service_robot_wp01_20260905/__cadgen__/models/.service_robot_initial_deploy.step.generation.lock.mutex,WP01,1,GENERATED_VIEWER_CACHE,Exclude from reading; retain for current viewer/replay,False,False,
