group,path,bytes,sha256,category,disposition
DUP-001,20_engineering/service_robot_wp01_20260905/viewer.log,85,d8e7bff2b2be9771074fab1801ddc8a79b1890bf740008b9390c9a93c68b73bc,EXECUTION_DIAGNOSTIC,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-001,20_engineering/service_robot_wp01_20260905/viewer_r2.log,85,d8e7bff2b2be9771074fab1801ddc8a79b1890bf740008b9390c9a93c68b73bc,EXECUTION_DIAGNOSTIC,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-002,20_engineering/service_robot_wp01_20260905/build_other_states.log,276,e0a90d72240a8155f32b545058fe0313ab90e9a07b7dd966d6675b809c19ad77,EXECUTION_DIAGNOSTIC,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-002,20_engineering/service_robot_wp01_20260905/build_stowed.log,276,e0a90d72240a8155f32b545058fe0313ab90e9a07b7dd966d6675b809c19ad77,EXECUTION_DIAGNOSTIC,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-003,20_engineering/service_robot_wp01_20260905/kinematics.py,1823,3ed16b3a2a7ac5566ead038fd2d291bfcadf86ac1fa5e294acecb92b5ea7b7bf,SOURCE_OR_REPRODUCTION_DEPENDENCY,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-003,20_engineering/service_robot_wp02_20260905/inputs/wp01_kinematics.py,1823,3ed16b3a2a7ac5566ead038fd2d291bfcadf86ac1fa5e294acecb92b5ea7b7bf,HISTORICAL_COMPONENT_WORK,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-003,20_engineering/service_robot_wp03_spacecraft_body_r1/kinematics.py,1823,3ed16b3a2a7ac5566ead038fd2d291bfcadf86ac1fa5e294acecb92b5ea7b7bf,CURRENT_SOURCE_OR_REFERENCE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-004,20_engineering/service_robot_wp01_20260905/design_parameters.json,4146,9ab316460388c507c34b1be83ed1616afabaa34e51c835ecbfea973c98f018b2,SOURCE_OR_REPRODUCTION_DEPENDENCY,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-004,20_engineering/service_robot_wp02_20260905/inputs/wp01_design_parameters.json,4146,9ab316460388c507c34b1be83ed1616afabaa34e51c835ecbfea973c98f018b2,HISTORICAL_COMPONENT_WORK,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-005,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_-1_2_1.step,9461,2e9676ac488bc2ae4f88f7fa2cdab8e9547bb1a9c68b83e22951963845e70904,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-005,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_-1_3_1.step,9461,2e9676ac488bc2ae4f88f7fa2cdab8e9547bb1a9c68b83e22951963845e70904,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-005,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_1_1_1.step,9461,2e9676ac488bc2ae4f88f7fa2cdab8e9547bb1a9c68b83e22951963845e70904,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-005,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_1_2_1.step,9461,2e9676ac488bc2ae4f88f7fa2cdab8e9547bb1a9c68b83e22951963845e70904,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-005,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_1_3_1.step,9461,2e9676ac488bc2ae4f88f7fa2cdab8e9547bb1a9c68b83e22951963845e70904,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-006,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_-1_1_-1.step,9468,76718fc188588162b01999fbf6f629c59d2659f0e5eb53a2ed5e4433ad6a4470,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-006,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_-1_2_-1.step,9468,76718fc188588162b01999fbf6f629c59d2659f0e5eb53a2ed5e4433ad6a4470,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-007,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_-1_3_-1.step,9468,eb853a92ecbb4678845a86e2324dacab6a8aede4102c4450f75e8fa05bba4256,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-007,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_1_1_-1.step,9468,eb853a92ecbb4678845a86e2324dacab6a8aede4102c4450f75e8fa05bba4256,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-007,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_1_2_-1.step,9468,eb853a92ecbb4678845a86e2324dacab6a8aede4102c4450f75e8fa05bba4256,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-007,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_WING_HINGE_PIN_1_3_-1.step,9468,eb853a92ecbb4678845a86e2324dacab6a8aede4102c4450f75e8fa05bba4256,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-008,20_engineering/service_robot_wp01_20260905/results/initial_deploy_BOM.csv,11400,08345269672c069418cb04bc98808bfaa8e75ee06c13586fb78ef4cd75845f31,HISTORICAL_COMPONENT_WORK,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-008,20_engineering/service_robot_wp01_20260905/results/stowed_BOM.csv,11400,08345269672c069418cb04bc98808bfaa8e75ee06c13586fb78ef4cd75845f31,HISTORICAL_COMPONENT_WORK,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-009,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_TRUNK_CLIP_-140.step,19033,562cd76fb741e1b85e05eecdfd4f592394812c79abd2b8e85c21a063d736b749,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-009,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_TRUNK_CLIP_-70.step,19033,562cd76fb741e1b85e05eecdfd4f592394812c79abd2b8e85c21a063d736b749,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-009,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_TRUNK_CLIP_0.step,19033,562cd76fb741e1b85e05eecdfd4f592394812c79abd2b8e85c21a063d736b749,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-009,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_TRUNK_CLIP_65.step,19033,562cd76fb741e1b85e05eecdfd4f592394812c79abd2b8e85c21a063d736b749,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-010,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_HOLD_ROOF_LUG_0_-94.15.step,19070,900b468ae01d83ab1107cca3ce063bfe3ae219e0e3a35dd6ee595588e9117737,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-010,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_HOLD_ROOF_LUG_0_94.15.step,19070,900b468ae01d83ab1107cca3ce063bfe3ae219e0e3a35dd6ee595588e9117737,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-010,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_HOLD_ROOF_LUG_1_-94.15.step,19070,900b468ae01d83ab1107cca3ce063bfe3ae219e0e3a35dd6ee595588e9117737,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-010,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_HOLD_ROOF_LUG_1_94.15.step,19070,900b468ae01d83ab1107cca3ce063bfe3ae219e0e3a35dd6ee595588e9117737,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_-1_-150_-75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_-1_-150_75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_-1_0_-75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_-1_0_75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_-1_150_-75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_-1_150_75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_1_-150_-75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_1_-150_75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_1_0_-75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_1_0_75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_1_150_-75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-011,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_COVER_MOUNT_1_150_75.step,19106,3105bc22d275332aaace74fdf53470c762f13d9a5bb94216952bb7a9c5e26db5,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-012,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_HOLD_OPEN_CAP_0.step,21085,17be3a87e0f22a55e956ecbb106fd6f6a6240260785e1388e07f11fd01b3b693,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-012,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_HOLD_OPEN_CAP_1.step,21085,17be3a87e0f22a55e956ecbb106fd6f6a6240260785e1388e07f11fd01b3b693,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_-150_-94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_-150_94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_-30_-94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_-30_94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_-90_-94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_-90_94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_150_-94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_150_94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_30_-94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
DUP-013,20_engineering/service_robot_wp03_spacecraft_body_r1/parts/WP03_SHEAR_CLIP_-1_30_94.step,22716,800accc204d8465bcd5e1d6e7880f71ea610c1a8b92d0f31b69602d45bd34116,CURRENT_PART_CANDIDATE,KEEP_PATH_UNTIL_CONSUMER_AND_PROVENANCE_MIGRATION; BYTE_EQUAL_ONLY
