domain,item,current_status,verdict,authority_path,json_key_or_row_locator,sha256,last_verified,what_it_proves,what_it_does_not_prove,open_blocker,blocker_owner,internally_closable,external_input_required,competition_relevance,claim_ceiling,next_minimum_action
"embodied","digital_twin_maturity_ceiling","LIMITED","DT2_SCOPE_LIMITED_OFFLINE_REPLAY_CONFIRMED","10_research/00_project_architecture/digital_twin_plan.md","L7-L13 当前裁决段; L21-L29 DT0-DT4 表 (DT3=BLOCKED, DT4=BLOCKED); 另见 10_research/research_questions/Q5_digital_twin.md L9 裁决 LIMITED_DT2_AND_BLOCKED_UPGRADE","64e88a4db0c6650c5d8ac76c6ab961c571fc3b6d3266dfeef476fd9c6ec8c67a","2026-08-27","当前最高允许数字孪生表述为受限 DT2 离线证据回放（冻结输入+Gate+哈希确定性重建证据解释）","不证明实时状态同步、在线校准、硬件双向闭环、HIL 或在轨孪生","DT2->DT3 七项升级门（统一时基/在线估计/同步误差 Gate 等）全部未满足","项目治理+Owner","no","yes","决定决赛演示叙事上限：只能称离线回放","DT2_SCOPE_LIMITED_OFFLINE_REPLAY","维持措辞；赛后另立 DT3 合同"
"embodied","offline_physics_gated_demo","VERIFIED","COMPETITION_DEMO_READY_17_OF_17_OFFLINE_ONLY","10_research/competition_convergence/competition_gate_check.json","checks_passed=17/checks_total=17; final_verdict=COMPETITION_DEMO_READY; command_emitted=false; real_time_synchronization=false; offline_replay=true; stop_rules.start_hil=false/start_vla=false; scenario_actions A_low=EXECUTE/B_anchor=ABORT/C_transition=MODIFY","8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200","2026-08-27","离线确定性三场景物理门控回放链（MISSION_INPUT->SIM10->SIM12->SAFE00->CTRL02->REPLAY）17/17 通过且字节级绑定","不证明实时/硬件/感知闭环；EXECUTE 仅解释性语义，无执行授权、无命令输出","无（本 Gate 内）；任何变更自动降级 REPEAT/BLOCKED","—","n/a","no","比赛交付核心（OFFLINE_PHYSICS_GATED_DEMO=GO 的机器依据）","离线解释性回放，EXECUTE≠执行授权","冻结不动"
"embodied","physics_gated_agent_planning_freeze","PLANNED","PLANNING_COMPLETE_NO_IMPLEMENTATION","10_research/space_embodied_robotics/physics_gated_agent_plan.md","L5-L8 裁决水印（PHYSICS_GATED_AGENT_PLANNING_COMPLETE_NO_IMPLEMENTATION / NO_NEW_EXECUTION_AUTHORITY）; §2 E/C/P/S 架构图; §5 逐项裁决表","ecba24564e55ff227aaf785857dff8dd8f380a02322c8c4655b5cf7f550c5d10","2026-08-27","候选—确定性物理—SAFE 扩展—外部授权的分层规划架构已冻结（2026-07-23 路线覆盖）","不证明状态信封正式合同、Physics Tool、SAFE 扩展、VLA 或执行链任一已实现","状态信封合同未冻结; Physics Tool 未实现; SAFE 扩展未授权","Owner","no","yes","具身智能架构叙事的最高依据","规划架构存在（PLANNING_ONLY）","赛后起草 B1 信封/B3 工具/B4 SAFE 扩展合同"
"embodied","embodied_agent_v1_prototype_contract","PLANNED","PROTOTYPE_CONTRACT_ONLY","10_research/space_embodied_robotics/space_embodied_agent_v1_contract.md","L3-L10 状态头（SCIENTIFIC_GATE=false, EXECUTION_AUTHORITY=false）; §1.1 三项设计创新点（声明为设计而非已验证能力）; §4 六接口表; §10 COMP-PROT-02 APPROVED_WITH_SCOPE_LIMIT 但 IMPLEMENTATION_AUTHORITY=false","3d949b26caf8bd093dac84433cb4c2755b6258a3a03e445ce263d3456faf81aa","2026-08-27","物理约束具身决策框架的合同与接口词表已落盘（Level0 六技能/Level1 五原语/物理四值/SAFE 五值完全分离）","不证明 Agent、Physics Tool、SAFE 扩展、控制器或 VLA 实现存在","文档级验收执行记录仍为 PLANNED","Owner/治理","partial","yes","「具身智能」作为架构贡献的最强证据载体","设计创新点+合同落盘，非已验证系统能力","如需引用，先补做 prototype_acceptance 文档级验收记录"
"embodied","prototype_json_schemas_5","PROVISIONAL","SCHEMAS_EXIST_DOCUMENT_ACCEPTANCE_PLANNED","20_engineering/config/competition_prototype/prototype_acceptance.yaml","artifacts.schemas 五 schema 列表; acceptance_rules CP01-A01..A20; evaluation_record.status=PLANNED; forbidden_claims 四条","8214139674a9076471f6fa62ef486e33f0d99d4388b6ab814a822dced6ca9969","2026-08-27","target_state_envelope/candidate_bundle/skill_contract/physics_tool_response/experience_memory 五个 Draft 2020-12 schema 存在且验收规则已定义","不证明验收已执行、不证明任何运行时实例存在","evaluation_record.status=PLANNED（验收未跑）","治理","yes","no","E-COMP-05 的合同资产底座","合同落盘（acceptance_kind=DOCUMENT_AND_SCHEMA_ONLY）","内部补跑文档级验收并落记录"
"embodied","physics_tool_contract_draft","PLANNED","DRAFT_NOT_IMPLEMENTED","10_research/vla/tool_contract_draft.yaml","L8 status: DRAFT_NOT_IMPLEMENTED; tools 五工具定义（query_feasibility/evaluate_capture/compare_strategy/check_resources/recommend_action）; provenance_block 强制三元组","b8f130d578b2a2a020871a497d43dd74c5eb7f47a45d4fa874d8e26b754cd19d","2026-08-27","typed tool 接口草案存在：fail-closed 错误语义、冻结 registry 哈希锚、词表枚举齐全","不证明工具服务已实跑或被任何运行链调用","无服务端实现、无 Gate、与 system_interface_plan.md 的旧冲突未收敛","Owner","no","yes","工具层设计依据（规划态）","草案（DRAFT）","不实施；仅作规划引用"
"embodied","vla_generalization_protocol","PLANNED","PROTOCOL_DRAFT_NO_TRAINING_NO_DATA","10_research/vla/vla_generalization_plan.md","L3 状态 PROTOCOL_DRAFT（未实现/未采数/未训练）; §2 V0-V3 四基线消融; §4 七组轴含 G-E 遮挡/G-F 延迟; §5 M1-M8 预注册; §8 阻塞表","169cb1f05b33fca907f2d338a7d48bff14e3bd1b3d479aaa1401c1669a3acece","2026-08-27","确定性候选器 vs VLA 的成组对照实验协议已预注册式设计（含遮挡、延迟、OOD 转速轴）","不证明任何 VLA 结果、基线结果或数据集存在","渲染/域随机化管线 NOT_STARTED; Physics Tool PLANNED; 外部参数 BLOCKED","Owner","no","yes","赛后研究方向；比赛期不可引用为结果","协议草案（无实验）","赛后另立任务合同"
"embodied","q4_embodied_interface","PLANNED","PLANNED_NOT_IMPLEMENTED","10_research/research_questions/Q4_embodied_intelligence.md","L9 裁决; L27-L31 已有资产与当前缺失清单（自认缺：感知数据集合同/技能库/训练验证集/实时接口/HIL/硬件执行证据）","c38a6eb31dcaa24b55e074df1ce638646d2dd7c9488de76f5165fbde97deab2a","2026-08-27","感知→候选→物理筛选→SAFE→人工授权接口链已定义，缺失项已明示","不证明该链任一环节已实现","同缺失清单","Owner","no","yes","叙事边界声明","未来接口（PLANNED）","维持"
"embodied","sim13_v1_historical_bootstrap","SUPERSEDED","HISTORICAL_KINEMATIC_BOOTSTRAP_ONLY","30_simulation/sim_13_physics_gated_embodied_grasping/README.md","L3-L21 Current authority 段（V1 仅历史 bootstrap/regression；V2 source-only 硬锁 ABORT）; results/README.md L5（无 RL 训练结果）","e7fa21a26808f5c7eda31e59fa4f06e9c07c6aeb5e53c56427fd6071b9125ff9","2026-08-27","V1 环境接线/安全掩码/双锚点确定性执行曾通过，现仅作历史回归","不证明当前系统、生产机械/接触/RL 绑定权威；不得发布非 ABORT 生产动作","生产权威已被 M7 证据失效","—（终态）","n/a","no","边界声明（防止引用 V1 为现行能力）","历史回归用途","禁止引用为现行能力"
"embodied","sim13_v1_state_based_observation_no_perception","VERIFIED","ABSENT_CONFIRMED_STATE_BASED_ONLY","30_simulation/sim_13_physics_gated_embodied_grasping/config/sim13_bootstrap.json","observation_mode=state_based; action_mode=high_level_discrete_no_joint_torque; training_success_claimed=false; 另见 src/observation.py L24-L60（target 真值直读、flexible_modes=INTERFACE_ONLY_UNKNOWN、joint_limit_margin=UNKNOWN）","4624c5ba2a016a002531fcf6fb6efd661aa488d6c9420197789263d4b0e42b8d","2026-08-27","现行 embodied 环境观测=harness 状态真值直读，确认无相机、无位姿估计器、无协方差、无遮挡模型、无噪声模型","不证明未来不可加估计器；只证明当前代码内不存在","感知前端整体未建","Owner","no","yes","感知缺失的直接机器证据","无感知实现（state-based truth only）","E-COMP-05 需新建合成/记录位姿序列生成器"
