id,domain,description,verdict_or_status,authority_path,locator,sha256,retained_as,notes
"NEG-E01","embodied","Sim13 V1 生产机械/接触/RL 绑定权威被 M7 新证据失效，V1 不得发布非 ABORT 生产动作","SUPERSEDED","30_simulation/sim_13_physics_gated_embodied_grasping/README.md","L3-L21 Current authority 段","e7fa21a26808f5c7eda31e59fa4f06e9c07c6aeb5e53c56427fd6071b9125ff9","historical_bootstrap_regression","保留为历史确定性 V1 运动学 bootstrap/回归用途"
"NEG-E02","embodied","V4 运行时防护诊断不改变正式负对照：formal V2 NC 仍 15/20，NC15/16/18/19/20 维持 HOLD，NC19 NOT_EXECUTED","HOLD","30_simulation/sim_13_physics_gated_embodied_grasping/v4_runtime_guard_diagnostic/results/SIM13_V4_RUNTIME_GUARD_DIAGNOSTIC_GATE_V1.json","formal_v2_negative_controls（all_passed=false, passed=15, hold_ids 五项, unchanged_by_v4=true）; diagnostic_claim_boundaries.NC19=NOT_EXECUTED__FORMAL_HOLD","104d6d25d1c4f05b5447639d1d1ccbe464e622241ec23098e14ff44003d885e0","formal_hold_register","四项诊断结果只能写 PASS_DIAGNOSTIC_LOGIC_ONLY，不得累加成 19/20"
"NEG-E03","embodied","V2 后端负控制注册表 20/20 子结果未升级父 Gate：next_stage_authorized=false、release_credit=false、PENDING_OWNER_REVIEW，最大运行态仍 ABORT_ONLY","PENDING_REVIEW","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/runtime_fail_closed_backends_v2/results/SIM13_20_OF_20_GATE_V1.json","gate_passed=true; nc_score=20/20; next_stage_authorized=false; review_status=PENDING_OWNER_REVIEW","4a813f2ee3b0585d63fa591415ab3b256f112d056ba89c879e02d7bcd068b6e4","child_registry_pending_owner_review","父 prebind gate（同日 11:09Z）与 AGENTS.md L39 仍记 15/20 → CHILD_RESULT_NEWER__PARENT_GATE_NOT_REISSUED；sim13 分片负责正式裁决"
"NEG-E04","embodied","e15 交叉求解器 ANCF 认证 REPEAT 硬负结果（最大相对差 5.637349419858036% > 5%）在 sim13 intake 中保留","REPEAT","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/results/CURRENT_SYSTEM_HANDOFF_INTAKE_SOURCE_FREEZE_GATE_V1.json","preserved_hard_negatives.e15（status=REPEAT_ANCF_CERTIFICATION, max_cross_solver_relative_difference=0.05637349419858036）","23903c1af1a6f7382a18e0685ef6a6010926b8c812163900bc3843b7a44be5ce","hard_negative","embodied 侧仅引用登记；e15 归动力学分片裁决"
"NEG-E05","embodied","机械→embodied harness 交接 G12 FAIL：11/12 通过，released_trajectories=0、safe_key_states=0（要求 8/10）","FAIL","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/results/CURRENT_SYSTEM_HANDOFF_INTAKE_SOURCE_FREEZE_GATE_V1.json","preserved_hard_negatives.harness（handoff_g12=FAIL, handoff_passed=11, handoff_total=12）","23903c1af1a6f7382a18e0685ef6a6010926b8c812163900bc3843b7a44be5ce","hard_negative","SIM13_20_OF_20 gate 记 mech_to_embodied_handoff_g12_harness=NOT_IN_A3_SCOPE...REGISTERED_NOT_FORGED"
"NEG-E06","embodied","Route-C 物理注册表 0/13 可用（13 项全 HOLD，禁止 Route-B 种子继承），当前系统绑定物理输入缺席","HOLD","30_simulation/sim_13_physics_gated_embodied_grasping/v2_system_rebind/current_system_handoff_intake_v1/results/CURRENT_SYSTEM_HANDOFF_INTAKE_SOURCE_FREEZE_GATE_V1.json","preserved_hard_negatives.route_c_physical_registry（available=0, hold=13, non_null=0）","23903c1af1a6f7382a18e0685ef6a6010926b8c812163900bc3843b7a44be5ce","hard_negative","零填充被明确禁止；为 TMG-4/TMG-6 内部阻断在 embodied 侧的表现"
"NEG-E07","embodied","H0/H1/H2 地面资格链 NOT_STARTED，B601_MOTION=PROHIBITED，HAG-E 授权文件不存在（approvals 目录缺失，2026-08-27 核实）","BLOCKED_EXTERNAL","10_research/competition_convergence/competition_gate_check.json","hardware_component_status 四字段; stop_rules.start_hil=false; hardware_component_plan.md L44-L51 机器状态段","8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200","stop_state","NOT_STARTED 不是 PASS/REPEAT/BLOCKED 替身；无 H0/H1/H2 Gate JSON，禁止合成空 PASS"
"NEG-E08","embodied","四条禁止主张登记：已实现空间具身智能/已完成自主捕获/已完成 VLA/已完成安全控制","CONTRACT_FORBIDDEN","20_engineering/config/competition_prototype/prototype_acceptance.yaml","forbidden_claims 列表（L164-L168）","8214139674a9076471f6fa62ef486e33f0d99d4388b6ab814a822dced6ca9969","forbidden_claims_register","任何比赛/论文材料违反即审计事故"
"NEG-E09","embodied","「Physics Foundation Model」术语裁决为 REJECTED_AS_PREMATURE_LABEL","REJECTED","10_research/space_embodied_robotics/physics_gated_agent_plan.md","§3.2 末段与 §5 逐项裁决表","ecba24564e55ff227aaf785857dff8dd8f380a02322c8c4655b5cf7f550c5d10","rejected_label","无训练对象/泛化协议/独立评价前不得使用该标签"
"NEG-E10","embodied","Sim13 无任何 RL 训练结果；bootstrap PASS（未来签署）也只表示环境与安全掩码接线，不表示策略已训练或抓取成功","ABSENT","30_simulation/sim_13_physics_gated_embodied_grasping/results/README.md","L5-L7 全文","4cc9fac5219873185ffdf884c9afaf3f142c5ed22c44c980c4e46a9d99edc0e9","absence_note","config/sim13_bootstrap.json training_success_claimed=false 佐证"
