item_id,item_name,type,qty,material,procurement,status
P01,Adapter_Plate,machined_part,1,Al7075-T6,in_house_CNC,MANUFACTURING_RELEASE
P02,Central_Boss,machined_part,1,Al7075-T6,in_house_CNC,MANUFACTURING_RELEASE
P03,Spacecraft_Flange,machined_part,1,Al7075-T6,in_house_CNC,MANUFACTURING_RELEASE
P04,Load_Spreading_Frame,machined_part,1,Al7075-T6,in_house_CNC,MANUFACTURING_RELEASE
P05,Load_Bridge_Left,machined_part,1,Al7075-T6,in_house_CNC,MANUFACTURING_RELEASE
P06,Load_Bridge_Right,machined_part,1,Al7075-T6,in_house_CNC,MANUFACTURING_RELEASE
P07,Harness_Passage,machined_part,1,Al6061-T6,in_house_CNC,MANUFACTURING_RELEASE
P08,Maintenance_Access_Cover,machined_part,1,Al6061-T6,in_house_CNC,MANUFACTURING_RELEASE
P09,G07_Contact_Pad_Assembly,disc_spring_pair_plus_PTFE,1,GB1972_D50_25.4_t1.5 + PTFE_3mm,standard_part_plus_plate,COMPETITION_GRADE_PENDING_CALIBRATION
P10,G08_Contact_Pad_Silicone,VMQ_Shore60A_2mm_30x30,1,silicone_rubber,standard_sheet,COMPETITION_GRADE_PENDING_CALIBRATION
P11,HDRM_Competition_Demonstrator,electromagnet_hold_plus_spring,1,electromechanical,procured,COMPETITION_DEMONSTRATOR
F01,Screw_M5x16,machine_screw,16,steel_A2-70,standard,MANUFACTURING_RELEASE
F02,Dowel_Pin_5h7x16,locating_pin,4,steel,standard,MANUFACTURING_RELEASE
F03,Loctite_Medium_Strength,threadlocker,1,adhesive,standard,MANUFACTURING_RELEASE
F04,Cable_Harness_4core,harness,1,shielded,procured,MANUFACTURING_RELEASE
F05,HDRM_Release_Driver,relay_driver_board,1,electronics,procured,COMPETITION_DEMONSTRATOR
F06,HDRM_Position_Switch,micro_switch,2,electromechanical,standard,COMPETITION_DEMONSTRATOR
