path,sha256,role,status
SOURCE_HASH_MANIFEST.json,51706ea6aeac3240df053ca39885e89041e2b24c62ab33bd89e89c2c86221468,SOURCE_MANIFEST_FILE,VERIFIED_FILE
SOURCE_HASH_MANIFEST.csv,c5cf558602cc86bce159317610c01ea784812e82353d87eb6ae9ed1a00cba6a5,SOURCE_MANIFEST_TABLE_FILE,VERIFIED_FILE
SOURCE_SNAPSHOT_MANIFEST.csv,444a00aeb7423fae1a86099af4cdffd3be8c003b6329095f35740999c60f4c22,IMMUTABLE_SOURCE_SNAPSHOT_MANIFEST_FILE,VERIFIED_FILE
ENVIRONMENT.json,560032b3dc6d2c487831c6c8f68ddc41bc5e795d8999510c6b1dcadcfb3b9d53,RUNTIME_ENVIRONMENT_FILE,VERIFIED_FILE
INVOCATION.json,b5ec0c6d5ba17908fbf6c85eb622d20c0a4beadc3321b710ed6bf00542c00a24,RUN_INVOCATION_PAYLOAD_FILE,VERIFIED_FILE
GIT_RUNTIME_RECORD.json,3b7377c63cb9a23ce299eb062a4fcaa0e80da64c626184a2fa184550aeb574b1,RUNTIME_GIT_CONTEXT_FILE,VERIFIED_FILE
RESOLVED_RUN_CONFIG.yaml,ba70813e1fe4e5fa6e660f3fe4d8a737c52a0f101c0266f2d49300347593e0fa,RESOLVED_RUN_CONFIG_FILE,VERIFIED_FILE
AUTHORITY_SNAPSHOT.json,136a02b1cb0370dd15acb5be807600bf56a707956b9024c8780fc106c9ad3c15,RUN_AUTHORITY_SNAPSHOT_FILE,VERIFIED_FILE
20_engineering/cad/spacecraft_layout/arm_b601_v1/arm_b601_v1.urdf,1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164,BOUND_AUTHORITY_INPUT,VERIFIED
20_engineering/cad/spacecraft_layout/servicer_12U_v0/servicer_12U_v0.urdf,2ecb4b1c778ca309632714d13cabf09033e424ee646ca85fdebc776e1d74e8da,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/FRAME_GRAPH.yaml,ef696dde3be403c59dce2c64fb828615c853567a1263195f6e73a00b021944ff,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/UNIT_CONTRACT.yaml,40d02a65c49b60f788352b73ce95ea98422fe9474004cee72daa35094b4041d5,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/REFERENCE_POINT_CONTRACT.yaml,76afbe0b20f374be20c8f8b2ef04648dcdc764a20cbd1169e815d82ff9eaa036,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/02_frames_units/INERTIA_CONVENTION.yaml,ae761f205bf24d532176d8778efd7eb2a999c4ccd8ab872b585f946dfca387fb,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/08_control_safe/SAFE_PREBIND_CONFIG.yaml,87b4d6bfc7b3ce67d82a2e99aac8893a6d6c6c5d093a069f16d7b368952da340,BOUND_AUTHORITY_INPUT,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/00_authority/CURRENT_V2_STATUS_SNAPSHOT.json,ead7289f8fe51366fa74cab145de45a4b04a7db2e3b37abe861203cc6cb1dbd3,BOUND_AUTHORITY_INPUT,VERIFIED
20_engineering/F3R2_V5_NATIVE_MECHANICAL_RELEASE_20260810T000300_V5NATIVE/00_authority/V5_MEMORY_GATE_USER_OVERRIDE.json,2a752d124523398eb9efa2c1e5f3b4e32682d72c20001520c9d073cf2fc85999,OWNER_LOW_MEMORY_OPERATIONAL_OVERRIDE_SOURCE,VERIFIED_OPERATIONAL_AUTHORITY_NO_SCIENTIFIC_CREDIT
30_simulation/current_r2_digital_host_capture_data_v1/configs/gates/r5_momentum_gate_v1.yaml,d1da7b8715b5dbeb5cf2ab81fc6db68f02d04643a99c1a820f8b2aca9d745922,R5_CONFIG_GATE,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/s03_pd_v1.yaml,9aa8b73d3b26a1027fd2c128ca61d3fdddf6e44ba1f0fb60a22e8e5a50c5741b,R5_CONFIG_CONTROLLER_S03,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/controllers/c0_no_control_v1.yaml,1c533df0733887bd008728232f0d1c133ba17157bc3b8d26f6b41e07c067db8c,R5_CONFIG_CONTROLLER_C0,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/scenarios/r5_s02_s03_v1.yaml,0f2e785388fc22914d7aefcfca019794472d3230e0333010a257bad15e06f845,R5_CONFIG_SCENARIOS,VERIFIED
30_simulation/current_r2_digital_host_capture_data_v1/configs/plant/r5_plant_binding_v1.yaml,ebd509c5e5cdb516e1fc768227a1e99f4233efac7178e62d61bc0b11118efaad,R5_CONFIG_PLANT_BINDING,VERIFIED
identity:source_tree_canonical,17b3392c7e63c387055eab8db2ae30ac807c6ff6f6acbf81a6ccdbfee56b7737,SOURCE_TREE_CANONICAL_AGGREGATE,VERIFIED_CANONICAL_IDENTITY
identity:experiment_config_canonical,80972ce4151da2d55b3d1049940821c348bf10edcb22aa32f82beae76111eb04,EXPERIMENT_CONFIG_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:invocation_canonical,d24c21274c3e4f987df067991ac4787aa2e88695d2b74e7c49c85f3060584080,INVOCATION_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
plant/ARM_ONLY_ACCEPTED.yaml,27e3adf37434250949b4c6e7ec9b379a3dc05f49dde08331e5d5ad25ed9b7d0a,GENERATED_PLANT_ARTIFACT_ARM_ONLY_ACCEPTED,VERIFIED_FILE
plant/SERVICER_ARM_TSM_PREBIND.yaml,374bf44b6bbec2d55b09f42f2426f182f89529346ae82fed1b2db7346545b668,GENERATED_PLANT_ARTIFACT_SERVICER_ARM_TSM_PREBIND,VERIFIED_FILE
identity:R5-S03-D02:seed_schedule,b2484f6bcad74d7eb05096559f930992df5b2ffed488f4d98e98cdffa753427d,SEED_SCHEDULE_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S03-D02:initial_state,a16d860b625eb84d6ecda355d4715eca98209bf39d2895c7fe73bb999a14300c,INITIAL_STATE_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S03-D02:solver,11637e84e6c28a2967ea8c560178a28cd0213cf0462f76ea33e3e54e360be9a5,SOLVER_EXECUTION_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S03-D02:preintegration_scales,a134527a4e4c363de8d693be6d3f985d983522c5c9d40e8dd2da89b0a382e88d,PREINTEGRATION_SCALE_CONTRACT_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
identity:R5-S03-D02:resolved_episode_config,213b0fc6c20012b142352c85cb471520024157fc11f07736ece62118d4d68be1,RESOLVED_EPISODE_CONFIG_CANONICAL_HASH,VERIFIED_CANONICAL_IDENTITY
