"domain","item","current_status","verdict","authority_path","json_key_or_row_locator","sha256","last_verified","what_it_proves","what_it_does_not_prove","open_blocker","blocker_owner","internally_closable","external_input_required","competition_relevance","claim_ceiling","next_minimum_action"
"memory","唯一科学主问题表述A：面向抓取后可稳定性的预见式具身抓取","LIMITED","FORMULATION_COEXISTS_NOT_CONVERGED","AGENTS.md","L4（定位段）","3d2269562678641108bcf68b8cda2a4e8359039b44c6d76cc0b668cde71abe84","2026-08-27","AGENTS.md 现行主线表述","与 0720 总览""物理约束空间具身任务智能""表述已收敛为唯一版本","三版本主问题表述并存未收敛","Owner","yes","no","高：比赛叙事 spine 用词","主线叙事级表述","Owner 选定唯一主问题表述并冻结"
"memory","唯一科学主问题表述B：物理约束空间具身任务智能（捕获任务智能→装配闭环）","VERIFIED","FORMULATION_CURRENT_AS_OF_0720","01_project/competition/项目现状总览_20260720.md","L3-4","184cacb060fc23319a835f5a27c19ef97c9a145941b6c5b5f9dbb7372fc5e5fc","2026-08-27","07-20 起主线已升级为物理约束具身任务智能","装配闭环已获授权或已实现（实际 PLANNED_NOT_AUTHORIZED）","与表述A/B战略裁决标题并存","Owner","yes","no","高","主线叙事级表述","同上行，统一收敛"
"memory","项目总标题（20260717 战略裁决 §2.3）：面向非合作航天器在轨服务的动力学约束具身任务决策与刚柔耦合捕获方法","SUPERSEDED","TITLE_SUPERSEDED_BY_CLAIM_CONTRACTION","01_project/competition/研究战略裁决_第二收敛点_20260717.md","§2.3（L75-77）","ced773571d74141323546090b1594b5bd7135090a583a8fa725f65005a2201d0","2026-08-27","战略层曾定该总标题（含""具身任务决策""）","可作 2026-09-01 提交标题：与 08-23 查新红线（具身/一体化措辞禁用）存在冲突风险；该文自身声明日历已过期（文首 ⚠ 注）","标题未按查新护栏收缩","Owner","yes","no","高","战略 lineage 级，禁作提交标题","以收缩后候选标题替代并 Owner 签发"
"memory","Paper 1 冻结题目（EN）：Strategy Selection under Momentum and Stability Constraints…Binding-Gate Criterion","PROVISIONAL","FROZEN_SKELETON_AT_OLD_HEAD","10_research/contribution_map/paper1_contribution_map.md","L5 + L90 last_verified_head=b75352c…","3453adfe30e7e27b067154b54053c00dca2844048f8641fa15731f24d735ca66","2026-08-27","论文贡献骨架方向=binding-gate 策略选择+可行域，C1-C4 证据绑定","已按 08-23 查新红线复检或对齐当前 HEAD（5c5adde 之后另有 08-25/27 收口）","claim-evidence 矩阵未在当前状态重冻结","PI","yes","no","高（叙事 claim 边界来源）","冻结骨架级","按 08-23 护栏复检后重发冻结"
"memory","默认候选标题核验：面向翻滚非合作目标的自由漂浮空间服务航天器：基于 Binding-Gate 的物理约束抓捕策略选择与失效闭合安全验证","UNKNOWN","TITLE_NOT_IN_REPO__CONSISTENT_WITH_FROZEN_SPINE","（全仓 grep 零命中；对照 10_research/contribution_map/paper1_contribution_map.md L5 与 01_project/competition/文献查新裁决_claim边界_20260823.md §2/§3）","grep pattern=面向翻滚非合作目标的自由漂浮空间服务航天器 → 0 hits","3be39f02c15ab7783d48e3cdcf58a5d2dd17a461725cf18a2c7048f8d7db3088","2026-08-27","该候选标题未出现在任何现行文档；其措辞与 Paper 1 冻结 EN 题、查新绿线（feasibility/binding-gate/fail-closed）一致且避开了红线词","已获 Owner 冻结为比赛标题","标题未冻结","Owner","yes","no","高：决定 09-01 材料首页措辞","候选级","Owner 签发标题冻结"
"memory","claim锚点1：Binding-gate 策略选择","VERIFIED","MACHINE_PROVEN_WITHIN_16_CELLS","30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json","gates.GS2_differentiation.best_per_case（A_low→S1_passive；B_anchor→ABORT；C_transition→S3a_wheel_bias；D_extreme→ABORT）+ gates.GS3_claim_audit.allowed[0]","a416c13481119bbdc61764d518a1abebc159a78bbd78fac132803069713dacd8","2026-08-27","最优策略是绑定 Gate 的函数（16 例机器分化 + 允许措辞审计 PASS）","16 例之外工况、FLEX（flex_status=UNKNOWN_NOT_IN_CRITERIA）、无条件策略排序","FLEX 未入判据","PI","yes","no","核心绿线 claim","Strategy selection depends on the active physical constraint under the frozen cases","引用时带冻结工况限定"
"memory","claim锚点2：多门失效闭合可行域","VERIFIED","MACHINE_PROVEN_WITHIN_FROZEN_BUDGET","10_research/framework_convergence/claim_evidence_matrix.csv","C13 行（sim_10：9002 物理点、SIM10_GATES_PASS、6323 wheels-only/1858 rate/730 thruster/91 resource）","7d296e7a243700895916fbccb00ffa7d7c26f22a3a64f073eb20dd154ad5a0f1","2026-08-27","冻结执行机构档与任务时限下四门 fail-closed 可行域成立（查新裁决 §3 绿线第1/2条锚定 sim_10/sim_08）","真实硬件可行域、柔性结论、飞行认证（C13 limitation：执行机构档与 3600s 为 PROVISIONAL）","执行机构实测参数","硬件组","no","yes（执行器/夹爪实测）","核心绿线 claim","冻结预算下可行域+infeasibility 判据","矩阵重冻结时回绑 sim_10 gate 哈希"
"memory","claim锚点3：局部冲量改善可恶化全局角动量/资源（sim_12 反例）","VERIFIED","MACHINE_PROVEN_J_H_TRADEOFF","30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json","gates.GS3_claim_audit.allowed[1]（B_anchor S2 impulse 0.194 vs S1 0.338 N·s while H increases）+ forbidden[0]（momentum shaping always improves capture 禁写）","a416c13481119bbdc61764d518a1abebc159a78bbd78fac132803069713dacd8","2026-08-27","J−43%/H+24% 权衡与""|ΔH_vec|≠|H| 标量变化不得混用""的机器审计","动量整形总有利（已列入 forbidden）","无","—","yes","no","核心绿线 claim（差异层叙事）","单指标改善不构成任务可行","引用 GS3 原文措辞"
"memory","claim锚点4：候选—物理评价—SAFE—传统控制分层","LIMITED","ARCHITECTURE_FROZEN__L4_PLANNING_ONLY","10_research/on_orbit_assembly/dual_mission_literature_synthesis.md","§2 合法执行链（L4候选→L0/L3物理求值→L1安全授权→L2实时控制）+ §5.4（EXECUTE/MODIFY/ABORT 均为离线解释标签，execution_authority=false）","88118670c35d2f9939f02cde283978ccf6bc96ca77a2810330d170cc01bb662f","2026-08-27","分层执行链冻结；SAFE-00 47/47 fail-closed（framework C17：unknown_allow=0、bypass_success=0）","L4 具身层已实现（实际 PLANNING LAYER ONLY）；SAFE PASS=执行授权（next_stage_authorized=false）","SAFE-00 LOOP-6 独立复审未做","PI","yes","no","核心叙事架构","架构层 claim；实现层仅限离线 DT2","矩阵重冻结时保留 next_stage_authorized=false"
"memory","claim锚点5：负结果与 UNKNOWN 的机器可审计治理","VERIFIED","GOVERNANCE_CHAIN_VERIFIED","10_research/contribution_map/paper1_contribution_map.md","C4 段（L48-59：覆盖/科学/认证/授权分离；e15 REPEAT；SAFE next_stage_authorized=false）+ framework 矩阵 C10/C11/C18/C20 行","3453adfe30e7e27b067154b54053c00dca2844048f8641fa15731f24d735ca66","2026-08-27","fail-closed 证据链与负结果保留链完整可引","该治理本身的学术新颖性已通过系统检索（C4 remaining_gap 自声明需验证）","学术新颖性定位与独立审查","PI","yes","no","方法学叙事 claim","证据治理贡献候选级","查新红线并入后重冻结"
