role,path,bytes,sha256
CONTRACT,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/contracts/CTRL_R2_TASK_SPACE_METRIC_CANDIDATE_CONTRACT_V1.json,6638,51FC398BDDB6FBA07B1A0F300BA947BABF032D12135B2AB7C836D22F7A3394EB
SOURCE_PACKAGE_INIT,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/src/__init__.py,47,9C102C4E64C5A5CA639051B716CF5D519025B98D3718736FE570405BA3418228
IMPLEMENTATION,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/src/task_space_metric.py,45166,5CFD2135467D266869D76AC5B827F956544424C3C70FCA496034EA0E7CCEBF41
BUILDER,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/build_task_space_metric_candidate.py,5813,CC4F8D821558110944DD0885F0E2CB3DFB274E124C949C7B15103B4CB15BC177
STANDALONE_INTERNAL_VALIDATOR,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/standalone_validate_task_space_metric.py,16016,1A2D9F6B7494A0EF9CC749DD060C382209919CAE858D868F399BD6213797EC14
TEST_SUITE,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/tests/test_task_space_metric.py,6209,86B7EC935FBBCEC5FD03478D433E9F595C450E0123D0C9FA8C3029CC571A4A4D
DOCUMENTATION,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/README.md,1658,6F64252FDB98FACA403A91B12DC3085F8C899ED7525541E16C27F857D8F53CA6
EVIDENCE,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/results/CTRL_R2_TASK_SPACE_METRIC_CANDIDATE_EVIDENCE_V1.json,39515,CD1015D6BF380229ECA3D1AD4EA18BCE0E7B174E4A040653FCE2CE164409CA88
NEGATIVE_CONTROL_EVIDENCE,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/results/CTRL_R2_TASK_SPACE_METRIC_NEGATIVE_CONTROL_RESULTS_V1.json,6013,EF95C0FDB896AB54C5AF30715E7D3F6DF768D67605870931518A4B915F51F0AF
MANIFEST,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/results/CTRL_R2_TASK_SPACE_METRIC_CANDIDATE_MANIFEST_V1.json,12334,384512E70B60FC14801BBB5125B133056063AB5D739316BE7DBD8FE402108AE8
MACHINE_GATE,30_simulation/r2_control_engineering_closure/task_space_metric_candidate_v1/results/CTRL_R2_TASK_SPACE_METRIC_CANDIDATE_GATE_V1.json,3040,88DF248197257786369286061B6CDF9DE89942A82DAB98E4C5E7485382B7742A
