subtree,files,bytes,role_hint,proposed_action,note
external/spacecraft_layout_refs,2406,2249669207,external_reference,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/chrono,7377,1882646137,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/basilisk,3941,475511766,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/reBot-DevArm,180,252587611,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/EXUDYN,2411,203863721,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/astrobee,2748,74588148,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
external/step_parts,3,19588616,external_reference,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/SPART,162,13896366,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/SpaceDyn,242,6917848,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/space_robotics_bench,576,5536381,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/openpi,169,2157299,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
vendor/openvla,135,923308,vendor_clone,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
README.md,1,486,third_party_misc,MOVE_TO_ROOT_B_CANDIDATE_REGISTER_ONLY,no move this cycle
