consumer,consumed_asset,reference_type,consumer_class,dependency_class
PROJECT_START_HERE.md,PROJECT_CURRENT_STATUS.md,nav->status,current_candidate,soft
PROJECT_START_HERE.md,MECHANICAL_START_HERE.md,nav->mech,historical_stale,soft
PROJECT_START_HERE.md,01_project/PL1_MAINLINE_20260808/PL1_INDEX.md,nav->pl1,historical,soft
01_project/competition/CURRENT_R2_AUTHORITY_DELTA_V8.json,CURRENT_R2_SEVENTH_CONVERGENCE_RECEIPT.json,pin-sha,current,hard
01_project/competition/CURRENT_R2_AUTHORITY_DELTA_V8.json,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,pin-sha,current,hard
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,22_RELEASE_SHA256.csv,pin-sha,current,hard
20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/00_RELEASE_GATE.json,15_UNIFIED_R2_SYSTEM_INTERFACE.yaml,pin-sha,current,hard
10_research/competition_convergence/competition_gate_check.json,mission_demo_contract.yaml,check,current,hard
10_research/competition_convergence/competition_gate_check.json,three_scenario_manifest.yaml,check,current,hard
10_research/competition_convergence/competition_gate_check.json,40_evidence/artifacts/competition_convergence/competition_mission_intelligence_demo.mp4,media,current,hard
10_research/paper1_architecture.md,30_simulation/sim_10_mission_feasibility/results/sim_10_gate_check.json,evidence,current,hard
10_research/paper1_architecture.md,30_simulation/sim_12_strategy_feasibility/results/sim_12_gate_check.json,evidence,current,hard
10_research/paper1_architecture.md,10_research/sim_12/momentum_ledger.md,evidence,current,hard
AGENTS.md,PROJECT_MAP.md,nav,current,soft
AGENTS.md,01_project/competition/文献查新裁决_claim边界_20260823.md,rule,current,hard
30_simulation/sim_13_physics_gated_embodied_grasping/,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/15_UNIFIED_R2_SYSTEM_INTERFACE.yaml,backend-intake,current,hard
20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/07_evidence/PRE_EXECUTION_HASHES_SRC.csv,__pycache__/*.pyc (root-level),hash-snapshot,historical_evidence,hard
