asset,location,reason,classification
PROJECT_CURRENT_STATUS.md,root,08-08 status board; superseded by PL2 current-state index; ARCHIVE_CANDIDATE,historical_only
MECHANICAL_START_HERE.md,root,superseded by R2 Authority chain (V8) + PL2 state; ARCHIVE_CANDIDATE,historical_only
PROJECT_MODEL_TRUTH_HIERARCHY.yaml,root,08-08 truth snapshot; superseded by machine gates; ARCHIVE_CANDIDATE,historical_only
PROJECT_START_HERE.md,root,primary nav entry (08-08); stale pointers to PL1; KEEP_AS_ENTRY but re-point after PL2,current_candidate_stale
CURRENT_R2_AUTHORITY_DELTA_V2..V7.json,01_project/competition/,"append-only history consumed by V8; keep as lineage, not CURRENT",historical_evidence
CURRENT_R2_CONFLICT_LEDGER*_V2..V7.csv,01_project/competition/,append-only history,historical_evidence
CURRENT_R2_GAP_AND_CRITICAL_PATH_V2..V7.md,01_project/competition/,append-only history,historical_evidence
F3R2_V5_G0_SMOKE_ATTACH_ONLY.py,root,V5R execution residue at repo root; violates REORG04; ARCHIVE_CANDIDATE,structural_pollution
F3R2_V5_G0_SESSION_B_VERIFY_ATTACH_ONLY.py,root,V5R execution residue; ARCHIVE_CANDIDATE,structural_pollution
F3R2_V5_NATIVE_LOOP1*_ATTACH_ONLY.py (x7),root,V5R loop scripts at root; ARCHIVE_CANDIDATE,structural_pollution
F3R2_V5_G0_TOOLING_HOLD_20260809.md,root,V5R status note at root; ARCHIVE_CANDIDATE,structural_pollution
F3R2_V5_G0_ADMIN_MEMORY_RELEASE.ps1,root,admin script at root; ARCHIVE_CANDIDATE,structural_pollution
当前项目机械设计专业总结.md,root,ad-hoc summary at root; ARCHIVE_CANDIDATE,structural_pollution
项目专业现状与研究启动指南_20260808.md,root,ad-hoc guide at root; ARCHIVE_CANDIDATE,structural_pollution
机械设计最终轮执行摘要_20260809.md,root,ad-hoc summary at root; ARCHIVE_CANDIDATE,structural_pollution
B51R1_PHASE1_START_PACKAGE/ + .zip,root,handover package; ARCHIVE_CANDIDATE (keep zip as record),structural_pollution
structure/,root,non-REORG04 root dir (MASS_BUDGET.md etc); MOVE_TO 20_engineering OR ARCHIVE,structural_pollution
knowledge/,root,non-REORG04 root dir; ARCHIVE_CANDIDATE,structural_pollution
90_competition_closeout/,root,closeout staging dir (55 files); KEEP until submission then ARCHIVE,current_candidate
PROJECT_ONBOARDING_PACKAGE/,root,onboarding docs (13 files); ARCHIVE or 01_project,structural_pollution
sim_14/sim_15 diagnostic HOLD packages,30_simulation/,diagnostic; ARCHIVE after bindings,historical_evidence
e16-e20 mission branch diagnostics,30_simulation/,diagnostic; ARCHIVE,historical_evidence
Route-B CLOSED_NEGATIVE sets,20_engineering/,negative result; ARCHIVE never delete,negative_result
