tag,ei_case,excitation_scale,t_end_PHYSICAL_s,n_el,rtol,init_wall_s,integration_wall_s,nfev,n_eval,converged,peak_mem_MB
normal_flexible_low,flexible_low,1.0,15.0,8,1e-06,0.031,92.32,350071,799,False,1.4
normal_nominal,nominal,1.0,15.0,8,1e-06,0.017,112.57,418078,800,True,1.2
normal_flexible_high,flexible_high,1.0,15.0,8,1e-06,0.015,113.99,433998,800,True,1.2
normal_nom_short,nominal,1.0,8.0,8,1e-06,0.015,89.06,339189,800,True,1.2
normal_nom_pt3dof,nominal,0.01,15.0,8,1e-06,0.016,6.05,25089,800,True,1.1
high_x3_flexible_low,flexible_low,3.0,15.0,8,1e-06,0.015,66.86,253418,800,True,1.2
high_x3_nominal,nominal,3.0,15.0,8,1e-06,0.015,111.13,417723,800,True,1.2
high_x10_flexible_low,flexible_low,10.0,15.0,8,1e-06,0.015,64.43,241933,800,True,1.1
high_x10_nominal,nominal,10.0,15.0,8,1e-06,0.016,89.25,291565,800,True,1.2
high_x10_high,flexible_high,10.0,15.0,8,1e-06,0.024,162.91,400959,800,True,1.2
bound_t30,nominal,1.0,30.0,8,1e-06,0.026,197.7,520576,800,True,1.2
bound_nel16,nominal,1.0,15.0,16,1e-06,0.046,191.2,384749,800,True,2.8
bound_rtol1e7,nominal,1.0,15.0,8,1e-07,0.03,182.44,646785,799,False,1.2
bound_nel16_t30,nominal,1.0,30.0,16,1e-06,0.031,192.66,547649,799,False,2.8
bound_x10_t30,nominal,10.0,30.0,8,1e-06,0.016,118.6,443385,800,True,1.2
