part_key,status,reason,source_invalid_solid_indices,roundtrip_invalid_solid_indices,unmatched_source_indices,volume_difference_mm3,symmetric_difference_mm3
B601_base_link_LINKLOCAL,FAIL,Invalid OCC solid(s) in source and/or actual native roundtrip; see zero-based indices,"[58, 59]",[59],,,
B601_link1_LINKLOCAL,FAIL,Incomplete one-to-one body material matching,,,"[2, 25, 26]",0.002325166016817093,
B601_link2_LINKLOCAL,FAIL,Invalid OCC solid(s) in source and/or actual native roundtrip; see zero-based indices,"[3, 4, 61, 62]","[1, 3]",,,
B601_link3_LINKLOCAL,INCOMPLETE,Per-part actual validator exceeded its fixed execution limit,,,,,
B601_link4_LINKLOCAL,INCOMPLETE,Per-part actual validator exceeded its fixed execution limit,,,,,
B601_link5_LINKLOCAL,INCOMPLETE,Per-part actual validator exceeded its fixed execution limit,,,,,
B601_link6_LINKLOCAL,INCOMPLETE,Per-part actual validator exceeded its fixed execution limit,,,,,
B601_gripper_link_LINKLOCAL,FAIL,Incomplete one-to-one body material matching,,,"[2, 10]",0.006225599761819467,
B601_gripper_left_LINKLOCAL,INCOMPLETE,Per-part actual validator exceeded its fixed execution limit,,,,,
B601_gripper_right_LINKLOCAL,INCOMPLETE,Per-part actual validator exceeded its fixed execution limit,,,,,
