file,sha256,bytes
coupled_closure/CAD_BRIEF_V30.md,a094daed58b195f64ca22418751d0d6b14fbcebab3a4d17a3e201d26a55b8efb,2478
coupled_closure/CANDIDATE_FIELD_CORRECTION_V30.json,fd706b9b07ac6db3e1e0394d3ea32c6ca840a51fa4c24c84f02e676ceef6d353,2152
coupled_closure/CANDIDATE_V29.json,a13a323ed6c3b7ceb6abede32d9baf8fdf3f5e26080728c1729af78ca9c3cf71,25492
coupled_closure/CANDIDATE_V30.json,4393045b5f71b63029490aaeeefdd52176f988f9cd7822bca18c7d8fa229abd2,35954
coupled_closure/DELIVERY_STATUS_V30.json,6a27f40761aca12302ab35cbef45553c5f956ec5a273a0476c2083025afbc3b2,1620
coupled_closure/LUG_ADDED_PARTS_BOM_V30.csv,32d03e1f8ec4dd8e2f41b86b3bf7dc9a7f80c287b7d42667ef4959817b42238a,1249
coupled_closure/LUG_BROWSER_FRONT_V30.jpg,6a48c48d2131cbbf6c689503fc0fb3734e9c99c1e119a1297c3de06b2be1e374,25784
coupled_closure/LUG_BROWSER_ISO_V30.jpg,39de4c45a6a385f725ba2b269c826ceb9d7dc35a9a99745356d1c0a9defbd807,40449
coupled_closure/LUG_BROWSER_TOP_V30.jpg,7ac04420f6bc592014a8ba4df2953418c99df0dc8c96bc5e3318ae57af4a0e7a,28101
coupled_closure/LUG_CAD_generate_COMMANDS_V30.json,11bbf7485a19b18ac802adca895366402a0a6ccd32556d571448825efe6b3c7a,5835
coupled_closure/LUG_CLAMP_CHECK_V30.json,aac0cdf16b101a07485d542c28a6bcde96f0d438fa8fb956e6753d53ac3a9b09,2059
coupled_closure/LUG_DOCUMENT_COMPILE_V30.json,1773f8f2e01ee83261942a89172fdbde1b1a738429c04574ab4ecfaf5f82e9ef,353
coupled_closure/LUG_ELECTROMECHANICAL_CHECK_V30.json,baabd3f76926cc33e41f561719a30797621cd85d60bb3e35f80f37688f8130bd,5272
coupled_closure/LUG_GENERATE_V30.json,3ab2def25fc2b618a312f92ee6d1948dbeb49d450135dbb549acfded908eee64,233
coupled_closure/LUG_GEOMETRY_CHECK_V30.json,c94e7836685df05c3cdccfe54d9d0e97b49383574ea0e5b09c05033c58b2284e,17941
coupled_closure/LUG_GEOMETRY_FIRST_FAILED_V30.json,af80283db8f80d10282426cea90e71544415df2ea8afca5d3d49cec858a44386,14983
coupled_closure/LUG_HARDWARE_INSPECTION_V30.json,1614846e7df1e19a87f27a0b72bd2b9874d72c19fa088bf1bd2168b8ae2931b1,4792
coupled_closure/LUG_NET_BINDING_V30.csv,77fafeadfa88b8c541698e5d25751033a78d4e8bfe7bc7f9867f388534e89874,436
coupled_closure/LUG_OEM_INSPECTION_V30.json,fea354c056d33446e80dbb7e6754b0b6325eea4e69c8062629d4f1630576ff4f,7456
coupled_closure/LUG_PARTIAL_ASSEMBLY_BOM_V30.csv,9614438fba9b2abb090a0c5669dd4c4a0bafe5b9b0898f13160f9262e87a2714,7121
coupled_closure/LUG_PROJECT_SELF_INTERSECTION_V30.json,c3559e0bfabbbeb93bbb20cecb179b0066495eec301cd6fbdb92c154f349ffed,180
coupled_closure/LUG_REFS_V30.json,f792a4352c229d0fdeee4af533a83d936bb4f80ad2b03ea595cd327474a30c4e,4135
