net,ref,pin,pinfunction,pintype
/Actual watchdog and contactor driver/ARMED,U107,12,2D_12,input
/Actual watchdog and contactor driver/ARMED,U107,5,1Q_5,output
/Actual watchdog and contactor driver/AUX_CLOSED_3V3,U113,4,Y_4,output
/Actual watchdog and contactor driver/AUX_CLOSED_3V3,U118,2,A_2,input
/Actual watchdog and contactor driver/AUX_DIV,R115,2,,passive
/Actual watchdog and contactor driver/AUX_DIV,R116,1,1k_1%_1,passive
/Actual watchdog and contactor driver/AUX_DIV,R130,1,3.9k_1%_100ppm/C_1,passive
/Actual watchdog and contactor driver/AUX_SENSE,R116,2,,passive
/Actual watchdog and contactor driver/AUX_SENSE,U113,2,A_2,input
/Actual watchdog and contactor driver/AUX_STATUS_MCU,J102,6,AUX_CLOSED_6,passive
/Actual watchdog and contactor driver/AUX_STATUS_MCU,R122,2,,passive
/Actual watchdog and contactor driver/AUX_STATUS_MCU,U118,4,Y_4,open_collector
/Actual watchdog and contactor driver/BUS_MONITOR_OK,J102,7,BUS_MONITOR_OK_3V3_7,passive
/Actual watchdog and contactor driver/BUS_MONITOR_OK,R117,1,10k_1%_1,passive
/Actual watchdog and contactor driver/BUS_MONITOR_OK,U114,2,B_2,input
/Actual watchdog and contactor driver/CWD,C101,1,120pF_1%_C0G_1,passive
/Actual watchdog and contactor driver/CWD,U101,2,CWD_2,input
/Actual watchdog and contactor driver/EN_STOP,J103,6,STOP_NC_RETURN_6,passive
/Actual watchdog and contactor driver/EN_STOP,R102,1,10k_1%_1,passive
/Actual watchdog and contactor driver/EN_STOP,U101,3,EN_3,input
/Actual watchdog and contactor driver/GATE_DRV,R113,1,22R_1%_1,passive
/Actual watchdog and contactor driver/GATE_DRV,U112,5,OUTPUT_5,output
/Actual watchdog and contactor driver/HB_SEEN,U107,2,1D_2,input
/Actual watchdog and contactor driver/HB_SEEN,U108,5,1Q_5,output
/Actual watchdog and contactor driver/HEARTBEAT_FILTER,R104,2,,passive
/Actual watchdog and contactor driver/HEARTBEAT_FILTER,R119,1,47k_1%_1,passive
/Actual watchdog and contactor driver/HEARTBEAT_FILTER,U115,2,A_2,input
/Actual watchdog and contactor driver/HEARTBEAT_IN,J102,1,HEARTBEAT_3V3_1,passive
/Actual watchdog and contactor driver/HEARTBEAT_IN,R104,1,1k_1%_1,passive
/Actual watchdog and contactor driver/HW_PERMIT_IN,J102,2,HW_PERMIT_3V3_2,passive
/Actual watchdog and contactor driver/HW_PERMIT_IN,R118,1,10k_1%_1,passive
/Actual watchdog and contactor driver/HW_PERMIT_IN,U114,1,A_1,input
/Actual watchdog and contactor driver/K1_GATE,Q101,1,G_1,input
/Actual watchdog and contactor driver/K1_GATE,R113,2,,passive
/Actual watchdog and contactor driver/K1_GATE,R114,1,10k_1%_1,passive
/Actual watchdog and contactor driver/MCU_VIO,J102,8,MCU_VIO_RECEIVER_RAIL_8,passive
/Actual watchdog and contactor driver/MCU_VIO,R120,1,10k_1%_1,passive
/Actual watchdog and contactor driver/MCU_VIO,R121,1,10k_1%_1,passive
/Actual watchdog and contactor driver/MCU_VIO,R122,1,10k_1%_1,passive
/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP,J103,5,STOP_NC_FEED_5,passive
/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP,U114,4,Y_4,output
/Actual watchdog and contactor driver/RESET_CONTACT,J103,2,RESET_NO_RETURN_2,passive
/Actual watchdog and contactor driver/RESET_CONTACT,R107,1,10k_1%_1,passive
