ref,pin,net,pin_type
U107,12,/Actual watchdog and contactor driver/ARMED,input
U107,5,/Actual watchdog and contactor driver/ARMED,output
U113,4,/Actual watchdog and contactor driver/AUX_CLOSED_3V3,output
U118,2,/Actual watchdog and contactor driver/AUX_CLOSED_3V3,input
R115,2,/Actual watchdog and contactor driver/AUX_DIV,passive
R116,1,/Actual watchdog and contactor driver/AUX_DIV,passive
R130,1,/Actual watchdog and contactor driver/AUX_DIV,passive
R116,2,/Actual watchdog and contactor driver/AUX_SENSE,passive
U113,2,/Actual watchdog and contactor driver/AUX_SENSE,input
J102,6,/Actual watchdog and contactor driver/AUX_STATUS_MCU,passive
R122,2,/Actual watchdog and contactor driver/AUX_STATUS_MCU,passive
U118,4,/Actual watchdog and contactor driver/AUX_STATUS_MCU,open_collector
J102,7,/Actual watchdog and contactor driver/BUS_MONITOR_OK,passive
R117,1,/Actual watchdog and contactor driver/BUS_MONITOR_OK,passive
U114,2,/Actual watchdog and contactor driver/BUS_MONITOR_OK,input
C101,1,/Actual watchdog and contactor driver/CWD,passive
U101,2,/Actual watchdog and contactor driver/CWD,input
J103,6,/Actual watchdog and contactor driver/EN_STOP,passive
R102,1,/Actual watchdog and contactor driver/EN_STOP,passive
U101,3,/Actual watchdog and contactor driver/EN_STOP,input
R113,1,/Actual watchdog and contactor driver/GATE_DRV,passive
U112,5,/Actual watchdog and contactor driver/GATE_DRV,output
U107,2,/Actual watchdog and contactor driver/HB_SEEN,input
U108,5,/Actual watchdog and contactor driver/HB_SEEN,output
R104,2,/Actual watchdog and contactor driver/HEARTBEAT_FILTER,passive
R119,1,/Actual watchdog and contactor driver/HEARTBEAT_FILTER,passive
U115,2,/Actual watchdog and contactor driver/HEARTBEAT_FILTER,input
J102,1,/Actual watchdog and contactor driver/HEARTBEAT_IN,passive
R104,1,/Actual watchdog and contactor driver/HEARTBEAT_IN,passive
J102,2,/Actual watchdog and contactor driver/HW_PERMIT_IN,passive
R118,1,/Actual watchdog and contactor driver/HW_PERMIT_IN,passive
U114,1,/Actual watchdog and contactor driver/HW_PERMIT_IN,input
Q101,1,/Actual watchdog and contactor driver/K1_GATE,input
R113,2,/Actual watchdog and contactor driver/K1_GATE,passive
R114,1,/Actual watchdog and contactor driver/K1_GATE,passive
J102,8,/Actual watchdog and contactor driver/MCU_VIO,passive
R120,1,/Actual watchdog and contactor driver/MCU_VIO,passive
R121,1,/Actual watchdog and contactor driver/MCU_VIO,passive
R122,1,/Actual watchdog and contactor driver/MCU_VIO,passive
J103,5,/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP,passive
U114,4,/Actual watchdog and contactor driver/PERMIT_BEFORE_STOP,output
J103,2,/Actual watchdog and contactor driver/RESET_CONTACT,passive
R107,1,/Actual watchdog and contactor driver/RESET_CONTACT,passive
U105,6,/Actual watchdog and contactor driver/RESET_EDGE,output
U107,3,/Actual watchdog and contactor driver/RESET_EDGE,input
U109,2,/Actual watchdog and contactor driver/RESET_EDGE,input
U109,4,/Actual watchdog and contactor driver/RESET_N,output
U111,2,/Actual watchdog and contactor driver/RESET_N,input
C102,1,/Actual watchdog and contactor driver/RESET_RC,passive
R107,2,/Actual watchdog and contactor driver/RESET_RC,passive
R109,1,/Actual watchdog and contactor driver/RESET_RC,passive
U105,1,/Actual watchdog and contactor driver/RESET_RC,input
U107,13,/Actual watchdog and contactor driver/RUN_CLEAR_N,input
U111,4,/Actual watchdog and contactor driver/RUN_CLEAR_N,output
R111,2,/Actual watchdog and contactor driver/RUN_DRIVE,passive
R112,1,/Actual watchdog and contactor driver/RUN_DRIVE,passive
U112,1,/Actual watchdog and contactor driver/RUN_DRIVE,input
R123,1,/Actual watchdog and contactor driver/RUN_LATCH,passive
U107,9,/Actual watchdog and contactor driver/RUN_LATCH,output
U116,2,/Actual watchdog and contactor driver/RUN_LATCH,input
U119,2,/Actual watchdog and contactor driver/RUN_LATCH,input
R111,1,/Actual watchdog and contactor driver/RUN_LEVEL_5V,passive
U119,4,/Actual watchdog and contactor driver/RUN_LEVEL_5V,output
J102,4,/Actual watchdog and contactor driver/RUN_STATUS_MCU,passive
R120,2,/Actual watchdog and contactor driver/RUN_STATUS_MCU,passive
U116,4,/Actual watchdog and contactor driver/RUN_STATUS_MCU,open_collector
U106,4,/Actual watchdog and contactor driver/SAFE_N,output
U107,1,/Actual watchdog and contactor driver/SAFE_N,input
U108,1,/Actual watchdog and contactor driver/SAFE_N,input
U111,1,/Actual watchdog and contactor driver/SAFE_N,input
U117,2,/Actual watchdog and contactor driver/SAFE_N,input
J102,5,/Actual watchdog and contactor driver/SAFE_STATUS_MCU,passive
R121,2,/Actual watchdog and contactor driver/SAFE_STATUS_MCU,passive
