job_name,case_id,mesh_level,series,element_type,material,load_variant,n_xy,kz,grid_pitch_mm,nodes_structural,elements_total,stage_a_layers,applied_Fy_N,applied_Mz_N_mm,peak_von_mises_ip_MPa,peak_von_mises_element_averaged_MPa,peak_von_mises_nodal_averaged_MPa,surface_nodal_collar_12_25_max_MPa,surface_nodal_far_field_max_MPa,surface_nodal_far_field_node_count,peak_mises_element,peak_mises_zone,peak_mises_centroid_x_mm,peak_mises_centroid_y_mm,peak_mises_centroid_z_mm,peak_at_point_constraint,peak_at_stepped_boundary,far_field_peak_element_averaged_MPa,spider_patch_max_MPa,spider_collar_12_25_max_MPa,spider_collar_12_25_vol_mean_MPa,model_volume_weighted_mean_mises_MPa,peak_disp_magnitude_mm,peak_disp_node,rp_U2_mm,rp_UR3_rad,sum_RF1_N,sum_RF2_N,sum_RF3_N,residual_force_norm_N,residual_moment_about_RP_norm_N_mm,reaction_force_rel_residual,reaction_moment_rel_residual,ALLIE,ALLSE,ALLAE,ALLWK,artificial_energy_fraction,utilization_pct_of_candidate_typical_yield_element_averaged,solve_status,dat_bytes,dat_nonzero,odb_bytes,analysis_warnings,numerical_problem_warnings,negative_eigenvalue_warnings,error_messages,total_cpu_time_s,deck_sha256,deck_sha_matches_sidecar,solved_deck_identical_to_decks_dir
fea1b_arm_estop_qs_l1_mm_coarse_c3d8i,ARM_ESTOP_QS,L1_MM_COARSE,MESH_MATCHED,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,10,1,16.0,966,468,2,0.6210164047207429,434.71148330452,0.02498181350529194,0.013153013133770815,0.026388342110671086,0.024225129796452194,0.011147449635601431,12,448,ESTAGEA,56.0,-8.0,28.75,False,True,0.0020756070429492047,0.011756805322966744,0.013153013133770815,0.0048162137858144,0.0017775201447324841,1.3204372457691816e-05,10004009,1.5517937299591722e-06,2.3166536777807778e-07,-1.209167521665222e-08,-0.6210163908501727,-1.9513663573889062e-08,2.6821342148049288e-08,7.015423372707557e-07,4.3189426147462627e-08,1.6138113765430894e-09,5.0835642468882725e-05,5.0835642468882725e-05,0.0,5.0835642468882725e-05,0.0,0.004765584468757541,COMPLETED_SUCCESSFULLY,32752,True,825632,8,8,0,0,0.0,38158A5C1DEBB8E8166E045CAED53789E5EA263321D359A84B49BBA6705CF0B8,True,True
fea1b_arm_estop_qs_l2_mm_medium_c3d8i,ARM_ESTOP_QS,L2_MM_MEDIUM,MESH_MATCHED,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,16,1,10.0,2362,1336,2,0.6210164047207429,434.71148330452,0.01742551475763321,0.012775527268312692,0.019108542549891094,0.010508789946122804,0.0028631585696268363,16,1258,ESTAGEA,45.0,-15.0,28.75,True,True,0.006375886108020967,0.012775527268312692,0.010737985916481108,0.003142542626310707,0.001572697514404349,8.072158687721577e-06,10006014,9.543666692479746e-07,1.2860434139838617e-07,1.0616636458848916e-08,-0.6210164043262125,-9.733071237860713e-09,1.440837602451223e-08,1.37703708955019e-06,2.3201280859869315e-08,3.1677035055123233e-09,2.8249231036170386e-05,2.8249231036170386e-05,0.0,2.8249231036170386e-05,0.0,0.004628814227649526,COMPLETED_SUCCESSFULLY,42766,True,1763560,0,0,0,0,0.1,50F9BC7A7E73720BBAC6054298FC3B7CC078829B2150BD0F6EA0EC38878B4E2F,True,True
fea1b_arm_estop_qs_l3_mm_fine_c3d8i,ARM_ESTOP_QS,L3_MM_FINE,MESH_MATCHED,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,20,1,8.0,3550,2056,2,0.6210164047207429,434.71148330452,0.02132224664092064,0.014254161136594634,0.021140630190548886,0.013713100569151516,0.0024798159527344996,36,1937,ESTAGEA,44.0,-12.0,28.75,True,True,0.005449838110360361,0.014254161136594634,0.010834023869931755,0.003104189158376495,0.0016269066243162062,8.151203996950824e-06,10008017,9.82729034149088e-07,1.402855502874445e-07,-2.5295445738038325e-09,-0.6210164186443308,-1.0555396556810592e-08,1.7654497741704056e-08,1.8537182881297138e-06,2.8428391919280917e-08,4.264249644473193e-09,3.079701491515152e-05,3.079701491515152e-05,0.0,3.079701491515152e-05,0.0,0.005164551136447332,COMPLETED_SUCCESSFULLY,51446,True,2549944,0,0,0,0,0.2,39BBAEF01BA1D9BECC5536F10785C6AD9AFCCDEB638A2516CE7CFDFC158133B9,True,True
fea1b_arm_estop_qs_t2_tt_medium_c3d8i,ARM_ESTOP_QS,T2_TT_MEDIUM,THROUGH_THICKNESS,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,16,2,10.0,3987,2672,4,0.6210164047207429,434.71148330452,0.02103279158473015,0.016828402820302096,0.02288016654591668,0.010650350101763744,0.0026667878907957855,16,2594,ESTAGEA,45.0,-15.0,29.75,True,True,0.007328317717767103,0.016828402820302096,0.013241938056406798,0.0032077005863688345,0.001601538228996038,8.374538310490616e-06,17006014,9.963030151993735e-07,1.3344475746634998e-07,-9.78739933543693e-09,-0.6210163849818855,9.16026010600035e-09,2.3860554140604112e-08,2.1300500466129478e-06,3.842177752346762e-08,4.89991667673712e-09,2.931434391939547e-05,2.931434391939547e-05,0.0,2.931434391939547e-05,0.0,0.00609724739866018,COMPLETED_SUCCESSFULLY,42766,True,3120176,0,0,0,0,0.2,73C9D36717AFACAD8AA838F9B9058A1B8C73D4112DD882DDF08DCB02F014600B,True,True
fea1b_arm_estop_qs_t3_tt_fine_c3d8i,ARM_ESTOP_QS,T3_TT_FINE,THROUGH_THICKNESS,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,20,3,8.0,8416,6168,6,0.6210164047207429,434.71148330452,0.028832150623202324,0.021617753853019606,0.02925899585715381,0.013909201764704941,0.0032378700058338875,36,6049,ESTAGEA,44.0,-12.0,30.08333396911621,True,True,0.005778218264202969,0.021617753853019606,0.014237275470799579,0.0032194271393227217,0.0016723036185048218,8.6212470384561e-06,24008017,1.0407037507320638e-06,1.4847802276563016e-07,-1.1292023316400446e-08,-0.6210163913548286,1.5602381608914584e-09,1.7566781173120095e-08,2.4765771598838543e-06,2.8287145137525765e-08,5.697059440569196e-09,3.259569712099619e-05,3.259569712099619e-05,0.0,3.259569712099619e-05,0.0,0.007832519511963626,COMPLETED_SUCCESSFULLY,51446,True,6703360,0,0,0,0,0.5,2D20A5BBB13B6ADAEFAF0B3BE1491675472BDCC59CE0C5CF8DDFD604ED2F742F,True,True
fea1b_arm_estop_qs_t4_tt_ultra_c3d8i,ARM_ESTOP_QS,T4_TT_ULTRA,THROUGH_THICKNESS,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,32,4,5.0,27089,21952,8,0.6210164047207429,434.71148330452,0.030620388686656952,0.021239929228389756,0.03211999906465699,0.01887747857600465,0.0054627820900959466,84,21614,ESTAGEA,47.5,-12.5,30.25,True,True,0.0060214984304522885,0.021239929228389756,0.01707612515664456,0.003070206671012874,0.0015074660665110374,6.967570348738626e-06,31012027,8.145104288814764e-07,1.1401284893963748e-07,9.74985714385923e-09,-0.6210164054998621,-8.480775193220325e-09,1.2945666802161595e-08,1.8791152516841802e-06,2.084593370441312e-08,4.322672217903753e-09,2.5034260033862665e-05,2.5034260033862665e-05,0.0,2.5034260033862665e-05,0.0,0.007695626532025274,COMPLETED_SUCCESSFULLY,90134,True,22659944,0,0,0,0,3.0,DADC2650AAA715F09385BA0D4DE18AD7C1CDC525EFB5C8039E0E6BD0ED5B1E74,True,True
fea1b_arm_estop_qs_z2_zr_n20k2_c3d8i,ARM_ESTOP_QS,Z2_ZR_N20K2,Z_REFINEMENT_FIXED_INPLANE,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,20,2,8.0,5983,4112,4,0.6210164047207429,434.71148330452,0.02639850042760372,0.019257551878230337,0.02683397037088393,0.013792556657912238,0.0029623366811670636,36,3993,ESTAGEA,44.0,-12.0,29.75,True,True,0.005727457904542076,0.019257551878230337,0.013194478599945285,0.0031974488002695168,0.0016615359566386958,8.51688748282781e-06,17008017,1.0275942941007088e-06,1.4666618142200605e-07,4.077430393323311e-09,-0.6210163949183425,8.314316346513806e-09,1.3484819221765989e-08,1.185071082732991e-06,2.1714111123730795e-08,2.7261094501679777e-09,3.219781137886457e-05,3.219781137886457e-05,0.0,3.219781137886457e-05,0.0,0.006977373868924035,COMPLETED_SUCCESSFULLY,51446,True,4626592,0,0,0,0,0.2,F0F2EEEDD5E5F6B226676F98A7913466A82B7AFFD8039F0210381EF17EBD0521,True,True
fea1b_arm_estop_qs_z4_zr_n20k4_c3d8i,ARM_ESTOP_QS,Z4_ZR_N20K4,Z_REFINEMENT_FIXED_INPLANE,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,20,4,8.0,10849,8224,8,0.6210164047207429,434.71148330452,0.030296247452497482,0.023017370609521078,0.030629721503179573,0.014004756754754636,0.003392617747596093,36,8105,ESTAGEA,44.0,-12.0,30.25,True,True,0.005955742807749141,0.023017370609521078,0.014844453864867184,0.0032285856818172263,0.0016773678478867312,8.669474024943495e-06,31008017,1.0468693290022202e-06,1.4931347891433688e-07,3.4186031783178805e-09,-0.6210164009925165,-3.3713263292156626e-09,6.07884536370358e-09,2.143241800096851e-06,9.78854232753658e-09,4.930262674003225e-09,3.277920404798351e-05,3.277920404798351e-05,0.0,3.277920404798351e-05,0.0,0.008339627032435173,COMPLETED_SUCCESSFULLY,51446,True,8780008,0,0,0,0,0.7,156A1149AD1D75B881BF4100E4FD63802E103FB1F6197FCECB8EEE215AF77DBD,True,True
fea1b_arm_estop_qs_z6_zr_n20k6_c3d8i,ARM_ESTOP_QS,Z6_ZR_N20K6,Z_REFINEMENT_FIXED_INPLANE,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,20,6,8.0,15715,12336,12,0.6210164047207429,434.71148330452,0.03198656067252159,0.024654646883282113,0.03210747018273076,0.014120682513017546,0.0035608809509871395,36,12217,ESTAGEA,44.0,-12.0,30.41666603088379,True,True,0.006083731285940123,0.024654646883282113,0.015527711461500513,0.003235773803410358,0.001681897154990525,8.716893297367196e-06,45008017,1.0530305871725432e-06,1.5013148413345334e-07,1.0014846729688998e-08,-0.6210164113374503,-7.921073574834736e-09,1.4381285702953576e-08,1.514523449120792e-06,2.315765830601611e-08,3.4839738706875897e-09,3.295891292509623e-05,3.295891292509623e-05,0.0,3.295891292509623e-05,0.0,0.008932843073652939,COMPLETED_SUCCESSFULLY,51447,True,12933424,0,0,0,0,1.5,D5D894A42B18CCDAD99D0A32D99EF7C3F1BFB166B91023EE1E6BDC5F91F6918B,True,True
fea1b_arm_maneuver_qs_l1_mm_coarse_c3d8i,ARM_MANEUVER_QS,L1_MM_COARSE,MESH_MATCHED,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,10,1,16.0,966,468,2,0.31050820236037147,217.35574165226,0.01249090675264597,0.006576506566885408,0.013194171055335543,0.012112564898226097,0.0055737248178007156,12,448,ESTAGEA,56.0,-8.0,28.75,False,True,0.0010378035214746023,0.005878402661483372,0.006576506566885408,0.0024081068929072,0.0008887600723662421,6.602186228845908e-06,10004009,7.758968649795861e-07,1.1583268388903889e-07,-6.04583760832611e-09,-0.31050819542508634,-9.756831786944531e-09,1.3410671074024644e-08,3.5077116863537785e-07,4.3189426147462627e-08,1.6138113765430894e-09,1.2708910617220681e-05,1.2708910617220681e-05,0.0,1.2708910617220681e-05,0.0,0.0023827922343787706,COMPLETED_SUCCESSFULLY,32752,True,825636,8,8,0,0,0.1,E97D9E56AA6C49A1B33CF24AD4CB22A86DDF86AF08F486A908F45009CB9F5829,True,True
fea1b_arm_maneuver_qs_l2_mm_medium_c3d8i,ARM_MANEUVER_QS,L2_MM_MEDIUM,MESH_MATCHED,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,16,1,10.0,2362,1336,2,0.31050820236037147,217.35574165226,0.008712757378816605,0.006387763634156346,0.009554271274945547,0.005254394973061402,0.0014315792848134182,16,1258,ESTAGEA,45.0,-15.0,28.75,True,True,0.0031879430540104835,0.006387763634156346,0.005368992958240554,0.0015712713131553536,0.0007863487572021745,4.036079343860788e-06,10006014,4.771833346239873e-07,6.430217069919308e-08,5.308318229424458e-09,-0.31050820216310626,-4.8665356189303566e-09,7.204188012256115e-09,6.88518544775095e-07,2.3201280859869315e-08,3.1677035055123233e-09,7.0623077590425964e-06,7.0623077590425964e-06,0.0,7.0623077590425964e-06,0.0,0.002314407113824763,COMPLETED_SUCCESSFULLY,42766,True,1763564,0,0,0,0,0.1,E58A0B5A003FF5C467C499E7BF65DD30C9362C11DE8C7A1DA77CCD86135543DE,True,True
fea1b_arm_maneuver_qs_l3_mm_fine_c3d8i,ARM_MANEUVER_QS,L3_MM_FINE,MESH_MATCHED,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,20,1,8.0,3550,2056,2,0.31050820236037147,217.35574165226,0.01066112332046032,0.007127080568297317,0.010570315095274443,0.006856550284575758,0.0012399079763672498,36,1937,ESTAGEA,44.0,-12.0,28.75,True,True,0.0027249190551801804,0.007127080568297317,0.0054170119349658775,0.0015520945791882474,0.0008134533121581031,4.075601998475412e-06,10008017,4.91364517074544e-07,7.014277514372225e-08,-1.2647722869019162e-09,-0.3105082093221654,-5.277698278405296e-09,8.827248870852028e-09,9.268591440648569e-07,2.8428391919280917e-08,4.264249644473193e-09,7.69925372878788e-06,7.69925372878788e-06,0.0,7.69925372878788e-06,0.0,0.002582275568223666,COMPLETED_SUCCESSFULLY,51446,True,2549948,0,0,0,0,0.1,1D7003B2203B56A5034B7E3F4C1F19E73B14F1555BC18D00C3C4289D4A426785,True,True
fea1b_arm_maneuver_qs_t2_tt_medium_c3d8i,ARM_MANEUVER_QS,T2_TT_MEDIUM,THROUGH_THICKNESS,C3D8I,AL6061_T6_CAND,ENVELOPE_COMPONENTWISE_MAX,16,2,10.0,3987,2672,4,0.31050820236037147,217.35574165226,0.010516395792365074,0.008414201410151048,0.01144008327295834,0.005325175050881872,0.0013333939453978928,16,2594,ESTAGEA,45.0,-15.0,29.75,True,True,0.0036641588588835513,0.008414201410151048,0.006620969028203399,0.0016038502931844173,0.000800769114498019,4.187269155245308e-06,17006014,4.981515075996867e-07,6.672237873317499e-08,-4.893699667718465e-09,-0.31050819249094275,4.580130053000175e-09,1.1930277070302056e-08,1.0650250233064739e-06,3.842177752346762e-08,4.89991667673712e-09,7.328585979848867e-06,7.328585979848867e-06,0.0,7.328585979848867e-06,0.0,0.00304862369933009,COMPLETED_SUCCESSFULLY,42766,True,3120180,0,0,0,0,0.1,170A2AA871E441DA39DCB148AB524CA380EB1E3783CC3E4141D64D3475989144,True,True
