job_name,case_id,mesh_level,material,grid_pitch_mm,nodes_total,elements_total,n_equations,applied_Fy_N_deck,applied_Mz_N_mm_deck,peak_von_mises_MPa,peak_mises_element,peak_mises_zone,peak_mises_element_centroid_x_mm,peak_mises_element_centroid_y_mm,peak_mises_element_centroid_z_mm,peak_disp_magnitude_mm,peak_disp_node,rp_U2_mm,rp_UR3_rad,sum_RF1_N,sum_RF2_N,sum_RF3_N,sum_reaction_M_about_RP_x_N_mm,sum_reaction_M_about_RP_y_N_mm,sum_reaction_M_about_RP_z_N_mm,residual_force_norm_N,residual_moment_about_RP_norm_N_mm,reaction_force_rel_residual,reaction_moment_rel_residual,ALLIE,ALLSE,ALLAE,ALLWK,ETOTAL,artificial_energy_fraction,solve_status,dat_bytes,dat_nonzero,odb_bytes,analysis_warnings,numerical_problem_warnings,negative_eigenvalue_warnings,error_messages,numerical_singularity_count,total_cpu_time_s,deck_sha256_matches_sidecar,solved_deck_identical_to_decks_dir
fea1_arm_estop_qs_coarse,ARM_ESTOP_QS,COARSE,AL6061_T6_CAND,16.0,979,468,2796,0.621016,434.711,0.036165233701467514,443,ESTAGEA,40.0,-24.0,28.75,0.0002562027656867258,904009,2.5130944777629338e-05,4.586250270222081e-06,1.3475073501467705e-08,-0.6210160007904051,1.0903022484853864e-08,-2.46134732151404e-07,-7.181442924775183e-07,-434.71099910815246,1.7351606420079263e-08,1.1711983526767872e-06,2.7940675312840992e-08,2.694199945887698e-09,0.00100465,0.0001992312,0.0008054189,0.00100465,1.539567e-17,0.8016910366794406,COMPLETED_SUCCESSFULLY,29699,True,511032,8,8,0,0,8,0.1,True,True
fea1_arm_estop_qs_fine,ARM_ESTOP_QS,FINE,AL6061_T6_CAND,8.0,3563,2056,10236,0.621016,434.711,0.02515774965286255,1937,ESTAGEA,44.0,-12.0,28.75,1.915368393970417e-05,712019,1.6178202031369437e-06,2.389790836332395e-07,-1.2505193325296204e-08,-0.6210159945883049,-1.2451677910974013e-08,4.790549468225436e-08,4.012652277118889e-06,-434.711001193197,1.8458347343979392e-08,4.186572850354791e-06,2.972282089991142e-08,9.630703732720799e-09,5.244576e-05,4.507946e-05,7.366307e-06,5.244576e-05,-8.470329e-19,0.14045572034803194,COMPLETED_SUCCESSFULLY,48393,True,1168208,0,0,0,0,0,0.1,True,True
fea1_arm_estop_qs_medium,ARM_ESTOP_QS,MEDIUM,AL6061_T6_CAND,10.0,2375,1336,6804,0.621016,434.711,0.020446885377168655,1258,ESTAGEA,45.0,-15.0,28.75,1.448397660368143e-05,710016,1.81520795194956e-06,2.0584437265824818e-07,-1.0372559700044803e-08,-0.6210159963794695,-2.778147489834737e-08,1.294679449870273e-06,-5.905036033482247e-07,-434.71100117311096,2.9874882153145294e-08,1.844201364657657e-06,4.8106461271763194e-08,4.2423618557102465e-09,4.530504e-05,4.233992e-05,2.965124e-06,4.530504e-05,1.348476e-18,0.06544799430703516,COMPLETED_SUCCESSFULLY,39713,True,865664,0,0,0,0,0,0.0,True,True
fea1_arm_maneuver_qs_coarse,ARM_MANEUVER_QS,COARSE,AL6061_T6_CAND,16.0,979,468,2796,0.310508,217.356,0.01808265596628189,443,ESTAGEA,40.0,-24.0,28.75,0.0001281016590641038,904009,1.2565472388814669e-05,2.293130592079251e-06,-7.697963155806065e-09,-0.31050800689990865,-1.718717612675391e-08,-4.601733962772414e-07,-3.0424780561588705e-07,-217.35599908989388,2.0056579949279846e-08,1.0642459361301471e-06,6.459279615752202e-08,4.896326469617343e-09,0.0002511637,4.980802e-05,0.0002013557,0.0002511637,3.794708e-18,0.8016910883220784,COMPLETED_SUCCESSFULLY,29699,True,511036,8,8,0,0,8,0.1,True,True
fea1_arm_maneuver_qs_fine,ARM_MANEUVER_QS,FINE,AL6061_T6_CAND,8.0,3563,2056,10236,0.310508,217.356,0.012578901834785938,1937,ESTAGEA,44.0,-12.0,28.75,9.57686209139636e-06,712019,8.089101015684719e-07,1.1948981182285934e-07,-4.70078065362145e-09,-0.3105079996555986,-1.0972556196975347e-11,6.454266632260897e-07,8.096696001436143e-07,-217.3559999296946,4.713392777206042e-09,1.0378262315322833e-06,1.5179617843037997e-08,4.774776088685306e-09,1.31115e-05,1.126992e-05,1.841585e-06,1.31115e-05,-2.117582e-19,0.14045570682225528,COMPLETED_SUCCESSFULLY,48393,True,1168208,0,0,0,0,0,0.2,True,True
fea1_arm_maneuver_qs_medium,ARM_MANEUVER_QS,MEDIUM,AL6061_T6_CAND,10.0,2375,1336,6804,0.310508,217.356,0.010223465040326118,1258,ESTAGEA,45.0,-15.0,28.75,7.242002589580186e-06,710016,9.0760397597478e-07,1.0292242080822689e-07,1.002615590550704e-08,-0.31050800283475155,6.770655147647631e-10,6.696148417972836e-07,1.0392419369509298e-08,-217.35600034557592,1.0441170253975092e-08,7.536011942980341e-07,3.362609096698021e-08,3.4671285554483617e-09,1.132631e-05,1.058503e-05,7.412844e-07,1.132631e-05,3.371191e-19,0.0654480055728653,COMPLETED_SUCCESSFULLY,39713,True,865668,0,0,0,0,0,0.1,True,True
fea1_capture_150kg_qs_coarse,CAPTURE_150KG_QS,COARSE,AL6061_T6_CAND,16.0,979,468,2796,13.5527,19073.3,1.5515964031219482,443,ESTAGEA,40.0,-24.0,28.75,0.010712127702389076,904009,0.0005484434659592807,0.00020122548448853195,-6.742775440216064e-07,-13.552699963212945,1.0333315003663301e-06,3.314373316243291e-06,-2.64081172645092e-05,-19073.300064504147,1.2344138217996205e-06,6.977935760158696e-05,9.108250177452614e-08,3.658483723403237e-09,1.92273,0.381867,1.54087,1.92273,2.68674e-14,0.8013969720137513,COMPLETED_SUCCESSFULLY,29695,True,511036,8,8,0,0,8,0.1,True,True
fea1_capture_150kg_qs_fine,CAPTURE_150KG_QS,FINE,AL6061_T6_CAND,8.0,3563,2056,10236,13.5527,19073.3,1.0596110820770264,1937,ESTAGEA,44.0,-12.0,28.75,0.0007947134823478103,712019,3.530638787196949e-05,1.0485402526683174e-05,-2.0139896150794812e-07,-13.552700453216858,-7.658597951376578e-07,-6.734934845553653e-05,2.300324683801591e-05,-19073.300036614062,9.124189211747958e-07,8.00354528397862e-05,6.732377468510303e-08,4.1962037423930945e-09,0.100235,0.08618425,0.0140506,0.100235,-1.776357e-15,0.1401765850251908,COMPLETED_SUCCESSFULLY,48393,True,1168212,0,0,0,0,0,0.1,True,True
fea1_capture_150kg_qs_fine_7075,CAPTURE_150KG_QS,FINE,AL7075_T651_CAND,8.0,3563,2056,10236,13.5527,19073.3,1.0596110820770264,1937,ESTAGEA,44.0,-12.0,28.75,0.0007644920041798177,712019,3.3963751775445417e-05,1.0086661859531887e-05,-2.0139896150794812e-07,-13.552700453216858,-7.658597951376578e-07,-6.734934845553653e-05,2.300324683801591e-05,-19073.300036614062,9.124189211747958e-07,8.00354528397862e-05,6.732377468510303e-08,4.1962037423930945e-09,0.09642311,0.08290683,0.01351628,0.09642311,1.262879e-15,0.1401767688264774,COMPLETED_SUCCESSFULLY,48407,True,1168216,0,0,0,0,0,0.1,True,True
fea1_capture_150kg_qs_medium,CAPTURE_150KG_QS,MEDIUM,AL6061_T6_CAND,10.0,2375,1336,6804,13.5527,19073.3,0.8588933348655701,1258,ESTAGEA,45.0,-15.0,28.75,0.0005975064020758015,710016,3.961406764574349e-05,9.031589797814377e-06,3.1177023629425094e-07,-13.55269920633873,1.2066193448845297e-06,0.0001125011476688087,-6.379347382790002e-05,-19073.299943562015,1.4775077445639113e-06,0.00014110762418489365,1.090194385298805e-07,7.398175679347237e-09,0.08639955,0.08083515,0.005564395,0.08639955,2.622902e-15,0.0644030553399873,COMPLETED_SUCCESSFULLY,39709,True,865668,0,0,0,0,0,0.0,True,True
fea1_capture_22kg_qs_coarse,CAPTURE_22KG_QS,COARSE,AL6061_T6_CAND,16.0,979,468,2796,7.21244,1846.14,0.1654183715581894,443,ESTAGEA,40.0,-24.0,28.75,0.0012663231661931749,904009,0.0002918691898230463,1.9476987290545367e-05,1.1245720088481903e-07,-7.212440168950707,2.771139406831935e-08,-2.5106564862653613e-06,-2.5846529752016068e-06,-1846.1399933360517,2.0483867971195687e-07,7.575753113677068e-06,2.840074644807539e-08,4.1035637133029285e-09,0.01903117,0.003727976,0.01530319,0.01903117,3.642919e-16,0.804111885921885,COMPLETED_SUCCESSFULLY,29699,True,511036,8,8,0,0,8,0.1,True,True
