category,artifact,path,status,sha256,claim_limit
authorization,Phase 1 native continuation package,00_BASELINE/AUTHORIZATION_PACKAGE/B51R1_PHASE1_NATIVE_CONTINUATION_PACKAGE.zip,AUTHORIZED_1_VISIBLE_LAUNCH_CONSUMED_1_REMAINING_0,AB2D6EAC2C508F2D192E05263E6256AC7FB343A3E3F43BD224BEF28FF42497A4,fresh explicit authorization required for another visible launch
authorization,mechanics-control continuation package,00_BASELINE/AUTHORIZATION_PACKAGE/B51R1_MECHANICS_CONTROL_CONTINUATION_PACKAGE_20260730/B51R1_MECHANICS_CONTROL_CONTINUATION_PACKAGE.zip,AUTHORIZED_1_VISIBLE_LAUNCH_CONSUMED_1_REMAINING_0,295B3FA8C8AEFBA3DD6CF896B9CB7B3221A7341CFF5DD69B917282A40A9A6E16,cold reopen requires separate visible-launch authorization
authorization,mechanics-control continuation admission,07_VERIFICATION/B51R1_MECHANICS_CONTROL_CONTINUATION_PACKAGE_ADMISSION.json,ADMITTED_FAIL_CLOSED_SINGLE_VISIBLE_LAUNCH_ONLY,E2DFBBC019F72163A971529A18BB1972805A1043D6BAD6B34CFFE8F6736B46B4,one visible launch only and cold reopen not authorized
authorization,cold-reopen mechanical-engineering directive archive,00_BASELINE/AUTHORIZATION_PACKAGE/B51R1_COLD_REOPEN_AUTHORIZATION_20260801/B51R1_COLD_REOPEN_AND_MECHANICAL_ENGINEERING_DIRECTIVE.txt,AUTHORIZED_1_VISIBLE_LAUNCH_CONSUMED_1_REMAINING_0,C78926131EE309B67F652197FD839FEBDBB28E5D9D99EA45EBF21636CEEABAE2,cold-reopen persistence scope only no native authoring authorization
authorization,cold-reopen authorization admission,07_VERIFICATION/B51R1_COLD_REOPEN_AUTHORIZATION_ADMISSION_20260801.json,ADMITTED_SINGLE_VISIBLE_LAUNCH_COLD_REOPEN_ONLY_CONSUMED,3BC20BFBA9AAAB8A61A1E2A580C35B4977DA8169F15597453A82A4F2518E0BC4,authorization exhausted after fixed diagnostic target cold reopen
measurement,final durable measurement gate,01_MEASUREMENT/B51R1_DURABLE_DATUM_MEASUREMENT_FINAL.json,PASS_DURABLE_SOURCE_BOUND_MEASUREMENT_WITNESS,94400C1E282A9B35084E68B7A1B53DCC41BF33113D908C7895D0B73C672904FB,4 mm root cause closed geometry not repaired; 3 mm panel-layer relationship only
master_skeleton,neutral STEP witness,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_STEP_WITNESS_R2.step,PASS_DETERMINISTIC_WITH_VISUAL_REVIEW_HOLD,4AA03505AA5F3AB73ADFD091E7DFA77382234152D11CD32916783B11FA56F1BC,datum construction only
master_skeleton,neutral witness gate,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_STEP_WITNESS_R2_GATE.json,PASS_DETERMINISTIC_WITH_VISUAL_REVIEW_HOLD,2C8467883555A3EABDFEA4F1A1C64CBF6B0D6F2EA6EFE38E52443B93309C339B,no native SLDPRT credit
master_skeleton,current build contract,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_BUILD_CONTRACT.md,CURRENT_FINAL_MASTER_SKELETON_HOLD,45185EE239A07016849798700A2B672BA1ADFF2842CAEC7DD919977C6C45F42F,contract only no native feature credit
master_skeleton,current datum register,02_MASTER_SKELETON/B51R1_MASTER_SKELETON_V2_DATUM_REGISTER.yaml,CURRENT_STAGE_A_PASS_STAGE_B_HOLD,41A769163D7FE9066DDAC0A6E36E33A22AC9D33823F8CC47151515E8AC0FBC6E,datum authority register only
