mvr_id,mechanism,verification_objective_short,wp5_pack,wp5_entries,status,release_effect_kept,note
MVR-001,GRIPPER_R1,controlled rail-palm physical clearance across stroke,GRIPPER_ENGINEERING_PACK_V1,GRP-SMS-01;MAV-05,ANALYTIC_CLOSED,HOLD,"Digital neutral baseline PASS (144 samples, 0 overlap); physical dimensional inspection still required"
MVR-002,GRIPPER_R1,actuator force-speed envelope,GRIPPER_ENGINEERING_PACK_V1,GRP-SMS-03;GRP-SMS-06;MAV-03,TEST_REQUIRED_HOLD,HOLD,"No actuator authority; demand 25.98 N/finger derived as candidate only"
MVR-003,GRIPPER_R1,power-off retention and safe release,GRIPPER_ENGINEERING_PACK_V1,GRP-SMS-05;MAV-02;MAV-05,ANALYTIC_CLOSED,HOLD,"Fail-closed retention design rule closed; fault-injection bench test pending"
MVR-004,GRIPPER_R1,target contact friction and surface compatibility,GRIPPER_ENGINEERING_PACK_V1,GRP-SMS-08,TEST_REQUIRED_HOLD,HOLD,"mu=0.3 is declared candidate; no contact test evidence"
MVR-005,GRIPPER_R1,contact pressure and damage limit,GRIPPER_ENGINEERING_PACK_V1,GRP-SMS-09,TEST_REQUIRED_HOLD,HOLD,"No damage criterion or target surface authority"
MVR-006,GRIPPER_R1,wear debris and cycle life,GRIPPER_ENGINEERING_PACK_V1,GRP-SMS-07,TEST_REQUIRED_HOLD,HOLD,"10000-cycle target candidate only; life test pending"
MVR-007,SOLAR_HINGE_LEFT,deployment torque time angle repeatability,SOLAR_HINGE_DEPLOYMENT_PACK_V1,HNG-SMS-01..03;MAV-01;MAV-02,ANALYTIC_CLOSED,HOLD,"Drive margin 4.0 and damped 2.0 s candidate closed analytically; instrumented test pending"
MVR-008,SOLAR_HINGE_RIGHT,deployment torque time angle repeatability,SOLAR_HINGE_DEPLOYMENT_PACK_V1,HNG-SMS-01..03;MAV-01;MAV-02,ANALYTIC_CLOSED,HOLD,"Left/right symmetric (M6); same candidate sizing"
MVR-009,SOLAR_HINGE_LEFT,freeplay wear and stop geometry,SOLAR_HINGE_DEPLOYMENT_PACK_V1,HNG-SMS-04;HNG-SMS-07;MAV-04,TEST_REQUIRED_HOLD,HOLD,"Stop candidate defined; freeplay limits HOLD (no pin/bore authority, M6)"
MVR-010,SOLAR_HINGE_RIGHT,freeplay wear and stop geometry,SOLAR_HINGE_DEPLOYMENT_PACK_V1,HNG-SMS-04;HNG-SMS-07;MAV-04,TEST_REQUIRED_HOLD,HOLD,"Same as MVR-009"
MVR-011,SOLAR_HINGE_PAIR,nominal and failure-state sweep clearance,SOLAR_HINGE_DEPLOYMENT_PACK_V1,MDD single_side_failure_semantics (ODR-02),TEST_REQUIRED_HOLD,HOLD,"Attached-stuck semantics closed by ODR-02; physical/digital sweep pending WP1 keep-out and WP2 configs (PENDING_SIBLING_HASH)"
MVR-012,ARM_HDRM,restraint fit preload stiffness and slip,HDRM_ENGINEERING_PACK_V1,HDRM-SMS-01;MAV-01;MAV-02,ANALYTIC_CLOSED,HOLD,"Preload 50 N candidate checked vs candidate quasi-static levels; launch sizing HOLD; static load test pending"
MVR-013,ARM_HDRM,ambient release time and clearance,HDRM_ENGINEERING_PACK_V1,HDRM-SMS-02;HDRM-SMS-04;HDRM-SMS-07;MAV-04,ANALYTIC_CLOSED,HOLD,"Release energy 0.15 J and time class candidates closed; functional release test pending"
MVR-014,ARM_HDRM,release at temperature and vacuum extrema,HDRM_ENGINEERING_PACK_V1,HDRM-SMS-10,TEST_REQUIRED_HOLD,HOLD,"No mission thermal environment authority"
MVR-015,ARM_HDRM,environmental survival then release,HDRM_ENGINEERING_PACK_V1,HDRM-SMS-12,TEST_REQUIRED_HOLD,HOLD,"Launch spectra HOLD (no launcher ICD, ODR-06 retained)"
MVR-016,ARM_HDRM,release shock and debris,HDRM_ENGINEERING_PACK_V1,HDRM-SMS-03;HDRM-SMS-05,TEST_REQUIRED_HOLD,HOLD,"Low-shock architecture selected; SRS authority null"
MVR-017,ARM_HDRM,single-fault safe behavior,HDRM_ENGINEERING_PACK_V1,HDRM-SMS-06;HDRM-SMS-08;HDRM-SMS-09,ANALYTIC_CLOSED,HOLD,"Redundancy and inhibit design rules closed; fault injection pending"
MVR-018,M3R_CLOCKING_LOCATOR,locator fit and repeatable clocking,none,NOT_IN_WP5_SCOPE,TEST_REQUIRED_HOLD,HOLD,"Owned by WP1/WP3/WP4 chain; dowel clocking WC 1.8909e-3 rad per M6 contract"
MVR-019,TARGET_CAPTURE_INTERFACE,retained transform and slip margin,GRIPPER_ENGINEERING_PACK_V1,MAV-01;MAV-02,ANALYTIC_CLOSED,HOLD,"Retention demand 22.59 N/finger derived (DERIVED anchors); capture transform/contact authorities HOLD"
MVR-020,ALL_MECHANISMS,measured mass CoM inertia,none,NOT_IN_WP5_SCOPE,TEST_REQUIRED_HOLD,HOLD,"Physical mass-property campaign pending; L0 URDF masses never overridden; WP2 design mass model is the design-level path"
