concept,jet,rx_m,ry_m,rz_m,dx,dy,dz,fmax_N,status
CONCEPT_12_JETS,C12_J01,-0.183,-0.08,0.0,1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J02,-0.183,0.08,0.0,1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J03,0.183,-0.08,0.0,-1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J04,0.183,0.08,0.0,-1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J05,0.0,-0.11315,-0.08,0.0,1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J06,0.0,-0.11315,0.08,0.0,1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J07,0.0,0.11315,-0.08,0.0,-1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J08,0.0,0.11315,0.08,0.0,-1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J09,-0.14,0.0,-0.11315,0.0,0.0,1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J10,0.14,0.0,-0.11315,0.0,0.0,1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J11,-0.14,0.0,0.11315,0.0,0.0,-1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_12_JETS,C12_J12,0.14,0.0,0.11315,0.0,0.0,-1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J01,-0.183,-0.08,-0.08,1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J02,-0.183,-0.08,0.08,1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J03,-0.183,0.08,-0.08,1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J04,-0.183,0.08,0.08,1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J05,0.183,-0.08,-0.08,-1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J06,0.183,-0.08,0.08,-1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J07,0.183,0.08,-0.08,-1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J08,0.183,0.08,0.08,-1.0,0.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J09,-0.14,-0.11315,-0.08,0.0,1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J10,-0.14,-0.11315,0.08,0.0,1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J11,0.14,-0.11315,-0.08,0.0,1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J12,0.14,-0.11315,0.08,0.0,1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J13,-0.14,0.11315,-0.08,0.0,-1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J14,-0.14,0.11315,0.08,0.0,-1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J15,0.14,0.11315,-0.08,0.0,-1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J16,0.14,0.11315,0.08,0.0,-1.0,0.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J17,-0.14,-0.08,-0.11315,0.0,0.0,1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J18,-0.14,0.08,-0.11315,0.0,0.0,1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J19,0.14,-0.08,-0.11315,0.0,0.0,1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J20,0.14,0.08,-0.11315,0.0,0.0,1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J21,-0.14,-0.08,0.11315,0.0,0.0,-1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
CONCEPT_24_JETS,C24_J22,-0.14,0.08,0.11315,0.0,0.0,-1.0,0.012,ABSTRACT_STATIC_CONCEPT_NOT_INSTALLED_NOT_PACKAGING_VERIFIED
