file,sha256
AUTHORITY_SNAPSHOT.json,136a02b1cb0370dd15acb5be807600bf56a707956b9024c8780fc106c9ad3c15
CONTROLLER_SNAPSHOT.json,3a2dbd211dccf3f95b650988976e7103e0e8d38370d2923cbd058920d98dbfcb
CONTROLLER_TIMESERIES.parquet,1713b9863f7acabab9e564650091061144090ad4d51c492be031e3d60aeceaa6
CONVERGENCE_RESULT.json,0d2c2cd3aa8481e40de96a69ab7a24f197ba466536886e8714af6b0b22190bb0
ENVIRONMENT.json,7e4c4d437d5e9fb1b8a30c67548085ce20b5db2f8f47513e1f13d3bc93c72739
EVENTS.jsonl,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
EVENT_MONITOR_STATUS.json,2eb154c20e3f77fe9f96430211c697cc8462d238f206e91a282e9592619a5463
FAILURE_CONTEXT.json,18fe326165887fedcb5fdaef192d9b80b7b79546a3992ca6902b3d531ead3ae5
GATE_RESULT.json,6992db45738e61b6c98beb4bbed1362aefa0bb283fb1e188d0882a3a252ca721
INPUT_HASHES.csv,b7b141b6ccf2092ac6162828a7ecc03792fb19e684e2b774c61b1cb3a480be02
METRICS.json,21ce389785168c385275a3de3275b6634ebf79dba53bf97f2ad1a2659e40db4a
MOMENTUM_LEDGER_CONTRACT.json,e771402d32e3a4a1044a46c7dbee211e498757c1cc2afae54861a4d1d50c32d1
RESOLVED_CONFIG.yaml,347a3514571d060d551e29e11d5a8a1fab26efb0aecae20950c926508c306bea
RUN_MANIFEST.json,ce515cb13ef162c09cf27f7290155e110e8a15bf903e860c41d0416f029f7eda
SAFETY_DECISION.json,32966b2f200d889b1fa2eeaf98e2d1008c8c2e2be843348856316f18233cc892
SAFE_SNAPSHOT.json,9816d28d0595db757509a56fdca0c912d465434fb73488bdf6cc9a69a8b47758
SOURCE_HASHES.csv,33a19889b2b2fb778b79a1c528f1aa5c6e063886782a230cd78c4ca2dbd3e87d
STDOUT.log,b2a3d16d0b4b3c5cf7da33ac4c82fc4cc8e3838b91bf3ad42a388565a5effe50
TIMESERIES.parquet,1acc502381865ae7b06ea32af67444f5b7de98fb5d976bf902d59a7083c4aa90
TORQUE_TIMESERIES.parquet,1713b9863f7acabab9e564650091061144090ad4d51c492be031e3d60aeceaa6
