id,operation,quantity
access_cover_-1,REMOVE_REPLACED_COVER_SYSTEM,-1
access_cover_1,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_-1_-150_-75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_-1_-150_75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_-1_0_-75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_-1_0_75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_-1_150_-75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_-1_150_75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_1_-150_-75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_1_-150_75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_1_0_-75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_1_0_75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_1_150_-75,REMOVE_REPLACED_COVER_SYSTEM,-1
cover_mount_1_150_75,REMOVE_REPLACED_COVER_SYSTEM,-1
battery_thermal_link,REMOVE_UNQUALIFIED_BATTERY_THERMAL_LINK,-1
shear_web_-1,REPLACE_SHAPE_SAME_ID,0
shear_web_1,REPLACE_SHAPE_SAME_ID,0
upper_equipment_deck_B,REPLACE_SHAPE_SAME_ID,0
PROP_PWR_ROUTE,REPLACE_SHAPE_SAME_ID,0
PROP_DATA_ROUTE,REPLACE_SHAPE_SAME_ID,0
radiator_spreader,REPLACE_SHAPE_SAME_ID,0
lower_equipment_deck_B,REPLACE_SHAPE_SAME_ID,0
lower_deck_angle_-1_0,REPLACE_SHAPE_SAME_ID,0
lower_deck_angle_-1_1,REPLACE_SHAPE_SAME_ID,0
lower_deck_angle_1_0,REPLACE_SHAPE_SAME_ID,0
lower_deck_angle_1_1,REPLACE_SHAPE_SAME_ID,0
CLAMP_DUAL_0_BN,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_0_BW,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_0_TN,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_0_TW,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_1_BN,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_1_BW,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_1_TN,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_1_TW,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_BASE,MOVE_S_X_PLUS6_Y_MINUS10,0
CLAMP_DUAL_LID,MOVE_S_X_PLUS6_Y_MINUS10,0
POST_DUAL_0,MOVE_S_X_PLUS6_Y_MINUS10,0
POST_DUAL_1,MOVE_S_X_PLUS6_Y_MINUS10,0
TIEROD_DUAL_0,MOVE_S_X_PLUS6_Y_MINUS10,0
TIEROD_DUAL_1,MOVE_S_X_PLUS6_Y_MINUS10,0
U202_CHB_TIM,ADD_ECAD_REF_OR_TIM_ONCE,1
U202_CHB,ADD_ECAD_REF_OR_TIM_ONCE,1
RB301_TIM,ADD_ECAD_REF_OR_TIM_ONCE,1
RB301,ADD_ECAD_REF_OR_TIM_ONCE,1
RB302_TIM,ADD_ECAD_REF_OR_TIM_ONCE,1
RB302,ADD_ECAD_REF_OR_TIM_ONCE,1
RB303_TIM,ADD_ECAD_REF_OR_TIM_ONCE,1
RB303,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_BOTTOM_0_SCREW,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_0_WASHER,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_0_NUT,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_1_SCREW,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_1_WASHER,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_1_NUT,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_2_SCREW,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_2_WASHER,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_2_NUT,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_3_SCREW,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_3_WASHER,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_3_NUT,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_4_SCREW,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_4_WASHER,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_4_NUT,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_5_SCREW,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_5_WASHER,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_BOTTOM_5_NUT,ADD_BOTTOM_MOUNT_HARDWARE,1
WP10_CHB_0_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_CHB_1_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_CHB_2_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_CHB_3_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_COLD_-1_TIM,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_COLD_-1_0_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_COLD_-1_1_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_COLD_1_TIM,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_COLD_1_0_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
WP10_COLD_1_1_SCREW,ADD_ECAD_REF_OR_TIM_ONCE,1
