instance_id,quantity,native_part_id,source_step,source_sha256,native_part,status,interface_material,source_doc
shear_web_-1,1,C00,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\fixed_heat_wall_neg.step,3f9a13210307638f1411be9fecddf100b8a0444d786546305162d5bc5e0e1825,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C00.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
shear_web_1,1,C01,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\fixed_heat_wall_pos.step,69b90eb2920e0e5908d562ce40a3567d1f1a573716a2a45ef1b7ef4b0e583b76,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C01.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
lower_deck_angle_-1_0,1,C02,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\bottom_lower_deck_angle_-1_0.step,aac5ad61a8058eeb80584bf5004869740b649b48cc267395d404746aebc7d39f,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C02.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
lower_deck_angle_-1_1,1,C03,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\bottom_lower_deck_angle_-1_1.step,8d05a44eeb38b44797b9dc17d14fcf0f88d63b27b177206268e4dd206fb82fae,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C03.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
lower_deck_angle_1_0,1,C04,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\bottom_lower_deck_angle_1_0.step,a6304579f0b09bde31da93c7c6296e3fc0b2a69229f8f8efa02c10e31b98b84c,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C04.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
lower_deck_angle_1_1,1,C05,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\bottom_lower_deck_angle_1_1.step,3281f516f5400058ee664ff445024ec3e50e2b385b2986784ae157a7194f42b3,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C05.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
radiator_spreader,1,C06,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\bottom_radiator.step,e2e1ec9a6bab5d6d6b628772ed3d932d01e11a489d4c5733794cbad7c3fc0354,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C06.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
lower_equipment_deck_B,1,C07,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\lower_deck_bottom_mount.step,2ce912774cdba8354c1ffb9d35cd6f476b71923c0b85885a6e1bcca33d037be3,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C07.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
U202_CHB_TIM,1,C08,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\chb_bottom_tim.step,ada17c0e63c656941a2c8c95a295c28e41e436c4a282040daa5be1ab6ff2c4f0,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C08.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,BERGQUIST SIL PAD TSP 1800ST,thermal/COLD_TIM_INTERFACE_CONTRACT.json
U202_CHB,1,C09,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\sources\CHB500W_STANDARD_OEM.step,2883cdc18626958a2a4553b6a3a33dac8d3dbef24c44cffe61f1b74f95e6156b,F:\China Graduate Future Flight Vehicle Innovation Competition\01_project\competition\SERVICE_ROBOT_MECHANICAL_CONSOLIDATION_20260905\runs\wp10_mechatronic_closure_20260908\implementation\mechanical\native\C09.SLDPRT,CURRENT_FIXED_POSE_GEOMETRY_NOT_MANUFACTURING_RELEASE,,mechanical/CHB_BOTTOM_COLD_PATH_BRIEF.md
