asset_id,gate_or_phase,expected_asset,why_expected,current_status,searched_or_evidence_root,nearest_substitute,reconstruction_authorized,required_tool_or_authority,disposition
M3R-001,M3,B601 released OEM mounting ICD or released interface drawing,"Needed for an OEM or flight-interface claim",ASSET_NOT_FOUND_AFTER_BOUNDED_LOCAL_SEARCH,"project root; migrated worktree; safety snapshot; vendor reBot tree; Git history",A2 vendor STEP plus B2 as-built four-axis measurement,NO_FOR_OEM_CLAIM,Manufacturer document acquisition,"Competition work proceeds under AS_BUILT_MEASURED_COMPETITION_INTERFACE; OEM flight interface remains NOT CLAIMED"
M3R-002,M3,Continuous B601 mounting plate and physical fit-up witness,"Active donor contains four screw axes but omits the vendor 01_BASE_Plate continuous face",ABSENT_FROM_ACTIVE_F3R2,"active F3R2 B-rep; vendor reBot tree",80_third_party/vendor/reBot-DevArm/hardware/reBot_B601_DM/3D_Printed_Parts/01_BASE_Plate.step,YES_IN_SUCCESSOR_BASELINE,SolidWorks plus physical hardware or controlled donor integration,"Do not copy over the frozen baseline; add only to V4/successor and record fit-up"
M3R-003,M3,B601_BASE_INTERFACE_RING_F3R2.SLDPRT,"Native manufacturing part required by the authorized adapter chain",MISSING_TOOL_BLOCKED,03_native_cad/M3_interface_authority/cad/,B601_BASE_INTERFACE_RING_F3R2.step,YES,SolidWorks 2024 with sufficient memory and user-started COM server,"Generate without overwrite then cold reopen"
M3R-004,M3,B601_LOAD_SPREADING_ADAPTER_F3R2.SLDPRT,"Native manufacturing part required by the authorized adapter chain",MISSING_TOOL_BLOCKED,03_native_cad/M3_interface_authority/cad/,B601_LOAD_SPREADING_ADAPTER_F3R2.step,YES,SolidWorks 2024 with sufficient memory and user-started COM server,"Generate without overwrite then cold reopen"
M3R-005,M3,B601_BASE_ADAPTER_F3R2.SLDASM,"Native two-part assembly rebuild references and interference are required",MISSING_TOOL_BLOCKED,03_native_cad/M3_interface_authority/cad/,B601_BASE_ADAPTER_F3R2.FCStd,YES,SolidWorks 2024 plus native parts,"Must include zero missing references and native interference evidence"
M3R-006,M3,Live Central_Boss/load-bridge mating pattern and contact face B-rep,"Required before calling M6 140 x 140 spacecraft-side verified",MISSING_MATING_GEOMETRY_AUTHORITY,"active F3R2 top; legacy standalone adapter",20_engineering/cad/freecad_authoritative/B601_BASE_ADAPTER.step,YES_IN_SUCCESSOR_BASELINE,Authorized competition load-bridge design and SolidWorks,"Current M6 role is candidate only"
M3R-007,M3,Qualified inter-stage clocking dowel and fit-up witness,"Rev B includes an asymmetric diameter-4.1/4.0 dowel-hole candidate at (55 0) mm but no released fit class or physical fit-up",GEOMETRY_MODELLED_FIT_TOLERANCE_HOLD,03_native_cad/M3_interface_authority/cad/,Rev B unique dowel candidate removes the former 45-degree ambiguity,PARTIAL,Mechanical tolerance decision manufacturing drawing and physical fit-up,"Specify dowel material fit class tolerances insertion access and inspection before release"
M3R-008,M3,Fastener lengths grades thread engagement preload and formal MoS,"Required for structurally released bolted joints",MISSING_LOAD_AND_FASTENER_AUTHORITY,03_native_cad/M3_interface_authority/,M4/M5/M6 BOM candidates,PARTIAL,Authorized load cases material allowables and bolted-joint analysis,"FORMAL_FASTENER_MOS_HOLD; no flight or launch claim"
G33-001,G3-3a,Independent palm left-finger and right-finger native SLDPRT components,"Offline 58-solid grouping does not create movable native hardware",MISSING_NATIVE_COMPONENTS,"03_native_cad B601 donor; 05_clearance mesh; 08_camera_harness addendum",F3R2_GRIPPER_FINGER_BINDING_ADDENDUM_M3R_V2.json,YES_IN_SUCCESSOR_BASELINE,SolidWorks multibody save-bodies/derived-parts workflow,"Offline mesh binding PASS; native component gate HOLD"
G33-002,G3-3a,Native gripper SLDASM mates and OPEN/PREGRASP/CLOSED/HOLDING configurations,"Required for motion and native interference closure",MISSING_NATIVE_ASSEMBLY_AND_CONFIGURATIONS,08_camera_harness/,F3R2_GRIPPER_STATE_REGISTER_ADDENDUM_M3R_V2.csv,YES_IN_SUCCESSOR_BASELINE,SolidWorks mates configurations motion and interference,"Do not replace with static STL evidence"
G3C-001,G3C,Left/right wing-root lug native parts and integrated interfaces,"Interface and six-row part seed exist but geometry is not modelled",DEFINED_NOT_MODELLED,06_supports/F3R2_WING_ROOT_INTERFACE.json,F3R2_WING_ROOT_PART_LIST.csv,YES_IN_SUCCESSOR_BASELINE,SolidWorks and approved wing-root loads,"Native fit clearance and load path remain HOLD"
G3D-001,G3D,Stow supports G07/G08/Mid V2 and related native parts,"Support definitions and part lists exist but active native parts are absent",DEFINED_NOT_MODELLED,06_supports/,F3R2_STOW_SUPPORT_PART_LIST.csv and F3R2_SUPPORT_V2_PART_LIST.csv,YES_IN_SUCCESSOR_BASELINE,SolidWorks plus support architecture selection,"Placeholder support currently causes release-path clearance failure"
G4-001,G4,ARM HDRM mechanism native parts and assembly,"Definition exists but explicitly states DEFINED_NOT_MODELLED",DEFINED_NOT_MODELLED,07_hdrm/F3R2_ARM_HDRM_DEFINITION.json,F3R2_G4_PART_LIST.csv,YES_IN_SUCCESSOR_BASELINE,HDRM selection and SolidWorks,"Competition demonstrator only; flight selection TBD"
G4-002,G4,Camera bracket optical frame and calibrated line of sight,"Camera/harness record says exists_in_assembly=false",DEFINED_NOT_MODELLED,08_camera_harness/F3R2_CAMERA_HARNESS_GRIPPER.json,Proposed optical frame only,YES_IN_SUCCESSOR_BASELINE,Camera selection calibration and SolidWorks,"FOV and occlusion gate cannot close without geometry/calibration"
G4-003,G4,Controlled harness route clamps and service loop sweep,"Harness route and bend/clearance sweep are absent",DEFINED_NOT_MODELLED,08_camera_harness/F3R2_CAMERA_HARNESS_GRIPPER.json,Legacy bus Harness_Passage and Service_Loop donor parts,YES_IN_SUCCESSOR_BASELINE,Harness architecture bend radius connectors and SolidWorks route,"Legacy donor hardware is not the new arm harness"
G5-001,G5,Authorized joint vectors for SERVICE_DOCKING GRASP TRANSPORT ASSEMBLY and RETRIEVED_NOMINAL,"Official six-segment clearance has only one authorized segment",MISSING_POSE_AUTHORITY,05_clearance/F3R2_CONTINUOUS_CLEARANCE_RESULTS.json,Existing five frozen poses and partial path result,NO_AUTOMATIC_INVENTION,Human mission/operations authority,"Five official segments remain NOT_DEFINED_NO_AUTHORISED_POSE"
G5-002,G5,Full 6-of-6 official path plus release camera and harness swept-clearance results,"Needed for end-to-end operational clearance claim",INCOMPLETE_DEPENDENT_ON_G3_G4_G5,05_clearance/ and 08_camera_harness/,One official segment PASS and partial engineering sweeps,YES_AFTER_UPSTREAM_AUTHORITY,Native geometry plus five authorized poses,"Current scope-limited C7 result is not 6-of-6 closure"
G6-001,G6,Native materials mass CoM and inertia for new adapter and all external hardware,"Existing 507.22 g budget is provisional and M3R Rev B adds 761.904197 g geometry-only mass",MISSING_NATIVE_MASSPROPS,10_digital_thread/,M3R_ADAPTER_PROVISIONAL_MASS_ADDENDUM.csv,YES_AFTER_NATIVE_CAD,SolidWorks material assignment and mass properties,"Accepted URDF inertia and immutable mass ledger remain unchanged"
G7-001,G7,Released BOM native drawings SLDDRW and PDF manufacturing pack,"F3R2 currently has part-list seeds but no released drawings",MISSING_MANUFACTURING_RELEASE,03_native_cad and 12_human_review/,M3R_ADAPTER_BOM_CANDIDATE.csv,YES_AFTER_NATIVE_CLOSURE,SolidWorks drawings tolerances GD&T revision and human review,"Candidate BOM is not a manufacturing release"
G8-001,G8,Full-tree regenerated Final Gate manifest and package,"Old 11-of-14 Gate and manifest predate M3R/G33 addenda and exclude native CAD",STALE_SCOPE_NOT_FINAL,13_gate and 14_package/,Existing F3R2_FINAL_GATE.json and old package,YES_AFTER_ALL_UPSTREAM_GATES,Human review native closure DR backup and gate regeneration,"G8 FINAL FREEZE is prohibited while C11/C12/C14 and new HOLDs remain"
