id,domain,release_domain,gap,category,evidence_path,impact,next_minimum_action,external_input_required
E-CTRL-CONTACT-01,ctrl,control,接触与捕获后 plant：AS_BUILT=null MEASUREMENT_PENDING（零填充禁止）；post-capture 组合 plant 未绑定；contact_execution_executed=false,P2_FORMAL_RELEASE_BLOCKER,30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json（$.hard_blockers[8]、$.execution_guards）+ 30_simulation/r2_control_engineering_closure/results/CTRL_R2_SUPERVISOR_ASSESSMENT_V1.json（$.hybrid_capture）,正式 Release 与接触信用阻断；比赛演示走离线重放不受影响,接触 as-built 测量+TARGET_ATTACHED plant 绑定后重评 CG6,true
E-CTRL-HW-01,ctrl,control,执行器硬件实测缺失：152/152 字段 null 且零填充禁止；W1-R12（轮力矩 3.3x 超档）与 W1-R13（量子残差=门槛 21.5%，脉宽 x4.6 翻转）为硬件触发重跑项,P2_FORMAL_RELEASE_BLOCKER,01_project/competition/R2动力学与控制工程闭环阶段裁决_20260827.md（§3 行98）+ 10_research/partner_requirement_closure/wave1_results/wave1_gate_check.json（行285-286）+ 30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json（$.criteria[C8]）,硬件有效稳定性/瞬态裁决保持 PROVISIONAL；比赛材料只能按 PROVISIONAL 引用，不阻提交,硬件组实测 B601 夹爪/轮组/推力器最小脉宽→经 intake schema 替换占位→重跑瞬态层与 Stage-A 可行性,true
E-CTRL-PREBIND-01,ctrl,control,"prebind 权威充分性：系统/目标质量惯量 PROVISIONAL、frame owner PENDING_REVIEW、PB_G0-A 六项 HOLD、配置留存未冻结（git dirty, retention_credit=false）",P2_FORMAL_RELEASE_BLOCKER,30_simulation/dynamics_control_prebind_r1/00_authority/PREBIND_AUTHORITY.json（$.authority_sufficiency、$.repository）+ 30_simulation/dynamics_control_prebind_r1/10_verification/PB_G0_GATE.json,动力学-控制正式绑定与任何交接运行阻断；不阻提交,Owner 确认质量/框架桥+冻结干净基线,true
E-CTRL-RELEASE,ctrl,control,CTRL 正式工程 Release：任务空间特征长度/权重矩阵未冻结（CG1 UNBOUND）、10 项 hard_blockers、联合 Gate control_engineering_pass=false、safe_independent_review_pass=false,P2_FORMAL_RELEASE_BLOCKER,30_simulation/r2_control_engineering_closure/results/R2_CONTROL_ENGINEERING_GATE_V1.json（$.technical_verdict、$.hard_blockers）+ 30_simulation/r2_dynamics_control_system_closure/results/R2_DYNAMICS_CONTROL_SYSTEM_GATE_V1.json（$.conditions）,只影响正式工程 Release 与 release_credit，不阻 9-01 合规提交；禁止升级为 P0,冻结任务空间度量→重做 5D/6D singularity/DLS/残差 Gate→SAFE 独审→重跑联合 Gate（父裁决 §6 第 3/7 步）,false
E-CTRL-REPLAY-01,ctrl,control,当前树 replay 漂移：CTRL-01 7/22、CTRL-02 12/24、SAFE-00 23/47 均 HOLD_CURRENT_REPLAY；REORG04 规范化哈希漂移致旧 Gate 精确复现未声明；CTRL-02 测试管线存在重写冻结 Gate 的副作用（已精确恢复）,P2_FORMAL_RELEASE_BLOCKER,30_simulation/control_r2_integrated_candidate/results/CTRL_R2_PREDEVELOPMENT_GATE_V1.json（$.criteria[C1/C4/C7]、$.remaining_holds）,历史冻结 Gate 保留可用，不阻 9-01 提交；但阻断任何基于当前树的新 Gate/正式 Release，且 replay 副作用是治理风险,建立独立无副作用 replay gate；REORG04 哈希规范化重锚；冻结 sim05 URDF 定位修复,false
B-CD10,compdeliv,deliverables,根级 08_REVIEWS/ 独立对抗审查档案为空,P2_FORMAL_RELEASE_BLOCKER,08_REVIEWS/ ls 空,仅影响正式工程 Release 审查完备性;比赛链已有 gate 内红队 15/15,Owner 决定是否需要独立人工对抗审查归档,false
DYN-B04,dyn,dynamics,"e15 legacy ANCF 线交叉求解 5.637%>5% 维持 REPEAT_ANCF_CERTIFICATION;现行线由 E23 G07/G11 交付(1.81e-05/0.2714%),legacy 重认证未执行也无计划",P2_FORMAL_RELEASE_BLOCKER,30_simulation/e15_ancf_certification/results/gate_summary.json $.overall; e23 gate $.authority_dispositions.e15_current,只影响正式工程 Release 的认证链完整性;比赛引用走 E23 口径即可,Owner 决定是否 resurrect legacy 线;否则维持冻结并在 Release 文档引用 E23,no
DYN-B05,dyn,dynamics,e21 单一安装消费语义 UNRESOLVED + R2 工程门 DG1-DG5 全开 + harness R2_HRN_04 FAIL_REDESIGN_REQUIRED,P2_FORMAL_RELEASE_BLOCKER,30_simulation/e21_m7_r2_arm_placement_rigid_coupled_diagnostics/results/E21_DIAGNOSTIC_GATE_V1.json $.mandatory_holds; R2_DYNAMICS_ENGINEERING_GATE_V1.json summary.holds,只影响正式 Release 与任务放行;诊断证据已完备,Owner 裁定单一安装语义;逐条关闭 DG1-DG5;harness 重设计属机械域工作单,yes
DYN-B06,dyn,dynamics,"sim_13 正式 V2 15/20 NC + 5 dependency_hold(NC15/16/18/19/20),五个后端工作单已注册未落地;V4 证据全部 synthetic",P2_FORMAL_RELEASE_BLOCKER,30_simulation/sim_13_physics_gated_embodied_grasping/v4_runtime_guard_diagnostic/results/SIM13_V4_RUNTIME_GUARD_DIAGNOSTIC_GATE_V1.json technical_verdict,影响 Physics-Gated Embodied Grasping 正式化;不阻塞当前比赛脊柱,后端落地 SIM13_BACKEND_WORK_ORDERS_V1 五项+父 Gate 重发,yes
DYN-B07,dyn,dynamics,"sim_08 执行机构档全为 placeholder CLASS 值(轮组/推力器/Isp),COTS 选型未做",P2_FORMAL_RELEASE_BLOCKER,30_simulation/sim_08_detumble_actuator_budget/assumptions.yaml 头注; sim_10 gate provisional_notes[0],比赛图表可带 CLASS 声明引用;正式报告冻结前必须替换,COTS RW/推力器数据手册选型->替换 CLASS 值->重跑预算,yes
DYN-B08,dyn,dynamics,"e23 18/18 PASS_WITH_DECLARED_PROVISIONAL_PHYSICS 但 review_status=PENDING_OWNER_REVIEW,next_stage_authorized=false,release_credit=false",P2_FORMAL_RELEASE_BLOCKER,30_simulation/e23_r2_full_flex_coupled_recert/results/E23_R2_FULL_FLEX_COUPLED_GATE_V1.json $.review_status,比赛可引用(带限定);正式 Release 信用需 Owner review,Owner review 签署,yes
BLK-E05,embodied,embodied,相机光学参考系选型与标定未决：camera_optical_frame 变换 TBD、status=HOLD_CAMERA_SELECTION_AND_CALIBRATION；committed frame_tree_v1 无相机系,P2_FORMAL_RELEASE_BLOCKER,20_engineering/F3R2_V5R_RAPID_MECHANICAL_CLOSURE_20260820/02_interfaces/SYSTEM_FRAME_TREE.yaml L87-L90/L99-L102; 20_engineering/config/geometry/frame_tree_v1.yaml（camera 零命中）,只影响正式工程 Release 与感知接口固化；离线比赛演示不依赖相机系,Route-C 相机选型落地（制造/飞行权威输入）后回填 T_camera 并过接口 Gate,yes
BLK-E06,embodied,embodied,SAFE 扩展未授权：冻结 SAFE-00 不覆盖新状态信封与新候选集合，B4 扩展合同未立,P2_FORMAL_RELEASE_BLOCKER,10_research/space_embodied_robotics/physics_gated_agent_plan.md §3.3（SEPARATE_EXTENSION_REQUIRED_NOT_AUTHORIZED）; 10_research/space_embodied_robotics/space_embodied_agent_v1_contract.md §6.5,正式具身决策链 Release 受阻；比赛演示用冻结 SAFE-00+离线回放足够,赛后另立 B4 SAFE 扩展合同并保持五值词表唯一,yes
BLK-E07,embodied,embodied,被 AGENTS.md L13 与 space-embodied-intelligence-research-agent.md Startup#3 引用的薄知识入口 10_research/knowledge_base/physics_agent/README.md 不存在（find 零匹配）,P2_FORMAL_RELEASE_BLOCKER,AGENTS.md L13; .codex/agents/space-embodied-intelligence-research-agent.md Startup #3; find 10_research -iname '*physics_agent*' 零匹配（2026-08-27）,导航/治理链接完整性瑕疵；不阻塞比赛提交；physics_gated_agent_plan §5 显示该入口系根目录治理拒绝后的替代方案但未落盘,补建薄索引 README 或修正两处引用,no
