id,domain,description,verdict_or_status,authority_path,locator,sha256,retained_as,notes
N-CD01,compdeliv,仓内无 2026 正式参赛指南/报告模板/提交字段/视频格式官方文件,UNKNOWN,NONE,"Grep 多关键词在 01_project,50_literature,80_third_party 零官方文件命中",NA,BLOCKER_B-CD01,禁止用往届规则静默替代;用户外部线索仅背景
N-CD02,compdeliv,比赛技术报告书母稿不存在(无 .tex/.docx/.pdf 报告书),UNKNOWN,NONE,Glob **/*.tex 零命中; 01_project 仅协作者 docx 与调研报告,NA,BLOCKER_B-CD02,paper1_architecture.md 是期刊论文架构非比赛报告书
N-CD03,compdeliv,论文级 claim-evidence 账本 0 数据行,LIMITED,10_research/knowledge_base/papers/claim_evidence_ledger.csv,185B header only; controller_state.yaml counts.claim_evidence_rows=0,1cff4ab952b75e4ea4679d3947bc630c2eb2afe00932ce389a89a4e128f9e297,EVIDENCE_GAP,"比赛 claim matrix(9 行)独立存在,不受此行升级"
N-CD04,compdeliv,根级 08_REVIEWS/ 对抗审查目录为空,LIMITED,08_REVIEWS/,ls 无条目,NA,EVIDENCE_GAP,红队机器记录 15/15 在 competition_gate_check.json COMPETITION_TESTS_AND_RED_TEAM
N-CD05,compdeliv,无提交 ZIP/打包清单/恢复演练/提交回执,UNKNOWN,NONE,Grep submission package/restore rehearsal/回执 无比赛提交包命中,NA,BLOCKER_B-CD03,仓内 zip 均为机械 B51R1/F3R2 内部包
N-CD06,compdeliv,PUBLICATION_HOLD_CLAIM_REFERENCE_AND_RELEASE_IDENTITY_NOT_CLOSED 裁决原文不在仓,UNKNOWN,NONE,bash grep -rl PUBLICATION_HOLD 全仓(除.git)零命中,NA,EVIDENCE_GAP_B-CD07,"PAPER_KNOWLEDGE_INTEGRITY 仅技能 token 定义,非裁决"
N-CD07,compdeliv,GitHub 镜像私有性/fork 风险离线不可验证且本地无 remote,UNKNOWN,repo .git,git remote -v 空; .git/config 无 [remote] 节; 继承包原声明未在仓内定位,NA,BLOCKER_B-CD04_OWNER_MANUAL,需 Owner 人工登录核对
N-CD08,compdeliv,2026-08-08 后全部终局证据未提交 git(130 untracked 目录级条目含 AGENTS.md 本身),LIMITED,repo .git,git status --short=141 条(11 M+130 ??); git log -1=2026-08-08 01:24:43 +0800,NA,BLOCKER_B-CD05,提交包版本锚定缺失;只读审计不操作 git
N-CD09,compdeliv,"演示链为 offline replay 非真实执行: command_emitted=false, real_time_synchronization=false",HOLD,10_research/competition_convergence/competition_gate_check.json,command_emitted=false; real_time_synchronization=false; stop_rules 全 false,8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200,RETAINED_SCOPE_LIMIT,演示视频/PPT 内 A/B/C 动作仅解释性回放
N-CD10,compdeliv,"硬件演示不可能: B601_MOTION=PROHIBITED, H0/H1/H2=NOT_STARTED",HOLD,10_research/competition_convergence/competition_gate_check.json,hardware_component_status 四键,8b3cdbdaa09e9048262888f596bacc5a7ec543af55542256e8bce66de15a6200,RETAINED_SCOPE_LIMIT,若官方要求实物展示则此状态直接冲突
