relative_path,bytes,sha256,type
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT",73762,457cbfdfaa033bb7d5c34c67a20778509f2020895ce532f4e905cfccb8246159,PART
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM",125842,2c83165dcce099b28ad83aeade020dd73cda3191718e7518d5b7fda43e574a5e,ASSEMBLY
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT",178688,f1c0006940f69158d812fdb1710413767306d04235822cf2563777134379b316,PART
"01_Primary_Structure/parts/12U_External_Panels_Visual.SLDPRT",166247,4bb719cc230321141f3550fd3e7eea156d3f66643cbd5f3f3aedacdec95a4f93,PART
"01_Primary_Structure/parts/12U_Frame_Structure_Visual.SLDPRT",238102,cbbca70ecb8b50b0c5d4dc1f6a1a3c1aca9e425d80ca5b92f46d6ba1b93153b5,PART
"01_Primary_Structure/parts/Rail_Contact_Reference_Wire.SLDPRT",54402,15bb4e6d5debfc543cad2a394ac6a9075f8158b4353e23a21e7b8ed8fd39d203,PART
"01_Primary_Structure/parts/Task_Face_Panel_Visual.SLDPRT",83479,38b48d6f9997e675ab8766b050a5b9b48e4961b6bca3966eda478f116b7a2f70,PART
"02_Robot_Mount/B601_Mount_Adapter_Visual.SLDPRT",177624,9c72096954b9acba10e66260d82d5740f87d7b500397a2bc040428ddf2bf27e7,PART
"02_Robot_Mount/B601_Mount_Module_Visual.SLDASM",89841,2e1b75d2e8a40e97c2285059ac8534882cd96534608480885c36e5257fe838c6,ASSEMBLY
"03_B601_Visual/B601_Joint_Frame_Overlay.SLDPRT",48792,f26f71f53b36d2c4fc6821359506d8d84eebde9e74ccd883377fbf370177cbb7,PART
"03_B601_Visual/B601_Visual_Assembly.SLDASM",89132,12b97ab011b56633edc62ff07f645e8b7287738ffe434d3db8b28db8c9688d8c,ASSEMBLY
"03_B601_Visual/links/base_link_visual.SLDPRT",144996,42ca09deff05acff26b13f14d5fb9e6bbdbb8a2bc1bfadc81f1ba32247c910d9,PART
"03_B601_Visual/links/gripper_left_visual.SLDPRT",129579,ef30a703ac9713842e2e69b0b81ce3d111022771f083b26f2d2ab17ff00ec98a,PART
"03_B601_Visual/links/gripper_link_visual.SLDPRT",110471,31a870769bb32e1f0966afbe9add3865f27768bcf3bf06df37249649f2dd5cf5,PART
"03_B601_Visual/links/gripper_right_visual.SLDPRT",131187,46091817379910f90913537d847e2466f59b8978d8320262f6211bb629f37224,PART
"03_B601_Visual/links/link1_visual.SLDPRT",178483,a0ae0eaf8c24659751059333a87888873b70a03b016248e416eefb841fc4e48b,PART
"03_B601_Visual/links/link2_visual.SLDPRT",167499,f9d805826c6c2a40e041c62a3cebcb95914c9bd7d990e3771f1f7bc99b82191f,PART
"03_B601_Visual/links/link3_visual.SLDPRT",178649,84eb2e449d940a70fe69b9e08d941e59923db05e61ca26e9d6ca775e6eac13b5,PART
"03_B601_Visual/links/link4_visual.SLDPRT",162357,fb5cd423bf278fdf2bffbf35f588e3df9975b7f687b1479e86e92f9c3d864091,PART
"03_B601_Visual/links/link5_visual.SLDPRT",175437,66c3df76fc36f0b0d72d1990fe2b670e438400b7aa15d2e2112099302be15c4f,PART
"03_B601_Visual/links/link6_visual.SLDPRT",135522,4e3ebf2deaa7865be3f23bd59cc2eb7df4465afc3566c7e0b0a8b0cd7c3ba246,PART
"04_Solar_Wings/Solar_Wing_Left_Visual.SLDPRT",79899,3e35bda13dd886fa45dd9ce5235f381ce2294b59ab73b138056aecdc793af08a,PART
"04_Solar_Wings/Solar_Wing_Right_Visual.SLDPRT",83530,1761b5737249e80ecddddedc06bef526c02b68e9c1168eb544270e5355f9aa44,PART
"05_Sensor_Reference/Sensor_Semantic_Reference.SLDPRT",50962,ade0285a19c534a55022b9700b2928a6b8cbd12bbb25db810cf7f1e0f7856718,PART
"06_End_Effector_Reference/E_Virtual_Reference.SLDPRT",52173,949475088d73f51a6325ee19a46009fbfab43d82a3985e8aeb22117342cd71a3,PART
"07_Rear_Service_Visual/Rear_Service_Module_Visual.SLDPRT",136140,616dc430019930dc5aaae9bdfdea678802ac79e64c22cef527435f75e7e2372d,PART
"08_Target_Scene_Reference/Target_Scene_Reference.SLDASM",151302,6a265150ab67a8e8ef4479ef7fbea47cdbbc4b150792086d6964b688afdc4061,ASSEMBLY
"08_Target_Scene_Reference/Target_Scene_Reference_Visual.SLDPRT",153556,793dad0ad7d2414af9d7a89bc872fd481c0b8308cf0d87b5cca6e91c34247bdb,PART
"10_Review_Overlays/Review_Exploded_V1_0.SLDASM",177054,96e24438f32a21124c383cd48e0bb3fd5c0bc3f99552b63a293c56f11d6f3703,ASSEMBLY
"10_Review_Overlays/Review_Safe_Display_V1_0.SLDASM",233941,6ddb9380a32c9c66574fd2e895eb0ce32fb00fc40c041daa6b69015e4b89fba4,ASSEMBLY
"10_Review_Overlays/Review_Three_Bay_Section_V1_0.SLDASM",200008,b9ae24b04122cd03e8bb7b63f4d6a722b88025fd3088446669a70568fef1480f,ASSEMBLY
"Assembly/Space_Embodied_Robot_V1_0.SLDASM",208275,2a13037bd751602ccffaaae515b3e0be135d2556c35231549b0a528f4f31d7a8,ASSEMBLY
