view_id,file,caption,watermark_scope
"A4-VIEW-06","06_B601_link_joint_frame_q0.bmp","B601 10-link/9-joint q=0 visual; G/E_virtual distinct; TCP absent","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-01","01_whole_vehicle_isometric.bmp","Structured 12U + B601 + deployed panel reference; q=0","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-02-FRONT","02a_front_orthographic.bmp","Front orthographic; task face and mount","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-02-TOP","02b_top_orthographic.bmp","Top orthographic; deployed panel reference","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-02-SIDE","02c_side_orthographic.bmp","Side orthographic; three-bay structure","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-07","07_solar_wings_deployed_reference.bmp","F_L/F_R deployed reference; no deployment validation","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-09","09_evidence_state_colored_isometric.bmp","Dark blue bound / cyan proposal / orange unknown / gray scene","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-03","03_exploded_hierarchy_review.bmp","Review-only exploded hierarchy; component IDs in manifest","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-04","04_three_bay_cutaway_review.bmp","Front/middle/rear bay cutaway; external panels omitted","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-08","08_safe_display_proposal.bmp","Safe display proposal; hinge/lock/deployment remain unknown","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
"A4-VIEW-10","10_independent_target_scene.bmp","Independent target scene; no mate, contact, lock or capture state","ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS"
A4-VIEW-05,05_B601_mount_adapter_local.bmp,"B601 mount adapter local view; evidence geometry and proposal ribs remain distinct",ENGINEERING_VISUAL_NON_FLIGHT_NO_DYNAMICS
