view_id,source_native_file,annotated_file,bytes,sha256,title,claim_scope
"A4-VIEW-01","01_whole_vehicle_isometric.bmp","annotated/01_whole_vehicle_isometric_annotated.png",375756,40c4d6802d101612fa2bb42f7ee93a5d5281b88d9e73ade413f8c5c11d26913c,"WHOLE VEHICLE — ISOMETRIC","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-02-FRONT","02a_front_orthographic.bmp","annotated/02a_front_orthographic_annotated.png",177576,9fe7491047c2f08641c0a8156b44ac781a451603e1296a0efa94cb0764ad467d,"FRONT ORTHOGRAPHIC","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-02-TOP","02b_top_orthographic.bmp","annotated/02b_top_orthographic_annotated.png",276984,376bfabf98d27e5021a029090821611b43447d3817b426d0c395dc0a29b3cbe4,"TOP ORTHOGRAPHIC","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-02-SIDE","02c_side_orthographic.bmp","annotated/02c_side_orthographic_annotated.png",195517,03a3b453296c818e1b29dfa1e4a673eb193f78899535094ec5f4879b2a6e5ac1,"RIGHT-SIDE ORTHOGRAPHIC","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-03","03_exploded_hierarchy_review.bmp","annotated/03_exploded_hierarchy_review_annotated.png",284723,1a1d89b62882c520233c04fc8968cccfc537956372cfaf6754f3309c6d677863,"EXPLODED HIERARCHY — REVIEW ONLY","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-04","04_three_bay_cutaway_review.bmp","annotated/04_three_bay_cutaway_review_annotated.png",372322,b8c816750b564b89fc813927859d0a3bf510c76945ee703ab518d8ca6b9e2a4f,"THREE-BAY CUTAWAY","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-05","05_B601_mount_adapter_local.bmp","annotated/05_B601_mount_adapter_local_annotated.png",214749,d4fc415bae590a0a41081166a1260bdfde4ea1a1f46683be214384586deb9f34,"B601 MOUNT ADAPTER — LOCAL","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-06","06_B601_link_joint_frame_q0.bmp","annotated/06_B601_link_joint_frame_q0_annotated.png",440233,4558bd71ad44d0aaf85b90b9dc758c15d6de04523881e34860333089497d47bf,"B601 LINK / JOINT / FRAME OVERLAY — q=0","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-07","07_solar_wings_deployed_reference.bmp","annotated/07_solar_wings_deployed_reference_annotated.png",295623,e1f7bf9d7f1ed8cc5c45b8afff5a7ed24b674648bfe3589dd4c73a802e098832,"SOLAR WINGS — DEPLOYED REFERENCE","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-08","08_safe_display_proposal.bmp","annotated/08_safe_display_proposal_annotated.png",436512,a673c5c357ad5d4a76a6737040712c75eeeeb04dad12e46809a436b196d42295,"SAFE DISPLAY PROPOSAL","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-09","09_evidence_state_colored_isometric.bmp","annotated/09_evidence_state_colored_isometric_annotated.png",347194,2f3c40605c76e46166ec6dc2c464621b28c0f305bc4405cdfc879bd29ceb3e5f,"EVIDENCE-STATE COLOR REVIEW","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
"A4-VIEW-10","10_independent_target_scene.bmp","annotated/10_independent_target_scene_annotated.png",353807,750f208a31ffe805d5612adc27efa14c705b418e888cc2fcef71b45218e0530a,"INDEPENDENT TARGET SCENE","ENGINEERING_VISUAL_ONLY|NON_FLIGHT|NO_DYNAMICS|NO_CONTROL|NO_VLA|NOT_VENDOR_EXACT_CAD"
