assembly_relative_path,assembly_object_id,component_instance,source_absolute_path,source_relative_path,object_id,parent_id,source_exists,fixed_for_static_review,transform_16
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","12U_Equipment_Decks_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\12U_Equipment_Decks_Visual.SLDPRT","01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","equipment_decks_and_placeholders","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","12U_External_Panels_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\12U_External_Panels_Visual.SLDPRT","01_Primary_Structure/parts/12U_External_Panels_Visual.SLDPRT","removable_external_panels","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","12U_Frame_Structure_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\12U_Frame_Structure_Visual.SLDPRT","01_Primary_Structure/parts/12U_Frame_Structure_Visual.SLDPRT","primary_frame_structure","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Rail_Contact_Reference_Wire-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\Rail_Contact_Reference_Wire.SLDPRT","01_Primary_Structure/parts/Rail_Contact_Reference_Wire.SLDPRT","rail_contact_reference","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","primary_structure","Task_Face_Panel_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\01_Primary_Structure\parts\Task_Face_Panel_Visual.SLDPRT","01_Primary_Structure/parts/Task_Face_Panel_Visual.SLDPRT","task_face_panel","primary_structure",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"02_Robot_Mount/B601_Mount_Module_Visual.SLDASM","robot_mount_module","B601_Mount_Adapter_Visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\02_Robot_Mount\B601_Mount_Adapter_Visual.SLDPRT","02_Robot_Mount/B601_Mount_Adapter_Visual.SLDPRT","robot_mount_adapter_v1_visual","robot_mount_module",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","B601_Joint_Frame_Overlay-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\B601_Joint_Frame_Overlay.SLDPRT","03_B601_Visual/B601_Joint_Frame_Overlay.SLDPRT","b601_joint_frame_overlay","arm_b601_visual_reconstruction",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","base_link_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\base_link_visual.SLDPRT","03_B601_Visual/links/base_link_visual.SLDPRT","b601_base_link_visual","arm_b601_visual_reconstruction",true,true,"1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","E_Virtual_Reference-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\06_End_Effector_Reference\E_Virtual_Reference.SLDPRT","06_End_Effector_Reference/E_Virtual_Reference.SLDPRT","e_virtual_reference","arm_b601_visual_reconstruction",true,true,"-3.6732051033465765E-06;7.3464102065940315E-06;0.999999999966269;0;-0.99999999997301525;7.3464102066435922E-06;0.999999999993254;2.6984871462320616E-11;3.673205103247455E-06;0.26030983999892254;4.2246381795406209E-08;0.19170070281316054;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","gripper_left_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\gripper_left_visual.SLDPRT","03_B601_Visual/links/gripper_left_visual.SLDPRT","b601_gripper_left_visual","arm_b601_visual_reconstruction",true,true,"-3.673205103346576E-06;0.999999999966269;-7.3464102065940315E-06;0.99999999999325384;3.673205103247455E-06;-2.6984871462320616E-11;0;-7.3464102066435914E-06;-0.99999999997301514;0.21821883999892255;-2.7488657886390322E-05;0.19171373401541419;1;0;0;0"
"03_B601_Visual/B601_Visual_Assembly.SLDASM","arm_b601_visual_reconstruction","gripper_link_visual-1","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V1_0\03_B601_Visual\links\gripper_link_visual.SLDPRT","03_B601_Visual/links/gripper_link_visual.SLDPRT","b601_gripper_link_visual","arm_b601_visual_reconstruction",true,true,"1;0;0;0;-0.99999999997301525;7.3464102066435922E-06;0;-7.3464102066435914E-06;-0.99999999997301514;0.26030983999892254;4.2246381795406209E-08;0.19170070281316054;1;0;0;0"
