relative_path,doc_type,object_id,parent_id,status,profile,representation_layer,evidence_state,source_reference,source_sha256,frame_id,semantic_role,mass_owner,mass_contribution,no_dynamics_use,claim_limit,blocked_consumers,manufacturing_authority,execution_authority,target_included,vendor_step_used,bbox_min_x_m,bbox_min_y_m,bbox_min_z_m,bbox_max_x_m,bbox_max_y_m,bbox_max_z_m,size_x_m,size_y_m,size_z_m,solid_body_count,feature_count,property_count
"00_Master_Skeleton/SER_Master_Skeleton_V1_0.SLDPRT","PART","master_skeleton_v1_0","NONE","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","REF_EVIDENCE","EVIDENCE_BOUND","10_research/space_embodied_robotics/comp_prot_03_a3_geometry_only/frame_export_v0_1.yaml","7e45a28f5df85fee41141ad6bff8f3d78a4a2d69ceb187f341b6d4f0c4e493f4","S","MASTER_GEOMETRY_AND_FRAME_CONTRACT","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","geometry_and_frame_reference_only","URDF|DYNAMICS|CONTACT|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.17025,-0.11315,-0.11315,0.30525,0.11315,0.11315,0.47550000000000003,0.2263,0.2263,0,24,55
"01_Primary_Structure/12U_Structured_Bus_Visual.SLDASM","ASSEMBLY","primary_structure","space_embodied_robot_v1_0","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","A4_DESIGN_RECORD","A4_DESIGN_RECORD","S","STRUCTURED_12U_BUS_ASSEMBLY","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","engineering_visual_only","FEA|DYNAMICS|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.17025,-0.11315,-0.11315,0.26025,0.11315,0.11315,0.4305,0.2263,0.2263,0,21,46
"01_Primary_Structure/parts/12U_Equipment_Decks_Visual.SLDPRT","PART","equipment_decks_and_placeholders","primary_structure","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","A4_DESIGN_RECORD","A4_DESIGN_RECORD","S","THREE_BAY_EQUIPMENT_DECKS_AND_DISPLAY_PLACEHOLDERS","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","display_placeholder_only","MASS_BUDGET|THERMAL|POWER|DYNAMICS|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.14550000000000002,-0.095,-0.095,0.05825,0.095,0.095,0.20375000000000001,0.19,0.19,8,28,53
"01_Primary_Structure/parts/12U_External_Panels_Visual.SLDPRT","PART","removable_external_panels","primary_structure","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","A4_DESIGN_RECORD","A4_DESIGN_RECORD","S","REMOVABLE_EXTERNAL_PANEL_VISUAL","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","engineering_visual_only","THERMAL|STRUCTURAL|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.165,-0.11315,-0.11315,0.165,0.11315,0.11315,0.33,0.2263,0.2263,12,25,52
"01_Primary_Structure/parts/12U_Frame_Structure_Visual.SLDPRT","PART","primary_frame_structure","primary_structure","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","A4_DESIGN_RECORD","A4_DESIGN_RECORD","S","SPACECRAFT_PRIMARY_STRUCTURE_VISUAL","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","engineering_visual_only","FEA|DYNAMICS|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.17025,-0.11315,-0.11315,0.17025,0.11315,0.11315,0.3405,0.2263,0.2263,1,31,52
"01_Primary_Structure/parts/Rail_Contact_Reference_Wire.SLDPRT","PART","rail_contact_reference","primary_structure","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","UNKNOWN_BLOCKED","A4_UNKNOWN_REGISTER","A4_DESIGN_RECORD","S","RAIL_CONTACT_REFERENCE_ONLY","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","unknown_reference_only","DEPLOYER_CONFORMANCE|FLIGHT_ENVELOPE|MANUFACTURING","FALSE","FALSE","FALSE","FALSE",-0.17025,-0.11315,-0.11315,0.17025,0.11315,0.11315,0.3405,0.2263,0.2263,0,18,52
"01_Primary_Structure/parts/Task_Face_Panel_Visual.SLDPRT","PART","task_face_panel","primary_structure","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","DESIGN_PROPOSAL","A4_DESIGN_RECORD","A4_DESIGN_RECORD","S","TASK_FACE_REFERENCE","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","semantic_reference_only","PERCEPTION|PLANNING|CONTACT|CONTROL|VLA|FLIGHT","FALSE","FALSE","FALSE","FALSE",0.16725,-0.11315,-0.11315,0.26025,0.11315,0.11315,0.092999999999999972,0.2263,0.2263,1,21,56
"02_Robot_Mount/B601_Mount_Adapter_Visual.SLDPRT","PART","robot_mount_adapter_v1_visual","robot_mount_module","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\Space_Embodied_Robot_CAD_V0_1\02_Robot_Mount\02_B601_Mount_Adapter.SLDPRT","c9d1f30ade8999d62c2f8345c0310c2ec065cc83e286855524bcb64baa6c27e6","M","B601_MOUNT_ADAPTER_WITH_VISUAL_PROPOSAL_FEATURES","adapter_owner","FALSE_CAD_VISUAL_ONLY","TRUE","engineering_visual_only","FEA|DYNAMICS|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.08,-0.08,-0.027,0.08,0.08,0,0.16,0.16,0.027,2,38,62
"02_Robot_Mount/B601_Mount_Module_Visual.SLDASM","ASSEMBLY","robot_mount_module","space_embodied_robot_v1_0","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","VISUAL_SHELL","DESIGN_PROPOSAL","A4_DESIGN_RECORD","A4_DESIGN_RECORD","M","B601_MOUNT_MODULE_VISUAL","adapter_owner","FALSE_CAD_VISUAL_ONLY","TRUE","engineering_visual_only","FEA|DYNAMICS|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.08,-0.08,-0.027,0.08,0.08,0,0.16,0.16,0.027,0,17,46
"03_B601_Visual/B601_Joint_Frame_Overlay.SLDPRT","PART","b601_joint_frame_overlay","arm_b601_visual_reconstruction","ENGINEERING_VISUAL","COMPETITION_DISPLAY_V0","SEMANTIC_REFERENCE","DESIGN_PROPOSAL","F:\China Graduate Future Flight Vehicle Innovation Competition\20_engineering\cad\spacecraft_layout\arm_b601_v1\arm_b601_v1.urdf","1bc2b7483cd8025d08ba6eadfd9e1f3b0477121714e7cf4ddc1794d9e471c164","A0","JOINT_AXIS_AND_FRAME_REVIEW_OVERLAY","NONE_VISUAL_ONLY","FALSE_CAD_VISUAL_ONLY","TRUE","review_overlay_only","DYNAMICS|CONTROL|MANUFACTURING|FLIGHT","FALSE","FALSE","FALSE","FALSE",-0.24400016000000002,-0.027527488656958782,0.057149999999999979,0.21821894101206291,0.059124999999814479,0.259200116163752,0.46221910101206293,0.086652488656773261,0.202050116163752,0,18,51
