role,path,bytes,sha256
contract,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/M01_SYSTEM_PAIR_ORACLE_BACKEND_CONTRACT_V1.json,6997,FFB220E10192C95C76BF505E69022D3F683BBC84486C63674F2EC64D755C3D7D
engineering readme,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/README.md,3849,E79DD368885C30155F03A6E5D2FB382346168900DF6F1CD9F72FD19D17C349A1
source authority lock,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/SOURCE_AUTHORITY_LOCK_V1.json,6677,AC319233F926938E96F18BA9DB6FEA735833500CE93120CAA75891BB24705910
synthetic fixture specification,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/SYNTHETIC_FIXTURE_SPEC_V1.json,2275,984B95C245E4727B7D00563178A137494C94D4022217FA1BC3E7C72BE86C32DF
deterministic builder,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/build_m01_system_pair_oracle_backend.py,42486,FF3EA582C855158F13A16CBACCE8C5196AF5B00A98ED0FEDD89E827E6672C9EA
synthetic BRep fixture A,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/fixtures/BOX_A_10MM.brep,2565,9B0E598F252B1F67AD52145D82EACC19FC75CDD2904DA5E35E10E54234DCD8CA
synthetic BRep fixture B,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/fixtures/BOX_B_10MM.brep,2565,9B0E598F252B1F67AD52145D82EACC19FC75CDD2904DA5E35E10E54234DCD8CA
candidate pair-oracle core,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/pair_oracle_backend.py,33574,17A012B8B36C528516291550D36B5786226AE58C7E4CE06F1B74A3B982A83F2E
engineering verdict,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/results/ENGINEERING_VERDICT_V1.md,1554,98E11EDB2A7C8AB224BD647ECE79CF5F8F090DAD4F335E2D6E88DB7EB013EED3
independent validation,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/results/INDEPENDENT_VALIDATION_V1.json,16181,C9D5FA74454F65AE5F294D8F457D06D3109069384CA21C335834B280E964591A
negative controls,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/results/NEGATIVE_CONTROLS_V1.json,9620,0EEAFE31E74C59F6C2726C308945D6CAF91E19FCC633A08426C8BE89F7E4E09B
synthetic backend evidence,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/results/SYNTHETIC_BACKEND_EVIDENCE_V1.json,34069,06D3909FAA025F79A84D2675E9F347F445A20EC0F5313AC323D5BBB880698C81
unit and uncertainty audit,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/results/UNIT_AND_UNCERTAINTY_AUDIT_V1.json,3446,5D81424476AA0B4D8442C7BD20639CEC3B61535BF7339166544AA7D484890935
pytest qualification,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/test_m01_system_pair_oracle_backend.py,11740,D25F57FA73BD8FA42F0D7B39F30400192101A19011A29E2B60E74A404747B5F5
independent validator,20_engineering/MECHANICAL_ENGINEERING_RELEASE_R2/_work/odr/ODR60_OPTION_A_M01_SYSTEM_PAIR_ORACLE_BACKEND_V1/validate_m01_system_pair_oracle_backend_independent.py,47696,3881BACF1A583707512B6E425F157A39C839852C4C94D3F549439B1FB10EAABF
