case_id,lane,scenario,corner,damping_lane,omega_plus_equiv_dps,base_rate_initial_dps,base_rate_peak_dps,base_rate_final_dps,attitude_excursion_deg,modal_energy_peak_J,wheel_momentum_Nms,classification,linearity_pass
RIGID_R2_CURRENT__TARGET_22KG_0P5DPS__NOMINAL__M0__TC20MS__Radau,RIGID_R2_CURRENT,TARGET_22KG_0P5DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,0.16036716489706046,0.1603671648970599,0.16041906507253928,0.16041906507253928,6.41547748817338,0.0,0.011782323851997192,WHEELS_SMALL_TIER,True
RIGID_R2_CURRENT__TARGET_150KG_3DPS__NOMINAL__M0__TC20MS__Radau,RIGID_R2_CURRENT,TARGET_150KG_3DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,3.0427130565075067,3.0427130565075107,3.0801141465200184,3.0801141465200184,121.42164427826287,0.0,3.646611954903175,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__LOW__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,LOW,UNDAMPED_CONSERVATION_GATE,0.1603671648970606,0.221041127806961,0.22400785503279197,0.19473596206559377,6.412244046186805,1.6308211995821586e-06,0.011782323851997177,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__NOMINAL__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,0.1603671648970604,0.21565565603700262,0.22231674264464096,0.10242626939155192,6.414621036778083,1.550439004435412e-06,0.011782323851997198,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__HIGH__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,HIGH,UNDAMPED_CONSERVATION_GATE,0.16036716489706068,0.20677816573712515,0.21832291739621848,0.19617047696633216,6.415675649314403,1.3864585785935425e-06,0.011782323851997196,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__LOW__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,LOW,UNDAMPED_CONSERVATION_GATE,3.0427130565075022,3.0496869144719767,3.086720987121892,3.085692885615979,121.42165931168643,0.00021923854351000465,3.6466119549031686,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__NOMINAL__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,NOMINAL,UNDAMPED_CONSERVATION_GATE,3.0427130565075022,3.049258793974037,3.0864800965010724,3.079391649660124,121.4216827833001,0.00021164284209625493,3.646611954903172,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__HIGH__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,HIGH,UNDAMPED_CONSERVATION_GATE,3.0427130565075013,3.04855451869037,3.0862668235294404,3.075477793230389,121.42136338805966,0.00019484344456692902,3.646611954903169,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__LOW__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,LOW,PROVISIONAL_DAMPED_SENSITIVITY,0.1603671648970607,0.22098469267448698,0.2224421221201725,0.16850760599552014,6.41430254397067,1.5996122229430591e-06,0.011782323851997185,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__NOMINAL__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,NOMINAL,PROVISIONAL_DAMPED_SENSITIVITY,0.1603671648970604,0.21544450100350238,0.21910198772008468,0.16031516138233737,6.414888025837631,1.4861633903643517e-06,0.011782323851997217,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_22KG_0P5DPS__HIGH__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_22KG_0P5DPS,HIGH,PROVISIONAL_DAMPED_SENSITIVITY,0.16036716489706063,0.2056850651397059,0.20940401021358243,0.16045075316812157,6.41496551906857,1.1976981794825441e-06,0.011782323851997211,WHEELS_SMALL_TIER,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__LOW__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,LOW,PROVISIONAL_DAMPED_SENSITIVITY,3.042713056507506,3.0496824437173946,3.082146205697196,3.081944162563642,121.42150544955378,0.00021851782190607908,3.6466119549031735,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__NOMINAL__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,NOMINAL,PROVISIONAL_DAMPED_SENSITIVITY,3.0427130565075036,3.049242070342385,3.0801561091917042,3.080086466748404,121.42144474153173,0.00020999789989504183,3.6466119549031704,INFEASIBLE_RATE,True
SOLAR_R2_FLEX_CURRENT__TARGET_150KG_3DPS__HIGH__M5__TC20MS__Radau,SOLAR_R2_FLEX_CURRENT,TARGET_150KG_3DPS,HIGH,PROVISIONAL_DAMPED_SENSITIVITY,3.0427130565075,3.0484679189450548,3.0801265649163225,3.080126517120181,121.42145182968063,0.0001875187036066602,3.646611954903168,INFEASIBLE_RATE,True
