path,bytes,sha256
ecad/C203_MECHANICAL_INTERFACE.json,1971,91aaa92bf1648e6eb8b814e86c3b74e05f5308ba60c6a99bd261127fb52701a0
ecad/CONVERTER_PHYSICAL_PIN_NET.csv,630,75cee68f6f9c3de2e1a3bccd2a8f622275fa967acf83a4498f407a2b108985dd
ecad/fp-lib-table,186,ac18f3560ff6b981f694ff409edf2d6ba2e8846591ea3fd87f977b46a716dbb1
ecad/MASTER_FROM_TO.csv,16124,8fb628e4a9cd84d750b7c72d3be00444b9681a0f7af463dff62b1aa95ffee3d0
ecad/OPEN_BOUNDARIES.json,595,1d0578f804652d7a61506309ef90f3e8b497a3b62ad0b26fa1210ca288000bd3
ecad/PMM35_TOPVIEW_ENDPOINTS.csv,1440,de5ad6eed82226b3cd11abc6753368427f5008f89d5d527cd60327764c090b7c
ecad/POWER_LOOP_INTEGRATION.json,1259,016757dc4008ddd1fb33a71ae132b0fab113ef83c60073ed191bd49cd4cc7f8b
ecad/POWER_LOOP_PIN_NET.csv,20597,76a65948b6775780cd2b65f99f75aa983b50be58a2e04840e1790d054927bcb4
ecad/POWER_MASTER_LINEAGE.csv,5355,cd13af2d09381c071cd3a12a2866179ee48896b36b6e98401beb96b64102e0cf
ecad/sym-lib-table,382,1ea9e48fd1447a1ff58ddd4e662a3a3d0e1c26d44a02d97a00b83366b955e0c7
ecad/SYSTEM_ENDPOINT_MAP.json,14047,b74d2f7bf8179d7a6718cdd28fea46654961b3744cb49ac1163b42496b6502f6
ecad/WP09.kicad_sym,26548,ed1865d2d9e434ba5e6efa4a83d785b0c9a429b82149baee426c3660809d25c6
ecad/WP09STOP.kicad_sym,62432,e0d1ecf46b21219cec0516034bd32c751c0113f36fe235dc168634cdbad2e567
ecad/wp10_converter_reference.kicad_prl,2311,008b3fcdc29fa63a3341c4222cf8ecbcbbf46874b6df84e2cbbe5c6dab414001
ecad/wp10_converter_reference.kicad_pro,2,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
ecad/wp10_converter_reference.kicad_sch,19016,845e86ab1d94f34f51b620dac20744ffeeaec5776e3f74071ce7d95865a03f9d
ecad/wp10_converter_reference.pdf,97425,54d4baefa0ebc267493b4f908e705274ca0e8f3cc5242afd72cb290a71fe04da
ecad/wp10_converter_reference.xml,11403,82c04214f053c89e7afffaed16e79867ed83df8eed88c61dc69746ae63c572fc
ecad/wp10_converter_reference_ENDPOINT_MAP.json,2639,86497b658a9540a66878b617ecf65351f41822a150fda2f5d251a856719e47de
ecad/WP10_PASSIVES.pretty/CP_ChemiCon_VS_D30_P10_2mm_Candidate.kicad_mod,1209,ff9ab152d3e4d17a4668317facb31282a90b8077b6f274dac4772f325cf8ecca
ecad/wp10_power_1.kicad_sch,24867,0cf3ee6a5be7fc1f1ecce392804aca4d1b511b5e5adbdc28cf068db572ff8079
ecad/wp10_power_2.kicad_sch,21495,b339dec35be9239fbabd485029473912dc7a43e0e97e4394f1a0698f09e10a13
ecad/wp10_power_3.kicad_sch,35612,018f5aac7374c0677d4f72e8fffc6c42d83c0c871c7e83506ac1c955a3c36ace
ecad/wp10_power_4.kicad_sch,21673,aee23627127b85de97999f1bf48f50d16df53eab1bc830fb3ec905f08398751c
ecad/wp10_power_5.kicad_sch,28154,f6a44aac5b3b283a8450b11001fabfd7431da7c830c3c3587fde8d6fa2b97f3c
ecad/wp10_power_6.kicad_sch,22282,bdced5213cf0af5958b46b3652e6ac2ba17e0ad305b9905feb335a81d4765d02
ecad/wp10_power_7.kicad_sch,23830,d21b545f8be0dabfd65ede5bf261b986406f15d98e14e718eba7228f274ee5fc
ecad/wp10_power_8.kicad_sch,23830,433893b7e84248968a36ca3d7cd8e36799b18bc45ca5ad6e726e5b2f1817449d
ecad/wp10_power_9.kicad_sch,12528,6c2e064e35f2362af2c81fa94deee23c675e1db7267eeb6d36b7fdf79106cc77
ecad/wp10_stop_detail.kicad_sch,208510,aa572c225a3b21594fb6cd23eb8e59742c1b5d4322df8c17a3be183280acd75f
ecad/wp10_system.kicad_prl,2298,83b4cc02508f487ae161ccbf07d434cde1946ec4602a77eb71e12e75cd8c00f0
