configuration,component,suppressed,live,side,angle_deg
STOWED_ENGINEERING_CANDIDATE,WING_L_STOWED-1,False,True,L,0.0
STOWED_ENGINEERING_CANDIDATE,WING_L_DEPLOYED-1,True,False,L,0.0
STOWED_ENGINEERING_CANDIDATE,WING_R_STOWED-1,False,True,R,0.0
STOWED_ENGINEERING_CANDIDATE,WING_R_DEPLOYED-1,True,False,R,0.0
SOLAR_DEPLOY_ARM_LOCKED,WING_L_STOWED-1,True,False,L,90.0
SOLAR_DEPLOY_ARM_LOCKED,WING_L_DEPLOYED-1,False,True,L,90.0
SOLAR_DEPLOY_ARM_LOCKED,WING_R_STOWED-1,True,False,R,90.0
SOLAR_DEPLOY_ARM_LOCKED,WING_R_DEPLOYED-1,False,True,R,90.0
DEPLOYED_NOMINAL,WING_L_STOWED-1,True,False,L,90.0
DEPLOYED_NOMINAL,WING_L_DEPLOYED-1,False,True,L,90.0
DEPLOYED_NOMINAL,WING_R_STOWED-1,True,False,R,90.0
DEPLOYED_NOMINAL,WING_R_DEPLOYED-1,False,True,R,90.0
L_FAIL,WING_L_STOWED-1,False,True,L,0.0
L_FAIL,WING_L_DEPLOYED-1,True,False,L,0.0
L_FAIL,WING_R_STOWED-1,True,False,R,90.0
L_FAIL,WING_R_DEPLOYED-1,False,True,R,90.0
R_FAIL,WING_L_STOWED-1,True,False,L,90.0
R_FAIL,WING_L_DEPLOYED-1,False,True,L,90.0
R_FAIL,WING_R_STOWED-1,False,True,R,0.0
R_FAIL,WING_R_DEPLOYED-1,True,False,R,0.0
DEPLOY_FAILED_BOTH,WING_L_STOWED-1,False,True,L,0.0
DEPLOY_FAILED_BOTH,WING_L_DEPLOYED-1,True,False,L,0.0
DEPLOY_FAILED_BOTH,WING_R_STOWED-1,False,True,R,0.0
DEPLOY_FAILED_BOTH,WING_R_DEPLOYED-1,True,False,R,0.0
PARTIAL,WING_L_STOWED-1,True,False,L,
PARTIAL,WING_L_DEPLOYED-1,False,True,L,
PARTIAL,WING_R_STOWED-1,True,False,R,
PARTIAL,WING_R_DEPLOYED-1,False,True,R,
SERVICE,WING_L_STOWED-1,True,False,L,90.0
SERVICE,WING_L_DEPLOYED-1,False,True,L,90.0
SERVICE,WING_R_STOWED-1,True,False,R,90.0
SERVICE,WING_R_DEPLOYED-1,False,True,R,90.0
